Time,B,P,A,T,a,b,mu_1,k_1,u,r_1,r_2,mu_2,r,k_2,beta_1,compartment,B_cell_formation,Removal_of_B_cell,Production_of_plasma_cell,Removal_of_plasma_cell_from_system,Production_of_antibody_against_tumor,Removal_of_antibody_from_the_system,Formation_of_tumor_cell,Removal_of_tumor_cell_by_immune_cell
0.0,90000.0,1000000.0,150000000.0,100000000.0,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0,810.0,810.0,10000.0,1009000000.0,1032600000.0,38702040.81632653,4.5327e+23
1e-05,90000.00009,999999.9081000054,149999764.00836262,1.7532771419044318e-26,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000007380002,810.0000008100001,810.0000008100001,9999.999081000055,1008999908.1090053,1032598375.4335684,7.556624481608102e-27,7.947066798148507e-11
2e-05,90000.00018,999999.8162000193,149999528.03156906,2.657773137785074e-27,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000014760001,810.00000162,810.00000162,9999.998162000193,1008999816.2180194,1032596750.9693215,1.1455002223853669e-27,1.2046850396631944e-11
3.0000000000000004e-05,90000.00027,999999.7243000423,149999292.06992722,5.584920791310426e-27,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000022140001,810.0000024300001,810.0000024300001,9999.997243000424,1008999724.3270422,1032595126.609379,2.4071008610547936e-27,2.531465099685742e-11
4e-05,90000.00036,999999.6324000745,149999056.12357202,-6.699747549170781e-28,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000029520002,810.0000032400002,810.0000032400002,9999.996324000746,1008999632.4360745,1032593502.3546698,-2.8875911936926063e-28,-3.036775462553888e-12
5e-05,90000.00045,999999.5405001158,149998820.192534,1.147185703605619e-27,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000036900001,810.00000405,810.00000405,9999.995405001158,1008999540.5451158,1032591878.2054042,4.944370382540218e-28,5.19980773993155e-12
6.000000000000001e-05,90000.00054000001,999999.4486001665,149998584.27681765,-6.203024841904681e-28,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000044280001,810.0000048600001,810.0000048600001,9999.994486001666,1008999448.6541665,1032590254.1616127,-2.6735037068609176e-28,-2.8116185333494262e-12
7.000000000000001e-05,90000.00063000001,999999.3567002263,149998348.3764225,3.484506116746501e-28,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000051660002,810.0000056700001,810.0000056700001,9999.993567002264,1008999356.7632263,1032588630.2232925,1.5018221363177419e-28,1.5794046967992957e-12
8e-05,90000.00072000001,999999.2648002954,149998112.4913474,-2.461364337709003e-28,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000059040001,810.0000064800001,810.0000064800001,9999.992648002954,1008999264.8722954,1032587006.3904356,-1.0608480295525804e-28,-1.1156485745344526e-12
9e-05,90000.00081,999999.1729003736,149997876.6215912,1.3421965617104648e-28,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.000006642,810.00000729,810.00000729,9999.991729003736,1008999172.9813735,1032585382.663034,5.784867180972104e-29,6.083688234230958e-13
0.0001,90000.00089999998,999999.081000461,149997640.76715288,-9.474219771390743e-29,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.00000738,810.0000081,810.0000081,9999.99081000461,1008999081.090461,1032583759.0410805,-4.08338872146941e-29,-4.2943120528356124e-13
0.00011,90000.00098999997,999998.9891005576,149997404.92803133,4.801928946984007e-29,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000081179999,810.0000089099998,810.0000089099998,9999.989891005576,1008998989.1995577,1032582135.5245677,2.069631376150107e-29,2.1765326780883667e-13
0.00012000000000000002,90000.00107999996,999998.8972006635,149997169.10422552,-3.9999296296588243e-29,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000088559998,810.0000097199996,810.0000097199996,9999.988972006635,1008998897.3086635,1032580512.1134886,-1.7239696703829534e-29,-1.8130138862340262e-13
0.00013000000000000002,90000.00116999994,999998.8053007785,149996933.29573447,-2.1063584726862596e-29,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000095939996,810.0000105299996,810.0000105299996,9999.988053007784,1008998805.4177785,1032578888.807836,-9.078405017277779e-30,-9.547295853601505e-14
0.00014000000000000001,90000.00125999993,999998.7134009027,149996697.50255716,1.7642586834193667e-29,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000103319995,810.0000113399994,810.0000113399994,9999.987134009027,1008998713.5269028,1032577265.6076035,7.60395492553747e-30,7.996679270373014e-14
0.00015000000000000001,90000.00134999992,999998.6215010361,149996461.72469243,-7.76236663442236e-31,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000110699995,810.0000121499993,810.0000121499993,9999.986215010362,1008998621.636036,1032575642.5127828,-3.345580019436037e-31,-3.518364929468544e-15
0.00016,90000.0014399999,999998.5296011787,149996225.96213925,-6.209183148188525e-30,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000118079993,810.0000129599991,810.0000129599991,9999.985296011788,1008998529.7451787,1032574019.5233667,-2.676157936869254e-30,-2.814365633648064e-14
0.00017,90000.00152999989,999998.4377013305,149995990.21489653,3.0744528659420776e-30,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000125459992,810.0000137699991,810.0000137699991,9999.984377013305,1008998437.8543305,1032572396.6393478,1.3250891852210353e-30,1.3935199981115383e-14
0.00018,90000.00161999988,999998.3458014915,149995754.4829632,1.260450417202777e-30,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000132839989,810.000014579999,810.000014579999,9999.983458014916,1008998345.9634914,1032570773.8607187,5.432541298143969e-31,5.713081901567928e-15
0.00019,90000.00170999987,999998.2539016617,149995518.76633823,-1.525917416366372e-30,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000140219989,810.0000153899988,810.0000153899988,9999.982539016617,1008998254.0726618,1032569151.1874725,-6.576704064539063e-31,-6.916319242706753e-15
0.0002,90000.00179999985,999998.1620018411,149995283.06502056,2.042003918855682e-31,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000147599989,810.0000161999988,810.0000161999988,9999.981620018412,1008998162.181841,1032567528.6196016,8.801036890267989e-32,9.255500103229822e-16
0.00021,90000.00188999984,999998.0701020297,149995047.37900913,-1.5507027956947406e-33,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000154979987,810.0000170099986,810.0000170099986,9999.980701020297,1008998070.2910297,1032565906.1570989,-6.6835290494443315e-34,-7.028638486499632e-18
0.00022,90000.00197999983,999997.9782022275,149994811.7083029,-2.4995125518797787e-33,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000162359987,810.0000178199984,810.0000178199984,9999.979782022276,1008997978.4002274,1032564283.7999572,-1.0772899098601845e-33,-1.1329148670831234e-17
0.00023,90000.00206999981,999997.8863024345,149994576.0529008,-8.51282841841883e-34,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000169739984,810.0000186299983,810.0000186299983,9999.978863024346,1008997886.5094345,1032562661.5481691,-3.6690290483385155e-34,-3.8584702112494284e-18
0.00024000000000000003,90000.0021599998,999997.7944026507,149994340.41280177,5.547710169801094e-35,0.1,0.01,0.01,1000000.0,0.1,100.0,1000.0,6.884,0.431,980000000.0,30218000.0,1.0,819.0000177119983,810.0000194399983,810.0000194399983,9999.977944026507,1008997794.6186507,1032561039.4017274,2.3910630831842713e-35,2.514515710946434e-19
