A_3_task1,B_1_task1,P_2_task1,T_4_task1,_1_task1
150000000.0,90000.0,1000000.0,100000000.0,0.0
149999764.00836262,90000.00009,999999.9081000054,1.7532771419044318e-26,1e-05
149999528.03156906,90000.00018,999999.8162000193,2.657773137785074e-27,2e-05
149999292.06992722,90000.00027,999999.7243000423,5.584920791310426e-27,3.0000000000000004e-05
149999056.12357202,90000.00036,999999.6324000745,-6.699747549170781e-28,4e-05
149998820.192534,90000.00045,999999.5405001158,1.147185703605619e-27,5e-05
149998584.27681765,90000.00054000001,999999.4486001665,-6.203024841904681e-28,6.000000000000001e-05
149998348.3764225,90000.00063000001,999999.3567002263,3.484506116746501e-28,7.000000000000001e-05
149998112.4913474,90000.00072000001,999999.2648002954,-2.461364337709003e-28,8e-05
149997876.6215912,90000.00081,999999.1729003736,1.3421965617104648e-28,9e-05
149997640.76715288,90000.00089999998,999999.081000461,-9.474219771390743e-29,0.0001
149997404.92803133,90000.00098999997,999998.9891005576,4.801928946984007e-29,0.00011
149997169.10422552,90000.00107999996,999998.8972006635,-3.9999296296588243e-29,0.00012000000000000002
149996933.29573447,90000.00116999994,999998.8053007785,-2.1063584726862596e-29,0.00013000000000000002
149996697.50255716,90000.00125999993,999998.7134009027,1.7642586834193667e-29,0.00014000000000000001
149996461.72469243,90000.00134999992,999998.6215010361,-7.76236663442236e-31,0.00015000000000000001
149996225.96213925,90000.0014399999,999998.5296011787,-6.209183148188525e-30,0.00016
149995990.21489653,90000.00152999989,999998.4377013305,3.0744528659420776e-30,0.00017
149995754.4829632,90000.00161999988,999998.3458014915,1.260450417202777e-30,0.00018
149995518.76633823,90000.00170999987,999998.2539016617,-1.525917416366372e-30,0.00019
149995283.06502056,90000.00179999985,999998.1620018411,2.042003918855682e-31,0.0002
149995047.37900913,90000.00188999984,999998.0701020297,-1.5507027956947406e-33,0.00021
149994811.7083029,90000.00197999983,999997.9782022275,-2.4995125518797787e-33,0.00022
149994576.0529008,90000.00206999981,999997.8863024345,-8.51282841841883e-34,0.00023
149994340.41280177,90000.0021599998,999997.7944026507,5.547710169801094e-35,0.00024000000000000003
149994104.7880048,90000.00224999979,999997.702502876,4.609161473566016e-34,0.00025
149993869.17850876,90000.00233999977,999997.6106031106,5.483069751395372e-34,0.00026000000000000003
149993633.58431268,90000.00242999976,999997.5187033544,5.155177039908953e-34,0.00027
149993398.00541547,90000.00251999975,999997.4268036074,4.86625152636197e-34,0.00028000000000000003
149993162.44181606,90000.00260999972,999997.3349038695,4.788475058478954e-34,0.00029
149992926.8935134,90000.00269999969,999997.2430041409,4.7476975639617736e-34,0.00030000000000000003
149992691.36050647,90000.00278999966,999997.1511044215,4.690258570282067e-34,0.00031
