Time,Z1,Z2,Z3,Z4,E1,E2,E3,E4,mu1,mu2,mu23,mu3,mu4,k1,k2,k3,k4,mu5,compartment_1
0.0,0.5,10.0,10.0,100.0,0.0005005005005005006,0.0,0.0,0.0,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.01,0.5000049676740304,9.99999504475556,9.999999975548938,99.99999999919041,0.0004955328264706391,4.955244437055423e-06,2.4451066544349303e-08,8.095877434400431e-10,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.02,0.5000098614976368,9.999990187879183,9.999999904414237,99.99999999371298,0.0004906390028639589,9.812120815633072e-06,9.558576744625884e-08,6.28702483520681e-09,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.03,0.5000146826564771,9.999985427663107,9.9999997897573,99.999999979399,0.0004858178440237544,1.457233689011864e-05,2.1024270139001366e-07,2.060099772935026e-08,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.04,0.5000194322965366,9.999980762428176,9.99999963453068,99.99999995258106,0.00048106820396432527,1.9237571821903978e-05,3.6546932494259503e-07,4.741891825550875e-08,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.05,0.5000241115270467,9.999976190523153,9.999999441493184,99.999999910049,0.0004763889734541723,2.380947684416092e-05,5.585068187576947e-07,8.995099617452609e-08,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.06,0.5000287214231577,9.999971710324104,9.999999213223884,99.99999984900927,0.00047177907734330903,2.8289675891733823e-05,7.867761193590542e-07,1.5099071745427747e-07,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.07,0.5000332630283901,9.999967320233795,9.999998952134998,99.99999976704792,0.0004672374721108031,3.267976619983224e-05,1.0478650043312617e-06,2.3295207473562997e-07,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.08,0.5000377373568821,9.999963018681122,9.999998660483833,99.99999966209624,0.0004627631436189786,3.6981318872975365e-05,1.3395161709512416e-06,3.379037426137902e-07,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.09,0.5000421453954472,9.999958804120569,9.999998340383794,99.99999953239949,0.0004583551050538325,4.119587942722318e-05,1.6596162121557955e-06,4.676004951015151e-07,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.1,0.5000464881054617,9.999954675031688,9.99999799381457,99.99999937648793,0.0004540123950392099,4.532496830719322e-05,2.0061854336052473e-06,6.235120436140837e-07,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.11,0.5000507664245882,9.999950629918615,9.999997622631547,99.9999991931505,0.00044973407591264144,4.9370081379577654e-05,2.3773684561291054e-06,8.068494695221399e-07,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.12,0.500054981268364,9.999946667309587,9.999997228574522,99.99999898141033,0.00044551923213706805,5.333269040678961e-05,2.771425481182636e-06,1.018589629643117e-06,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.13,0.50005913353164,9.999942785756495,9.999996813275722,99.99999874050259,0.00044136696886098206,5.7214243498595945e-05,3.1867242836088964e-06,1.2594973430223445e-06,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.14,0.5000632240899073,9.999938983834449,9.99999637826723,99.99999846985409,0.0004372764105937378,6.101616554566438e-05,3.621732775968375e-06,1.5301458467849052e-06,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.15,0.5000672538005208,9.999935260141353,9.999995924987955,99.99999816906417,0.0004332466999804803,6.473985864182572e-05,4.075012051645876e-06,1.8309357632576589e-06,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.16,0.500071223503792,9.999931613297514,9.999995454789898,99.99999783788786,0.00042927699670930854,6.838670248066445e-05,4.545210106609686e-06,2.1621120603975483e-06,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.17,0.5000751340240157,9.99992804194525,9.999994968944126,99.9999974762199,0.000425366476485543,7.195805474690558e-05,5.031055879172878e-06,2.523780005771034e-06,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.18,0.5000789861703644,9.999924544748517,9.999994468646033,99.9999970840808,0.0004215143301368382,7.545525148047023e-05,5.531353972003527e-06,2.9159191234563567e-06,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.19,0.5000827807377924,9.999921120392543,9.999993955020722,99.99999666160262,0.0004177197627087151,7.887960745563866e-05,6.04497928291752e-06,3.338397311065589e-06,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.2,0.5000865185077665,9.999917767583481,9.99999342912743,99.99999620901765,0.0004139819927344732,8.223241651551946e-05,6.57087257605065e-06,3.7909822761114127e-06,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.21,0.5000902002489821,9.999914485048079,9.999992891963924,99.99999572664716,0.0004103002515189345,8.551495191783257e-05,7.108036082492073e-06,4.273352772187546e-06,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.22,0.5000938267180053,9.999911271533339,9.999992344470487,99.99999521489124,0.0004066737824957452,8.872846665762305e-05,7.65552951860918e-06,4.785108684147802e-06,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
0.23,0.5000973986598787,9.9999081258062,9.999991787533748,99.99999467421938,0.0004031018406223394,9.187419379733629e-05,8.212466256264782e-06,5.325780547651358e-06,1.0,0.1,0.1,0.1,0.1,1.0,1.0,5.0,5.0,1.0,1.0
