species_1,species_10,species_11,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,Time
300.0,200.0,20.0,0.0,1199.99994221325,0.0,0.0,1199.99994221325,0.0,0.0,100.0,0.0
299.85012787093086,200.0,20.0,0.1498721290691189,1199.9999350259122,7.187333978421639e-06,3.4359098368903206e-12,1199.99994221325,7.631254218297444e-17,1.0428341699310674e-33,100.0,0.01
299.70051033929025,200.0,20.0,0.29948966070969374,1199.9999135027983,2.8710397326127716e-05,5.4046618786185176e-11,1199.99994221325,2.269557472586358e-15,4.049625425173537e-31,100.0,0.02
299.5511456935105,200.0,20.0,0.4488543064894814,1199.9998777022731,6.451071230572283e-05,2.6422898296248825e-10,1199.99994221325,1.5703459653888134e-14,1.6960462319417032e-29,100.0,0.03
299.4020322474646,200.0,20.0,0.5979677525353855,1199.9998276821304,0.00011453029376668036,8.252819550615073e-10,1199.99994221325,6.450801230529501e-14,3.342437388243121e-28,100.0,0.04
299.25316833552347,200.0,20.0,0.7468316644765578,1199.9997634997446,0.00017871150175405,2.0030779896533406e-09,1199.9999422132498,1.948071402054426e-13,2.836020581261656e-27,100.0,0.05
299.1045523110845,200.0,20.0,0.8954476889155166,1199.999685212111,0.00025699700271590944,4.135904180861033e-09,1199.9999422132496,4.809027300816747e-13,1.6168269410878245e-26,100.0,0.06
298.9561825451992,200.0,20.0,1.0438174548007766,1199.9995928758829,0.00034932973453532563,7.632116264816155e-09,1199.9999422132491,1.0328656674216133e-12,7.237240369123663e-26,100.0,0.07
298.8080574268274,200.0,20.0,1.1919425731725963,1199.9994865473589,0.00045565292153576493,1.2969062157469738e-08,1199.9999422132482,2.0033855213441023e-12,2.699840562638876e-25,100.0,0.08
298.660175363397,200.0,20.0,1.3398246366029847,1199.999366282458,0.0005759100996381677,2.0691950798646407e-08,1199.9999422132466,3.5959659116172187e-12,8.907458007936097e-25,100.0,0.09
298.51253478030463,200.0,20.0,1.48746521969535,1199.9992321367336,0.0007100451028063861,3.141313027407002e-08,1199.999942213244,6.066944148698182e-12,2.5415211665290357e-24,100.0,0.1
298.36513412093126,200.0,20.0,1.6348658790686876,1199.9990841653685,0.0008580020704618747,4.581075181632562e-08,1199.9999422132405,9.732745668319978e-12,6.4175464174871984e-24,100.0,0.11
298.21797184601184,200.0,20.0,1.7820281539881078,1199.9989224231856,0.0010197254374455958,6.462650904798939e-08,1199.9999422132353,1.497968950921761e-11,1.4973489654853847e-23,100.0,0.12
298.07104643343246,200.0,20.0,1.928953566567454,1199.9987469646542,0.0011951599302967664,8.866502473822693e-08,1199.9999422132278,2.226647450458125e-11,3.285829029051585e-23,100.0,0.13
297.9243563780544,200.0,20.0,2.0756436219454275,1199.9985578438896,0.0013842505673528275,1.187926513003333e-07,1199.999942213218,3.212994256300679e-11,6.77124671016147e-23,100.0,0.14
297.77790019115776,200.0,20.0,2.222099808842101,1199.9983551146631,0.00158694265113441,1.5593524203879464e-07,1199.999942213205,4.5194849454810644e-11,1.3281006107422722e-22,100.0,0.15
297.6316764003373,200.0,20.0,2.3683235996625482,1199.9981388304036,0.0018031817683410104,2.0107744648494267e-07,1199.999942213188,6.217710946542317e-11,2.5063007067157484e-22,100.0,0.16
297.4856835494341,200.0,20.0,2.5143164505657976,1199.997909044198,0.002032913789135145,2.55262383026981e-07,1199.9999422131662,8.388526867401718e-11,4.543880357569347e-22,100.0,0.17
297.339920197987,200.0,20.0,2.6600798020129197,1199.9976658087983,0.0022760848619685,3.195889614011317e-07,1199.9999422131389,1.1123251967362852e-10,7.972033821896173e-22,100.0,0.18
297.19438492083475,200.0,20.0,2.805615079165159,1199.9974091766292,0.0025326414101270508,3.9520984790741134e-07,1199.9999422131048,1.4524572181035932e-10,1.368824923339768e-21,100.0,0.19
297.04907630903193,200.0,20.0,2.950923690967983,1199.997139199773,0.002802530139938299,4.833360649171384e-07,1199.999942213063,1.8704488784205998e-10,2.2677222720920645e-21,100.0,0.2
296.90399296832373,200.0,20.0,3.096007031676161,1199.9968559299934,0.0030856980265440677,5.852294192320956e-07,1199.9999422130122,2.378768827705957e-10,3.6579635659050894e-21,100.0,0.21
296.7591335195882,200.0,20.0,3.240866480411739,1199.9965594187267,0.0033820923179499578,7.022047056349931e-07,1199.9999422129508,2.9910559122419744e-10,5.755440988468884e-21,100.0,0.22
296.6144965981731,200.0,20.0,3.385503401826826,1199.9962497170943,0.003691660528513953,8.356264559404968e-07,1199.9999422128778,3.722261156353666e-10,8.880869545080402e-21,100.0,0.23
296.4700808538441,200.0,20.0,3.5299191461558665,1199.9959268759023,0.004014350438524759,9.869086697745536e-07,1199.9999422127912,4.5886607684508496e-10,1.3452422848528474e-20,100.0,0.24
296.3258849507055,200.0,20.0,3.674115049294493,1199.9955909456419,0.004350110093116074,1.1575144409804576e-06,1199.9999422126891,5.607867259249588e-10,2.0052419363792257e-20,100.0,0.25
296.18190756671737,200.0,20.0,3.8180924332825446,1199.9952419764982,0.004698887797759437,1.3489535821232182e-06,1199.99994221257,6.798936850466701e-10,2.943476209152665e-20,100.0,0.26
296.0381473939571,200.0,20.0,3.961852606042809,1199.994880018345,0.005060632120529812,1.5627839283392124e-06,1199.9999422124317,8.18230633963096e-10,4.2597616142146455e-20,100.0,0.27
295.89460313805756,200.0,20.0,4.105396861942374,1199.9945051207542,0.005435291886674506,1.8006085431199737e-06,1199.9999422122721,9.779917245860153e-10,6.082466330269296e-20,100.0,0.28
