Time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12,parameter_13,parameter_14,compartment_1,compartment_2,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10
0.0,300.0,0.0,1199.99994221325,0.0,0.0,1199.99994221325,0.0,0.0,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,3e+51,3e+51,24.3,108.6,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,299.85012787093086,0.1498721290691189,1199.9999350259122,7.187333978421639e-06,3.4359098368903206e-12,1199.99994221325,7.631254218297444e-17,1.0428341699310674e-33,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,3e+51,3e+51,24.3,108.6,1.0,1.0,14.998125896196818,0.023671317755754713,0.0014381971562198394,1.3050214858422225e-09,3.898934088596485e-12,1.7059214614714993e-06,3.2971545751700675e-14,3.176630028940948e-31,1.543696579120832e-34,1.2086331847868059e-17
0.02,299.70051033929025,0.29948966070969374,1199.9999135027983,2.8710397326127716e-05,5.4046618786185176e-11,1199.99994221325,2.269557472586358e-15,4.049625425173537e-31,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,3e+51,3e+51,24.3,108.6,1.0,1.0,14.996253574201651,0.0471727926566371,0.002873951147317985,1.0417176016972199e-08,6.12740280139133e-11,6.8082293363289715e-06,5.18640083305048e-13,1.486067960830357e-28,5.994618179578489e-32,3.5945099639426897e-16
0.03,299.5511456935105,0.4488543064894814,1199.9998777022731,6.451071230572283e-05,2.6422898296248825e-10,1199.99994221325,1.5703459653888134e-14,1.6960462319417032e-29,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,3e+51,3e+51,24.3,108.6,1.0,1.0,14.994383018152652,0.07050640256231326,0.004307278390756572,3.508053520742746e-08,2.992916057004668e-10,1.5283857948854778e-05,2.5355839979077778e-12,5.0269521696124045e-27,2.5106393438206274e-30,2.4871026298266727e-15
0.04,299.4020322474646,0.5979677525353855,1199.9998276821304,0.00011453029376668036,8.252819550615073e-10,1199.99994221325,6.450801230529501e-14,3.342437388243121e-28,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,3e+51,3e+51,24.3,108.6,1.0,1.0,14.992514212444407,0.0936740924646232,0.005738195059924804,8.297115410985279e-08,9.339529603795932e-10,2.7110036398081306e-05,7.919538937608064e-12,6.449780965491719e-26,4.947774357525317e-29,1.02167278221782e-14
0.05,299.25316833552347,0.7468316644765578,1199.9997634997446,0.00017871150175405,2.0030779896533406e-09,1199.9999422132498,1.948071402054426e-13,2.836020581261656e-27,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,3e+51,3e+51,24.3,108.6,1.0,1.0,14.990647141667152,0.11667777588534066,0.007166717131573033,1.6169784799825945e-07,2.264808295656601e-09,4.226424982706063e-05,1.922185991930846e-11,4.727501622547298e-25,4.198130483327315e-28,3.08533821123679e-14
0.06,299.1045523110845,0.8954476889155166,1199.999685212111,0.00025699700271590944,4.135904180861033e-09,1199.9999422132496,4.809027300816747e-13,1.6168269410878245e-26,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,3e+51,3e+51,24.3,108.6,1.0,1.0,14.98878179058933,0.1395193357024797,0.008592860399929174,2.7880291828816117e-07,4.672155950193669e-09,6.072422662898097e-05,3.9688804537236956e-11,2.40966499106287e-24,2.3933710340282148e-27,7.616489301885565e-14
0.07,298.9561825451992,1.0438174548007766,1199.9995928758829,0.00034932973453532563,7.632116264816155e-09,1199.9999422132491,1.0328656674216133e-12,7.237240369123663e-26,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,3e+51,3e+51,24.3,108.6,1.0,1.0,14.986918144141274,0.16220062494064755,0.010016640489870046,4.417628332387593e-07,8.614050782235833e-09,8.246792668920377e-05,7.323902039159285e-11,9.550316756757526e-24,1.0713205072580155e-26,1.6358409142987721e-13
0.08,298.8080574268274,1.1919425731725963,1199.9994865473589,0.00045565292153576493,1.2969062157469738e-08,1199.9999422132482,2.0033855213441023e-12,2.699840562638876e-25,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,3e+51,3e+51,24.3,108.6,1.0,1.0,14.985056187419291,0.18472346729474332,0.011438072854480869,6.579889347899593e-07,1.4624765143223234e-08,0.00010747354153969719,1.2445321518351392e-10,3.1477632400476043e-23,3.9965426874987253e-26,3.172936130107337e-13
0.09,298.660175363397,1.3398246366029847,1199.999366282458,0.0005759100996381677,2.0691950798646407e-08,1199.9999422132466,3.5959659116172187e-12,8.907458007936097e-25,100.0,200.0,20.0,100.0,54.3,50.5,500.0,24.3,108.6,50.5,500.0,24.3,108.6,3e+51,3e+51,24.3,108.6,1.0,1.0,14.983195905693593,0.20708965759603737,0.012857172769680805,9.348281696009078e-07,2.331320117807081e-08,0.0001357194969663401,1.9856330195991903e-10,9.014589606571792e-23,1.318560397676894e-25,5.695238087719509e-13
