Time,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL,kf_0,kr_0,kf_1,kr_1,kf_2,kr_2,kf_3,kr_3,kf_4,kr_4,kf_5,kr_5,kf_6,kr_6,kf_7,kr_7,kf_8,kr_8,kf_9,kr_9,kf_10,kr_10,kf_11,kr_11,kf_12,kr_12,kf_13,kr_13,kf_14,kr_14,kf_15,kr_15,kf_16,kr_16,t2,comp1,React0,React1,React2,React3,React4,React5,React6,React7,React8,React9,React10,React11,React12,React13,React14,React15,React16
0.0,0.0,0.0,0.0,0.0,0.0,1.66057788110262e-05,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,8000.0,1500.0,16000.0,30000.0,700.0,3000.0,8.64,1500.0,17.28,0.54,10800.0,130.0,2740.0,3000.0,4.0,1500.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,3000.0,4.0,1500.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,20.0,1e-16,4.9817336433078594e-18,0.0,0.0,0.0,0.0,8.967120557954147e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.820825775911836e-07,7.502535506457169e-09,9.254523185670645e-08,2.6807793053480344e-10,2.005519806940444e-06,5.373147921545611e-06,2.72910768774329e-10,2.0102358450553233e-15,1.2788616359600498e-06,1.4785420749852152e-12,1.1400091729584516e-11,7.665565232282383e-06,3000.0,8000.0,1500.0,16000.0,30000.0,700.0,3000.0,8.64,1500.0,17.28,0.54,10800.0,130.0,2740.0,3000.0,4.0,1500.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,3000.0,4.0,1500.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,20.0,1e-16,7.528530911328247e-21,9.495846895172766e-21,9.658166513784013e-21,4.642988362466639e-25,6.3568805712200965e-22,6.258227858753037e-25,7.143639614882053e-22,4.190133162924872e-25,1.0229101720053557e-22,5.2384988884669815e-25,1.8239684405743875e-22,1.5227542672052e-20,1.1653923522510988e-29,3.452696228319059e-27,5.700021741962117e-29,3.7512500107236846e-26,6.394275430507996e-24
0.02,1.6501933265038598e-07,1.5204745006495946e-08,8.349252992256252e-08,2.4068974241526653e-10,1.8011308233082653e-06,4.819218760705075e-06,1.2838202220403404e-09,9.19039387443562e-15,2.7379618168691272e-06,6.867226483426303e-12,2.150627973842683e-11,6.982197909903203e-06,3000.0,8000.0,1500.0,16000.0,30000.0,700.0,3000.0,8.64,1500.0,17.28,0.54,10800.0,130.0,2740.0,3000.0,4.0,1500.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,3000.0,4.0,1500.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,20.0,1e-16,4.860969564910077e-21,6.138691255622226e-21,6.304144257933792e-21,6.93768714859358e-26,4.58641500071645e-22,2.9289126958618e-25,5.37747504225318e-22,3.6998591892967056e-25,9.034229747909003e-23,4.661154439359034e-25,1.6308704626515633e-22,1.3742620912640004e-20,1.022756896016462e-29,3.0277948816730625e-27,1.0753029584486923e-28,7.602290096530173e-26,1.3689655025918993e-23
0.03,1.49340804015107e-07,2.2119664426797258e-08,7.555086137567082e-08,2.177593853112854e-10,1.6295208151527518e-06,4.359865327318694e-06,2.986163356597753e-09,2.1289591516868684e-14,4.046256152895285e-06,1.5944289196039734e-11,3.05975875256801e-11,6.319874699933659e-06,3000.0,8000.0,1500.0,16000.0,30000.0,700.0,3000.0,8.64,1500.0,17.28,0.54,10800.0,130.0,2740.0,3000.0,4.0,1500.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,3000.0,4.0,1500.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,20.0,1e-16,4.342946073406744e-21,5.482835848741572e-21,5.631183049964935e-21,5.187136480602014e-26,4.1188572486525937e-22,2.525915390212925e-25,4.828345800519703e-22,3.3141048698512733e-25,8.094474170336082e-23,4.175424913286278e-25,1.4611963822044387e-22,1.23120026514828e-20,9.16177664471186e-30,2.7126941277579328e-27,1.529853828774185e-28,1.1059640881928278e-25,2.0230922424873637e-23
0.04,1.352926265074218e-07,2.8310317421615515e-08,6.843731571959745e-08,1.9722712515819701e-10,1.4758548246605632e-06,3.948581534206545e-06,5.307715008639232e-09,3.77927197527042e-14,5.217516449306927e-06,2.8324018932142964e-11,3.873671507986896e-11,5.72621370254299e-06,3000.0,8000.0,1500.0,16000.0,30000.0,700.0,3000.0,8.64,1500.0,17.28,0.54,10800.0,130.0,2740.0,3000.0,4.0,1500.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,3000.0,4.0,1500.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,20.0,1e-16,3.890600533512909e-21,4.910021287209569e-21,5.0429203442560866e-21,3.8296765726917026e-26,3.707000799453277e-22,2.1810767630066452e-25,4.342882134176239e-22,2.9688755531448206e-25,7.253445379678567e-23,3.740499051217771e-25,1.3092207647203984e-22,1.1029808572692118e-20,8.208352954075686e-30,2.4308329100591785e-27,1.9367904027297449e-28,1.4154818822580573e-25,2.60869453207336e-23
0.05,1.227073775644453e-07,3.38520463338502e-08,6.206456764687504e-08,1.7883313228216171e-10,1.3381918829237444e-06,3.5801298742056376e-06,8.183584057697948e-09,5.82382527852187e-14,6.266008122383945e-06,4.3660303909570045e-11,4.602260072489054e-11,5.194372781634822e-06,3000.0,8000.0,1500.0,16000.0,30000.0,700.0,3000.0,8.64,1500.0,17.28,0.54,10800.0,130.0,2740.0,3000.0,4.0,1500.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,3000.0,4.0,1500.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,20.0,1e-16,3.485455922695798e-21,4.396978335449209e-21,4.516037978898278e-21,2.61532377484835e-26,3.33808980366281e-22,1.8723034236980819e-25,3.9080294276491865e-22,2.65961683927085e-25,6.500045217037361e-23,3.3508881792474947e-25,1.1730791071695701e-22,9.881198905356546e-21,7.354271737592258e-30,2.178340277149074e-27,2.301060150341185e-28,1.6925499243278186e-25,3.1329058581832803e-23
0.06,1.114326535531569e-07,3.881246208998089e-08,5.635542907771338e-08,1.6235456540298865e-10,1.2148642389403056e-06,3.2500463816855565e-06,1.1555639072406582e-08,8.221274979843518e-14,7.20452240551443e-06,6.164308941212508e-11,5.254414245641753e-11,4.717912977082617e-06,3000.0,8000.0,1500.0,16000.0,30000.0,700.0,3000.0,8.64,1500.0,17.28,0.54,10800.0,130.0,2740.0,3000.0,4.0,1500.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,3000.0,4.0,1500.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,20.0,1e-16,3.1225233534226383e-21,3.937390155994775e-21,4.044052263687545e-21,1.5278897752236375e-26,3.007607372582445e-22,1.5957397579231064e-25,3.5184753893050325e-22,2.3825790093290093e-25,5.825138908558991e-23,3.001869845651875e-25,1.051121583156044e-22,8.852259639318565e-21,6.589174680519734e-30,1.9521538934982202e-27,2.6271084675211186e-28,1.9405491327917503e-25,3.6021225350883466e-23
0.07,1.013319152661471e-07,4.325213206637355e-08,5.1240760079939494e-08,1.4759185866368984e-10,1.104378316791346e-06,2.9543335161339784e-06,1.537180538647018e-08,1.0934584678593718e-13,8.044517910713413e-06,8.199462561355572e-11,5.83809777393976e-11,4.2910643777806545e-06,3000.0,8000.0,1500.0,16000.0,30000.0,700.0,3000.0,8.64,1500.0,17.28,0.54,10800.0,130.0,2740.0,3000.0,4.0,1500.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,3000.0,4.0,1500.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,20.0,1e-16,2.79740140711671e-21,3.525683092866532e-21,3.621239353795488e-21,5.5408900392246045e-27,2.7115476718595317e-22,1.3480251444982365e-25,3.169498563840743e-22,2.1344049526986197e-25,5.220548138530222e-23,2.6892147589293427e-25,9.418703777913091e-23,7.930522804793521e-21,5.903790358863653e-30,1.7495328572162564e-27,2.9189176719537372e-28,2.1625082097679414e-25,4.0220744936920695e-23
0.08,9.228284773034936e-08,4.722531333686962e-08,4.6658624877207166e-08,1.3436624450290707e-10,1.0053961956597756e-06,2.68941036919316e-06,1.958543405020185e-08,1.3930576837804965e-13,8.796259411181194e-06,1.0446610174826931e-10,6.360444695843262e-11,3.90865803889845e-06,3000.0,8000.0,1500.0,16000.0,30000.0,700.0,3000.0,8.64,1500.0,17.28,0.54,10800.0,130.0,2740.0,3000.0,4.0,1500.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,3000.0,4.0,1500.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,20.0,1e-16,2.506154230127541e-21,3.156872980407362e-21,3.242480468156542e-21,-3.1785430348652197e-27,2.4463264036455157e-22,1.126158732910177e-25,2.856873272223201e-22,1.912087527819367e-25,4.678947158548839e-23,2.409134385082731e-25,8.44001658606409e-23,7.104819065491224e-21,5.289814107173994e-30,1.5680220789165083e-27,3.1800551809995775e-28,2.3611403075213835e-25,4.3978946803819944e-23
0.09,8.417588499426444e-08,5.078060810554667e-08,4.255354236798214e-08,1.2251758280608479e-10,9.167193664466326e-07,2.452069148148338e-06,2.4154738173916047e-08,1.7179531901020862e-13,9.468941852432246e-06,1.2883463974205003e-10,6.827845509608526e-11,3.566063867884298e-06,3000.0,8000.0,1500.0,16000.0,30000.0,700.0,3000.0,8.64,1500.0,17.28,0.54,10800.0,130.0,2740.0,3000.0,4.0,1500.0,8.0,19.7,3.74,19.85,1.74,20.0,0.81,3000.0,4.0,1500.0,8.0,0.05,0.0012,0.05,0.0012,0.05,0.0012,20.0,1e-16,2.2452512871953127e-21,2.8264889761717936e-21,2.9031842308924562e-21,-1.0985764111128777e-26,2.2087299149325266e-22,9.274456943867599e-26,2.5768115497912e-22,1.7129328660691287e-25,4.193773388620393e-23,2.158234959220511e-25,7.563295579007944e-23,6.365143445721585e-21,4.739806242565408e-30,1.405422174670352e-27,3.413716600421451e-28,2.5388758037096427e-25,4.734181069358036e-23
