A,AL,ALL,B,BL,BLL,D,DL,DLL,I,IL,ILL,Time
0.0,0.0,0.0,1.66057788110262e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6807793053480344e-10,9.254523185670645e-08,7.665565232282383e-06,5.373147921545611e-06,2.005519806940444e-06,1.820825775911836e-07,2.0102358450553233e-15,1.4785420749852152e-12,2.72910768774329e-10,1.1400091729584516e-11,7.502535506457169e-09,1.2788616359600498e-06,0.01
2.4068974241526653e-10,8.349252992256252e-08,6.982197909903203e-06,4.819218760705075e-06,1.8011308233082653e-06,1.6501933265038598e-07,9.19039387443562e-15,6.867226483426303e-12,1.2838202220403404e-09,2.150627973842683e-11,1.5204745006495946e-08,2.7379618168691272e-06,0.02
2.177593853112854e-10,7.555086137567082e-08,6.319874699933659e-06,4.359865327318694e-06,1.6295208151527518e-06,1.49340804015107e-07,2.1289591516868684e-14,1.5944289196039734e-11,2.986163356597753e-09,3.05975875256801e-11,2.2119664426797258e-08,4.046256152895285e-06,0.03
1.9722712515819701e-10,6.843731571959745e-08,5.72621370254299e-06,3.948581534206545e-06,1.4758548246605632e-06,1.352926265074218e-07,3.77927197527042e-14,2.8324018932142964e-11,5.307715008639232e-09,3.873671507986896e-11,2.8310317421615515e-08,5.217516449306927e-06,0.04
1.7883313228216171e-10,6.206456764687504e-08,5.194372781634822e-06,3.5801298742056376e-06,1.3381918829237444e-06,1.227073775644453e-07,5.82382527852187e-14,4.3660303909570045e-11,8.183584057697948e-09,4.602260072489054e-11,3.38520463338502e-08,6.266008122383945e-06,0.05
1.6235456540298865e-10,5.635542907771338e-08,4.717912977082617e-06,3.2500463816855565e-06,1.2148642389403056e-06,1.114326535531569e-07,8.221274979843518e-14,6.164308941212508e-11,1.1555639072406582e-08,5.254414245641753e-11,3.881246208998089e-08,7.20452240551443e-06,0.06
1.4759185866368984e-10,5.1240760079939494e-08,4.2910643777806545e-06,2.9543335161339784e-06,1.104378316791346e-06,1.013319152661471e-07,1.0934584678593718e-13,8.199462561355572e-11,1.537180538647018e-08,5.83809777393976e-11,4.325213206637355e-08,8.044517910713413e-06,0.07
1.3436624450290707e-10,4.6658624877207166e-08,3.90865803889845e-06,2.68941036919316e-06,1.0053961956597756e-06,9.228284773034936e-08,1.3930576837804965e-13,1.0446610174826931e-10,1.958543405020185e-08,6.360444695843262e-11,4.722531333686962e-08,8.796259411181194e-06,0.08
1.2251758280608479e-10,4.255354236798214e-08,3.566063867884298e-06,2.452069148148338e-06,9.167193664466326e-07,8.417588499426444e-08,1.7179531901020862e-13,1.2883463974205003e-10,2.4154738173916047e-08,6.827845509608526e-11,5.078060810554667e-08,9.468941852432246e-06,0.09
1.1190239948027503e-10,3.8875805140247094e-08,3.259133555260458e-06,2.23943590387686e-06,8.372740502700321e-07,7.691286260092742e-08,2.0654823158733275e-13,1.5490055593687233e-10,2.9042279534803076e-08,7.246025699607829e-11,5.396156087830926e-08,1.0070803323703902e-05,0.1
1.0239218870848993e-10,3.558089166671574e-08,2.9841515839428467e-06,2.0489365183366394e-06,7.660984928385523e-07,7.040585749040823e-08,2.4332601955446284e-13,1.8248500034140103e-10,3.421452596559765e-08,7.62011341812749e-11,5.6807173222774416e-08,1.0609222445913397e-05,0.11
9.387182415678963e-11,3.2628915805047486e-08,2.7377892786865686e-06,1.8782648798902582e-06,7.023310736451533e-07,6.457610074792694e-08,2.8191502778056296e-13,2.1142774497832006e-10,3.964143669697103e-08,7.954702897259391e-11,5.935238603813769e-08,1.1090809611002983e-05,0.12
8.623817731916282e-11,2.9984148125304085e-08,2.517064860290124e-06,1.7253552070646924e-06,6.451999654925708e-07,5.9353032317664995e-08,3.2212386836298394e-13,2.4158526089815573e-10,4.5296101821343576e-08,8.253909583602054e-11,6.16284988760778e-08,1.1521486312380482e-05,0.13
7.939887110347987e-11,2.7614584083186794e-08,2.319307407762318e-06,1.588357081456167e-06,5.940138061681222e-07,5.467344821246873e-08,3.6378110736027e-13,2.728289833736429e-10,5.115441703822609e-08,8.521419877655069e-11,6.366354822795404e-08,1.1906556712243378e-05,0.14
7.327114066919245e-11,2.549154935105106e-08,2.142123921441975e-06,1.465612629011775e-06,5.48153172804347e-07,5.0480721104052824e-08,4.0673315057633337e-13,3.0504372637015956e-10,5.719478638698278e-08,8.760536593253728e-11,6.548265326126059e-08,1.2250773050698614e-05,0.15
6.778084577191186e-11,2.3589357639342644e-08,1.9833707666827865e-06,1.3556367361659802e-06,5.070631901369551e-07,4.6724124573684e-08,4.508424105324576e-13,3.3812630788943745e-10,6.339786451573236e-08,8.974218370960363e-11,6.710831557360113e-08,1.2558392355558319e-05,0.16
