Time,x,y,z,epsilon,delta,a1,a2,a3,a4,a5,b1,b2,b3,k1,k2,k3,Compartment
0.0,2.0,1.0,0.15,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.01,1.998455370532202,0.9997453485713855,0.15001597627703175,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.02,1.9969123901257553,0.9994907942578142,0.1500319384514869,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.03,1.995371057140982,0.9992363370176821,0.1500478865383935,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.04,1.993831369939856,0.9989819768093686,0.15006382055276463,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.05,1.992293326886293,0.998727713591233,0.1500797405095955,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.06,1.9907569263468725,0.9984735473216073,0.150095646423857,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.07,1.9892221666880443,0.9982194779588247,0.15011153831052118,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.08,1.9876890462777208,0.9979655054612039,0.15012741618454672,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.09,1.9861575634855326,0.9977116297870455,0.15014328006087657,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.1,1.9846277166828283,0.9974578508946331,0.15015912995443798,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.11,1.983099504242676,0.9972041687422323,0.1501749658801424,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.12,1.981572924539861,0.9969505832880913,0.15019078785288562,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.13,1.9800479759508887,0.9966970944904404,0.15020659588754773,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.14,1.9785246568539818,0.9964437023074931,0.15022238999899293,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.15,1.977002965628966,0.9961904066974457,0.150238170202071,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.16,1.9754829006568766,0.9959372076184821,0.15025393651162047,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.17,1.973964460320806,0.9956841050287657,0.15026968894246112,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.18,1.972447643005604,0.9954310988864417,0.1502854275093966,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.19,1.9709324470978193,0.9951781891496375,0.15030115222721513,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.2,1.9694188709856997,0.9949253757764638,0.1503168631106892,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.21,1.9679069130591895,0.9946726587250135,0.1503325601745759,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
0.22,1.9663965717099319,0.9944200379533624,0.15034824343361677,0.1,0.9,0.05,0.009,0.675,0.01,0.005,0.1,0.3,0.01,0.1,0.5,0.025,1.0
