data_set_T,data_set_H,data_set_ITRP,data_set_M,data_set_N,data_set_V,data_set_VEX
0.0,0.69,-2.1300001,0.037999999,0.15899999,-71.0,0.0
10.0,0.47995922,-2.1936438,0.018528268,0.41903207,-73.272247,0.15078752
20.0,0.55767941,-1.8677573,0.070556045,0.34152129,-62.560101,0.30152145
30.0,0.55293894,-1.8950177,0.062077571,0.33770171,-63.619408,0.45214829
40.0,0.55132627,-1.8953191,0.061050054,0.33738533,-63.779919,0.60261446
50.0,0.55283672,-1.8922971,0.060721904,0.33640277,-63.829441,0.75286651
60.0,0.55505979,-1.8897362,0.060265839,0.33532232,-63.894058,0.9028511
70.0,0.55741358,-1.8872769,0.05979225,0.33426538,-63.961742,1.0525149
80.0,0.55979383,-1.8848094,0.059327006,0.33322132,-64.028786,1.2018048
90.0,0.56216991,-1.8823375,0.058868982,0.33218589,-64.095253,1.3506676
100.0,0.56453091,-1.8798648,0.058417525,0.33115891,-64.161209,1.4990505
110.0,0.56687313,-1.8773928,0.057972636,0.33014062,-64.226662,1.6469009
120.0,0.56919503,-1.8749225,0.057534318,0.32913119,-64.291588,1.7941661
130.0,0.57149577,-1.8724551,0.057102583,0.32813084,-64.355965,1.9407939
140.0,0.57377481,-1.8699919,0.056677435,0.32713974,-64.419792,2.0867321
150.0,0.57603163,-1.8675337,0.056258872,0.32615811,-64.483055,2.2319288
160.0,0.57826561,-1.8650819,0.055846896,0.32518616,-64.545731,2.3763328
170.0,0.58047622,-1.8626375,0.055441502,0.32422408,-64.607811,2.5198922
180.0,0.58266312,-1.8602018,0.055042688,0.32327208,-64.669281,2.6625564
190.0,0.58482581,-1.8577758,0.054650441,0.3223303,-64.730133,2.8042746
200.0,0.58696371,-1.8553606,0.054264762,0.32139894,-64.790352,2.9449964
210.0,0.58907652,-1.8529574,0.053885635,0.3204782,-64.849922,3.084672
220.0,0.59116369,-1.8505673,0.05351305,0.31956825,-64.908829,3.2232516
230.0,0.59322488,-1.8481914,0.053146996,0.31866926,-64.967064,3.3606858
240.0,0.59525967,-1.8458308,0.05278746,0.31778142,-65.02462,3.4969261
250.0,0.59726763,-1.8434865,0.052434426,0.31690484,-65.081474,3.6319239
260.0,0.59924835,-1.8411598,0.052087881,0.31603974,-65.137627,3.7656314
270.0,0.60120153,-1.8388516,0.05174781,0.31518629,-65.193054,3.898001
280.0,0.60312676,-1.8365629,0.051414192,0.31434461,-65.247749,4.0289855
290.0,0.60502368,-1.8342948,0.051087014,0.31351486,-65.301697,4.1585388
300.0,0.60689199,-1.8320485,0.050766259,0.31269723,-65.354897,4.2866144
310.0,0.60873127,-1.8298248,0.050451908,0.31189185,-65.407326,4.413167
320.0,0.61054128,-1.8276248,0.050143939,0.31109884,-65.458977,4.5381517
330.0,0.61232162,-1.8254496,0.049842335,0.31031841,-65.509842,4.6615238
340.0,0.61407208,-1.8233,0.04954708,0.30955067,-65.559906,4.7832398
350.0,0.61579227,-1.8211771,0.049258154,0.30879575,-65.609161,4.9032564
360.0,0.61748189,-1.8190818,0.048975535,0.30805382,-65.657593,5.0215311
370.0,0.61914074,-1.8170149,0.048699204,0.30732501,-65.705185,5.138021
380.0,0.62076849,-1.8149776,0.048429146,0.30660945,-65.751945,5.252686
390.0,0.62236488,-1.8129708,0.048165336,0.30590725,-65.797844,5.3654847
400.0,0.62392968,-1.8109951,0.047907759,0.30521858,-65.84288,5.476377
410.0,0.62546259,-1.8090516,0.047656395,0.30454358,-65.887047,5.5853233
420.0,0.62696338,-1.8071411,0.047411226,0.30388233,-65.930321,5.6922855
430.0,0.62843186,-1.8052645,0.04717223,0.30323499,-65.97271,5.797225
440.0,0.62986773,-1.8034225,0.046939388,0.30260167,-66.014183,5.900105
450.0,0.63127077,-1.801616,0.046712689,0.30198249,-66.054756,6.0008883
460.0,0.63264084,-1.7998457,0.046492107,0.30137756,-66.094398,6.0995402
470.0,0.63397765,-1.7981124,0.046277627,0.30078703,-66.133102,6.1960244
480.0,0.63528097,-1.796417,0.046069235,0.30021098,-66.170876,6.2903075
490.0,0.63655072,-1.79476,0.04586691,0.29964954,-66.207687,6.3823557
500.0,0.63778663,-1.7931423,0.04567064,0.29910281,-66.243546,6.472136
510.0,0.63898849,-1.7915645,0.0454804,0.29857093,-66.278435,6.559617
520.0,0.64015621,-1.7900273,0.045296185,0.29805395,-66.31234,6.6447673
530.0,0.64128953,-1.7885313,0.045117971,0.29755202,-66.345268,6.7275567
540.0,0.64238834,-1.7870772,0.044945747,0.2970652,-66.377197,6.8079557
550.0,0.64345247,-1.7856656,0.044779498,0.29659361,-66.408127,6.8859363
560.0,0.64448172,-1.7842971,0.04461921,0.29613736,-66.438042,6.9614701
570.0,0.64547598,-1.7829722,0.044464871,0.29569653,-66.466934,7.0345306
580.0,0.64643514,-1.7816916,0.044316463,0.29527119,-66.494812,7.1050916
590.0,0.64735895,-1.7804557,0.044173978,0.29486144,-66.521652,7.1731281
600.0,0.64824742,-1.779265,0.044037405,0.29446736,-66.547455,7.2386165
610.0,0.6491003,-1.7781202,0.043906726,0.29408905,-66.572205,7.3015327
620.0,0.64991754,-1.7770215,0.043781936,0.29372659,-66.595909,7.3618546
630.0,0.65069896,-1.7759696,0.043663017,0.29338002,-66.618546,7.4195614
640.0,0.65144449,-1.7749647,0.04354997,0.29304945,-66.640121,7.4746313
650.0,0.65215409,-1.7740074,0.043442775,0.29273495,-66.660629,7.5270462
660.0,0.6528275,-1.773098,0.043341428,0.29243657,-66.680054,7.5767865
670.0,0.65346479,-1.7722369,0.043245919,0.29215437,-66.698395,7.6238346
680.0,0.65406579,-1.7714244,0.043156236,0.29188842,-66.715652,7.6681743
690.0,0.65463036,-1.7706609,0.04307238,0.29163876,-66.731819,7.7097893
700.0,0.65515852,-1.7699467,0.042994339,0.29140547,-66.746887,7.7486653
710.0,0.65565014,-1.769282,0.042922106,0.2911886,-66.760857,7.7847881
720.0,0.65610516,-1.7686672,0.042855676,0.29098818,-66.77372,7.8181448
730.0,0.65652359,-1.7681024,0.04279504,0.29080424,-66.785469,7.8487244
740.0,0.65690523,-1.7675879,0.0427402,0.29063687,-66.796112,7.8765149
750.0,0.65725011,-1.7671239,0.042691145,0.29048607,-66.805641,7.9015069
760.0,0.65755814,-1.7667108,0.042647872,0.2903519,-66.814049,7.9236913
770.0,0.65782934,-1.7663482,0.042610381,0.29023436,-66.821335,7.9430609
780.0,0.65806359,-1.7660369,0.042578667,0.29013348,-66.827507,7.9596081
790.0,0.65826094,-1.7657765,0.042552728,0.29004931,-66.83255,7.9733276
800.0,0.65842134,-1.7655675,0.042532559,0.28998184,-66.836464,7.9842138
810.0,0.65854466,-1.7654097,0.042518161,0.28993112,-66.839256,7.9922633
820.0,0.65863103,-1.7653033,0.042509537,0.28989714,-66.840919,7.9974737
830.0,0.65868038,-1.7652483,0.04250668,0.28987989,-66.841454,7.9998422
840.0,0.65869266,-1.7652446,0.042509593,0.28987941,-66.840858,7.9993682
850.0,0.65866792,-1.7652924,0.042518277,0.28989568,-66.839134,7.9960523
860.0,0.65860611,-1.7653916,0.042532731,0.28992873,-66.836281,7.9898958
870.0,0.65850729,-1.7655421,0.042552959,0.2899785,-66.832306,7.9809003
880.0,0.65837139,-1.765744,0.042578962,0.29004502,-66.827202,7.969069
890.0,0.65819854,-1.7659971,0.042610742,0.29012829,-66.820976,7.9544063
900.0,0.65798873,-1.7663012,0.042648304,0.29022825,-66.813622,7.9369178
910.0,0.6577419,-1.7666563,0.042691652,0.29034489,-66.805153,7.9166088
920.0,0.65745813,-1.7670622,0.042740788,0.2904782,-66.795563,7.8934875
930.0,0.65713751,-1.7675188,0.042795721,0.29062817,-66.784851,7.8675618
940.0,0.65678,-1.7680258,0.042856451,0.29079473,-66.773033,7.8388405
950.0,0.65638572,-1.7685831,0.042922985,0.29097787,-66.760101,7.8073339
960.0,0.65595466,-1.7691903,0.042995334,0.29117751,-66.746063,7.7730536
970.0,0.65548694,-1.7698474,0.043073498,0.2913937,-66.730927,7.736012
980.0,0.65498251,-1.7705539,0.043157488,0.2916263,-66.714684,7.6962214
990.0,0.6544416,-1.7713097,0.043247309,0.29187533,-66.697357,7.6536965
1000.0,0.65386409,-1.7721144,0.043342974,0.29214069,-66.678932,7.6084523
1010.0,0.65325022,-1.7729676,0.043444488,0.29242235,-66.659424,7.5605044
1020.0,0.65259999,-1.773869,0.043551866,0.29272023,-66.63884,7.509871
1030.0,0.65191352,-1.7748183,0.043665111,0.29303432,-66.61718,7.4565687
1040.0,0.65119088,-1.775815,0.043784235,0.2933645,-66.594452,7.4006176
1050.0,0.65043217,-1.7768588,0.043909252,0.29371071,-66.570663,7.3420372
1060.0,0.64963752,-1.7779491,0.04404017,0.29407293,-66.545815,7.2808475
1070.0,0.64880699,-1.7790855,0.044177003,0.29445103,-66.51992,7.2170715
1080.0,0.64794075,-1.7802676,0.044319764,0.29484496,-66.492981,7.1507316
1090.0,0.64703888,-1.7814949,0.044468462,0.29525462,-66.465012,7.0818505
1100.0,0.64610147,-1.7827667,0.044623118,0.29567993,-66.436012,7.0104532
1110.0,0.64512873,-1.7840827,0.044783738,0.29612085,-66.405983,6.9365654
1120.0,0.64412075,-1.7854421,0.04495034,0.29657724,-66.374947,6.8602133
1130.0,0.64307767,-1.7868445,0.045122936,0.29704902,-66.342911,6.7814236
1140.0,0.64199966,-1.7882893,0.045301545,0.29753613,-66.309868,6.7002244
1150.0,0.64088684,-1.7897758,0.045486182,0.29803842,-66.275841,6.6166444
1160.0,0.63973939,-1.7913034,0.045676865,0.29855585,-66.240829,6.530714
1170.0,0.63855749,-1.7928715,0.045873605,0.29908827,-66.204842,6.4424629
1180.0,0.63734126,-1.7944793,0.046076421,0.29963562,-66.1679,6.351923
1190.0,0.63609087,-1.7961261,0.046285335,0.30019775,-66.129997,6.2591267
1200.0,0.63480657,-1.7978113,0.046500359,0.3007746,-66.091148,6.1641059
1210.0,0.63348854,-1.7995341,0.046721514,0.301366,-66.051361,6.0668955
1220.0,0.63213688,-1.8012936,0.046948817,0.30197188,-66.010651,5.9675293
1230.0,0.63075191,-1.8030894,0.047182288,0.30259213,-65.969025,5.8660426
1240.0,0.62933373,-1.8049203,0.047421947,0.30322662,-65.926483,5.7624722
1250.0,0.6278826,-1.8067858,0.047667813,0.30387524,-65.883049,5.6568542
1260.0,0.6263988,-1.8086848,0.047919903,0.30453783,-65.838722,5.5492263
1270.0,0.62488246,-1.8106167,0.048178241,0.30521429,-65.793518,5.4396272
1280.0,0.62333387,-1.8125806,0.048442841,0.30590451,-65.747444,5.328095
1290.0,0.62175322,-1.8145754,0.048713729,0.30660835,-65.700516,5.2146697
1300.0,0.62014085,-1.8166004,0.048990924,0.30732569,-65.65274,5.0993919
1310.0,0.61849695,-1.8186547,0.049274445,0.30805638,-65.604126,4.9823022
1320.0,0.61682177,-1.8207372,0.049564309,0.30880028,-65.554688,4.8634424
1330.0,0.61511558,-1.8228472,0.049860545,0.30955729,-65.504425,4.7428546
1340.0,0.61337876,-1.8249836,0.050163165,0.31032723,-65.453369,4.6205816
1350.0,0.61161149,-1.8271453,0.050472196,0.31110996,-65.401512,4.4966669
1360.0,0.60981411,-1.8293316,0.05078765,0.31190538,-65.348877,4.3711548
1370.0,0.60798687,-1.8315413,0.051109552,0.3127133,-65.295464,4.2440896
1380.0,0.60613018,-1.8337735,0.051437922,0.31353357,-65.241302,4.1155162
1390.0,0.60424435,-1.836027,0.051772773,0.31436607,-65.186378,3.9854808
1400.0,0.60232961,-1.8383009,0.052114129,0.31521064,-65.13073,3.8540294
1410.0,0.60038644,-1.8405942,0.052462004,0.3160671,-65.074348,3.7212086
1420.0,0.59841508,-1.8429058,0.052816417,0.31693533,-65.017258,3.5870657
1430.0,0.59641594,-1.8452344,0.053177387,0.31781512,-64.959465,3.4516485
1440.0,0.59438944,-1.8475792,0.053544924,0.31870633,-64.900978,3.3150046
1450.0,0.59233588,-1.8499391,0.053919043,0.31960881,-64.84182,3.1771832
1460.0,0.59025574,-1.8523129,0.054299761,0.32052237,-64.781998,3.0382328
1470.0,0.58814937,-1.8546995,0.05468709,0.32144681,-64.721519,2.8982029
1480.0,0.58601719,-1.8570977,0.055081036,0.32238203,-64.6604,2.7571435
1490.0,0.58385968,-1.8595066,0.055481616,0.32332778,-64.598656,2.6151042
1500.0,0.5816772,-1.8619249,0.055888832,0.3242839,-64.536301,2.472136
1510.0,0.57947034,-1.8643516,0.056302689,0.32525021,-64.473343,2.3282893
1520.0,0.57723945,-1.8667855,0.056723196,0.3262265,-64.409798,2.1836154
1530.0,0.57498509,-1.8692254,0.057150349,0.3272126,-64.34568,2.0381658
1540.0,0.57270771,-1.8716702,0.057584155,0.3282083,-64.280998,1.891992
1550.0,0.57040787,-1.8741189,0.058024611,0.32921338,-64.215775,1.7451459
1560.0,0.56808609,-1.8765702,0.058471706,0.33022767,-64.150017,1.5976799
1570.0,0.56574285,-1.879023,0.058925435,0.33125094,-64.083748,1.4496461
1580.0,0.56337881,-1.8814762,0.059385788,0.33228296,-64.016968,1.3010973
1590.0,0.56099445,-1.8839285,0.059852753,0.33332354,-63.949703,1.1520863
1600.0,0.55859041,-1.886379,0.060326308,0.3343724,-63.881966,1.0026659
1610.0,0.5561673,-1.8888264,0.060806435,0.33542937,-63.81377,0.85288924
1620.0,0.55372578,-1.8912697,0.06129311,0.33649418,-63.745132,0.70280957
1630.0,0.55126637,-1.8937078,0.061786298,0.33756658,-63.676071,0.55248022
1640.0,0.54878986,-1.8961393,0.062285975,0.33864632,-63.606598,0.40195453
1650.0,0.54629689,-1.8985634,0.062792093,0.33973318,-63.536732,0.25128606
1660.0,0.54378814,-1.9009789,0.063304618,0.34082687,-63.466492,0.10052832
1670.0,0.5412643,-1.9033848,0.063823491,0.34192711,-63.395893,-0.050265152
1680.0,0.53872615,-1.9057798,0.064348675,0.34303364,-63.324955,-0.20104076
1690.0,0.53617448,-1.9081631,0.064880095,0.34414619,-63.253693,-0.35174495
1700.0,0.53360999,-1.9105335,0.065417692,0.34526446,-63.182125,-0.50232416
1710.0,0.53103346,-1.91289,0.065961391,0.34638813,-63.110275,-0.65272492
1720.0,0.52844578,-1.9152316,0.066511117,0.34751692,-63.038158,-0.8028937
1730.0,0.52584767,-1.9175571,0.067066781,0.34865052,-62.965794,-0.95277727
1740.0,0.52324015,-1.9198658,0.067628294,0.34978858,-62.893208,-1.1023223
1750.0,0.52062398,-1.9221567,0.068195552,0.35093078,-62.820412,-1.2514757
1760.0,0.51800007,-1.9244286,0.068768449,0.3520768,-62.747437,-1.4001845
1770.0,0.51536936,-1.9266808,0.06934686,0.35322627,-62.674297,-1.5483958
1780.0,0.51273274,-1.9289123,0.069930665,0.35437885,-62.601017,-1.6960568
1790.0,0.51009125,-1.9311222,0.07051973,0.35553417,-62.527622,-1.8431154
1800.0,0.50744587,-1.9333096,0.071113907,0.35669184,-62.454132,-1.9895191
1810.0,0.50479752,-1.9354737,0.071713038,0.35785148,-62.380573,-2.135216
1820.0,0.50214726,-1.9376137,0.072316967,0.35901272,-62.306973,-2.280154
1830.0,0.4994961,-1.9397289,0.072925508,0.3601751,-62.233349,-2.4242821
1840.0,0.49684519,-1.9418184,0.073538482,0.36133826,-62.159729,-2.567549
1850.0,0.49419555,-1.9438814,0.074155688,0.36250174,-62.086143,-2.7099035
1860.0,0.49154833,-1.9459172,0.074776918,0.36366513,-62.012615,-2.851295
1870.0,0.4889046,-1.9479253,0.075401947,0.36482793,-61.939171,-2.9916737
1880.0,0.48626554,-1.949905,0.076030545,0.36598974,-61.865845,-3.1309893
1890.0,0.48363233,-1.9518555,0.076662466,0.36715007,-61.79266,-3.2691927
