Tumor_Cell_Population__T_4_task1,_1_task1
10000000.0,0.0
10333765.597982127,0.5
10637864.587828062,1.0
10925462.278023126,1.5
11205275.729404232,2.0
11483062.918275129,2.5
11762650.377112988,3.0
12046618.396396516,3.5
12336753.455642223,4.0
12634340.041887894,4.5
12940352.145119289,5.0
13255572.124172866,5.5
13580670.050378129,6.0
13916257.56631841,6.5
14262917.434952158,7.0
14621227.520322341,7.5
14991775.125611199,8.0
15375167.206094295,8.5
15772038.26421968,9.0
16183056.36971653,9.5
16608928.449308887,10.0
17050404.707769632,10.5
17508283.211109918,11.0
17983414.66027513,11.5
18476707.032816377,12.0
18989130.53052649,12.5
19521723.212914173,13.0
20075597.1145843,13.5
20651944.630972497,14.0
21252045.782476775,14.5
21877276.424951654,15.0
22529117.25802239,15.5
23209163.167132508,16.0
23919134.496340256,16.5
24660889.62174603,17.0
25436438.58064157,17.5
26247957.453827087,18.0
27097806.20019991,18.5
27988548.481931534,19.0
28922972.941679027,19.5
29904115.961927872,20.0
30935290.82570648,20.5
32020119.98894041,21.0
33162569.26198075,21.5
34366984.75196195,22.0
35638144.47739874,22.5
36981307.52097592,23.0
38402274.309566475,23.5
39907455.750420585,24.0
41503952.222512715,24.5
43199644.61974615,25.0
45003300.68512006,25.5
46924697.624607034,26.0
48974765.63754631,26.5
51165755.1338125,27.0
53511432.945829086,27.5
56027316.06011889,28.0
58730937.87119762,28.5
61642139.310557194,29.0
64783542.821765095,29.5
68180921.60448484,30.0
71863772.02595909,30.5
75865956.51300773,31.0
80226541.35378838,31.5
84990727.7704151,32.0
90210991.35464247,32.5
95948576.54667476,33.0
102275223.38933162,33.5
109275306.9175314,34.0
117048574.36566153,34.5
125713479.02954547,35.0
135411317.13204378,35.5
146311351.87049818,36.0
158617901.16075447,36.5
172578049.33653495,37.0
188492727.1935337,37.5
206729975.82594565,38.0
227742279.8182033,38.5
252088556.21143135,39.0
280462056.2299861,39.5
313726294.15765095,40.0
352960410.2995084,40.5
399516922.6242302,41.0
455094250.69589406,41.5
521826959.7248378,42.0
602398211.7107389,42.5
700177069.7934018,43.0
819386038.3560864,43.5
965305566.980965,44.0
1144520224.830517,44.5
1365223248.107616,45.0
1637589480.6091,45.5
1974238412.167745,46.0
2390813989.0023913,46.5
2906703204.0556855,47.0
3545934917.583484,47.5
4338288274.217657,48.0
5320682193.461451,48.5
6538891026.716604,49.0
8049683410.092717,49.5
9923456519.95073,50.0
