Time,Circulating_lymphocyte_population__C,Chemotherapeutic_drug_concentration__M,Effector_immune_cell_population__N,Tumor_Cell_Population__T,a,b,c1,mu,g,s,Kc,Kn,Kt,kt,p,alpha1,alpha2,beta,gamma,Vm,eta,Tumor_Microenvironment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14
0.0,62500000000.0,0.45,300000.0,10000000.0,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,4309999.56038,1023.0000000000001,3600000.0000000005,12000.0,4499.990910018362,12360.0,59.99999999999999,81000.0,750000000.0,750000000.0,16875000000.000002,0.405,0.45,0.014400000000000001
0.5,54523333649.19161,0.46212255667520785,263738.8311747436,10333765.597982127,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,4453852.503274556,929.3666038119433,3820372.9425774473,12000.0,3956.074734456619,10866.039844399436,54.50830520891162,73127.79777420212,750000000.0,654280003.7902994,15117877406.651892,0.41591030100768706,0.45,0.015281491770309788
1.0,47473111974.346756,0.4695387070153817,231874.0769421887,10637864.587828062,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,4584919.139861602,841.1259558910724,3995911.3471788038,12000.0,3478.104549638919,9553.211970018174,49.33290063877257,65324.31256669224,750000000.0,569677343.6921611,13374278168.658726,0.4225848363138435,0.45,0.015983645388715217
1.5,41307666226.41829,0.4740111026849439,204178.61690902256,10925462.278023126,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,4708873.717072362,760.6843099632952,4143032.3373988005,12000.0,3062.673591082582,8412.159016651729,44.61491554036921,58069.75880743951,750000000.0,495691994.7170195,11748175450.395689,0.42660999241644953,0.45,0.016572129349595205
2.0,35950870242.82664,0.4766421806293422,180269.4700066322,11205275.729404232,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,4829473.287394246,688.8094689030971,4272725.646573021,12000.0,2704.037175471472,7427.102164273248,40.3993823403576,51554.41997091419,750000000.0,431410442.9139196,10281420712.83805,0.428977962566408,0.45,0.017090902586292086
2.5,31315161600.59216,0.47812053829016316,159715.71456261718,11483062.918275129,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,4949199.538090421,625.4027293816933,4392230.578964414,12000.0,2395.7315040779217,6580.287439979828,36.680511987196084,45818.01805204595,750000000.0,375781939.20710593,8983453152.67114,0.43030848446114683,0.45,0.017568922315857653
3.0,27313266564.681946,0.47887596767278157,142092.9036170024,11762650.377112988,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,5069701.704277712,569.943698893624,4506280.465389273,12000.0,2131.389894019079,5854.227629020498,33.427782926312254,40826.92603141638,750000000.0,327759198.77618337,7847800173.880017,0.4309883709055034,0.45,0.01802512186155709
3.5,23863678340.072662,0.47917634640226864,127008.00479987246,12046618.396396516,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,5192091.890865893,521.7357857851104,4617963.6717501115,12000.0,1905.1168774616901,5232.729797754746,30.60033934223521,36515.53902230681,750000000.0,286364140.08087194,6860946119.228983,0.4312587117620418,0.45,0.018471854687000442
4.0,20892849754.3276,0.4791885318963484,114108.92767505378,12336753.455642223,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,5317140.0703000035,480.0371943648633,4729304.62142112,12000.0,1711.6311125287866,4701.287820212216,28.154674156296963,32807.81371732537,750000000.0,250714197.0519312,6006968400.544334,0.43126967870671357,0.45,0.018917218485684482
4.5,18335693732.409252,0.4790162150656721,103086.17192114763,12634340.041887894,0.431,1.02e-14,3.41e-10,0.0412,0.015,20.2,0.6,0.6,0.8,3.2e-09,2e-11,12000.0,750000000.0,0.012,0.9,0.45,0.0,1.0,5445399.856303451,444.12718063688857,4841642.997374243,12000.0,1546.2901065820165,4247.150283151283,26.0485149933659,29627.968739566382,750000000.0,220028324.78891104,5269856767.3812275,0.4311145935591049,0.45,0.019366571989496973
