Chemotherapeutic_drug_concentration__M_2_task1,Circulating_lymphocyte_population__C_1_task1,Effector_immune_cell_population__N_3_task1,Tumor_Cell_Population__T_4_task1,_1_task1
0.45,62500000000.0,300000.0,10000000.0,0.0
0.46212255667520785,54523333649.19161,263738.8311747436,10333765.597982127,0.5
0.4695387070153817,47473111974.346756,231874.0769421887,10637864.587828062,1.0
0.4740111026849439,41307666226.41829,204178.61690902256,10925462.278023126,1.5
0.4766421806293422,35950870242.82664,180269.4700066322,11205275.729404232,2.0
0.47812053829016316,31315161600.59216,159715.71456261718,11483062.918275129,2.5
0.47887596767278157,27313266564.681946,142092.9036170024,11762650.377112988,3.0
0.47917634640226864,23863678340.072662,127008.00479987246,12046618.396396516,3.5
0.4791885318963484,20892849754.3276,114108.92767505378,12336753.455642223,4.0
0.4790162150656721,18335693732.409252,103086.17192114763,12634340.041887894,4.5
0.47872392015062576,16135279243.5657,93670.78897357755,12940352.145119289,5.0
0.4783514842142855,14242143195.01763,85630.62971107909,13255572.124172866,5.5
0.4779233604866332,12613492543.832466,78766.16903393641,13580670.050378129,6.0
0.477454677563746,11212406235.122034,72906.40895196056,13916257.56631841,6.5
0.47695448109334015,10007074717.141947,67905.01478227797,14262917.434952158,7.0
0.47642816050674536,8970120877.492064,63636.90201422959,14621227.520322341,7.5
0.47587878444980103,8077995735.899628,59995.21838400085,14991775.125611199,8.0
0.4753079500466334,7310448995.2220745,56888.71747943622,15375167.206094295,8.5
0.4747163341656997,6650070377.065678,54239.49974074242,15772038.26421968,9.0
0.47410402011244307,6081893874.787352,51981.07571710467,16183056.36971653,9.5
0.47347071901370075,5593050624.894437,50056.677324964025,16608928.449308887,10.0
0.47281587100502837,5172479276.285489,48417.86037804564,17050404.707769632,10.5
0.47213872973146814,4810670361.057397,47023.27761992098,17508283.211109918,11.0
0.4714384238676066,4499447826.013038,45837.63769594953,17983414.66027513,11.5
0.4707139738588535,4231781733.0164733,44830.818768411664,18476707.032816377,12.0
0.46996429639964493,4001627211.675539,43977.1115563128,18989130.53052649,12.5
0.4691882212371501,3803785853.016611,43254.572485575285,19521723.212914173,13.0
0.4683845022501043,3633786509.2542486,42644.471508335875,20075597.1145843,13.5
0.4675517959666149,3487786515.468224,42130.83825473593,20651944.630972497,14.0
0.4666886647246364,3362479293.7290196,41700.03805170312,21252045.782476775,14.5
0.4657935814288736,3255020405.137855,41340.4372946322,21877276.424951654,15.0
0.46486493022545383,3162963507.0037513,41042.11580862168,22529117.25802239,15.5
0.46390096437065326,3084204977.880409,40796.61876385931,23209163.167132508,16.0
0.4628998175765159,3016935269.645656,40596.74030482514,23919134.496340256,16.5
0.4618595125039177,2959598214.5863366,40436.34516023586,24660889.62174603,17.0
0.46077794759796303,2910855924.583433,40310.21543680561,25436438.58064157,17.5
0.45965283504132803,2869558086.1640987,40213.915960457205,26247957.453827087,18.0
0.45848172895607975,2834715950.960195,40143.68333858971,27097806.20019991,18.5
0.4572620395855689,2805480171.9654527,40096.33232285145,27988548.481931534,19.0
0.45599099968509094,2781121519.7996483,40069.17388185584,28922972.941679027,19.5
0.4546655661764954,2761014079.1967893,40059.94275129836,29904115.961927872,20.0
0.45328248600309107,2744621289.4082847,40066.74175812562,30935290.82570648,20.5
0.4518383202450281,2731483874.4935994,40087.993452688635,32020119.98894041,21.0
0.450329366064693,2721209281.4302444,40122.396084821754,33162569.26198075,21.5
0.4487514949507275,2713462372.872817,40168.88320009485,34366984.75196195,22.0
0.44710036903862227,2707958272.251929,40226.601616113534,35638144.47739874,22.5
0.4453712802280837,2704455560.9731655,40294.88218169115,36981307.52097592,23.0
0.44355912650488244,2702750641.5738454,40373.21899076214,38402274.309566475,23.5
0.4416583759157833,2702672956.8159943,40461.25220376653,39907455.750420585,24.0
0.4396630263418394,2704080915.1330967,40558.75401745313,41503952.222512715,24.5
0.43756657448041303,2706858541.155158,40665.61817530336,43199644.61974615,25.0
0.43536194130084405,2710912439.550747,40781.850272086165,45003300.68512006,25.5
0.43304142852129235,2716169436.8938756,40907.5619548354,46924697.624607034,26.0
0.43059665274636544,2722574567.5437055,41042.96656857861,48974765.63754631,26.5
0.42801847123761994,2730089446.975027,41188.37678081229,51165755.1338125,27.0
0.42529690719563723,2738690990.310641,41344.20424259809,53511432.945829086,27.5
0.42242105914026623,2748370427.6195984,41510.96095676919,56027316.06011889,28.0
0.41937899502262144,2759132604.2710843,41689.26214812447,58730937.87119762,28.5
0.41615768355726723,2770995638.69585,41879.83125858513,61642139.310557194,29.0
0.4127428716694357,2783990442.930122,42083.50811446466,64783542.821765095,29.5
0.409118938851606,2798161250.3848786,42301.25695560192,68180921.60448484,30.0
0.405268709572639,2813565563.0073886,42534.17563037409,71863772.02595909,30.5
0.40117328617961845,2830274675.642213,42783.507879366625,75865956.51300773,31.0
0.3968120927139073,2848374953.0027432,43050.66568026707,80226541.35378838,31.5
0.3921626334276591,2867968759.6512747,43337.24500216972,84990727.7704151,32.0
0.3872002590458547,2889175764.8768816,43645.04551549565,90210991.35464247,32.5
0.38189778364849614,2912134380.5054803,43976.09058914574,95948576.54667476,33.0
0.37622559868662137,2937004299.867645,44332.66284980559,102275223.38933162,33.5
0.370151661207091,2963969185.3111486,44717.339755310175,109275306.9175314,34.0
0.3636413881926955,2993239610.034301,45133.030105891885,117048574.36566153,34.5
0.3566571569226121,3025055682.5023212,45583.00309406007,125713479.02954547,35.0
0.3491585203810759,3059691159.0066066,46070.93683812812,135411317.13204378,35.5
0.34110308806068634,3097458875.4421244,46600.98306961842,146311351.87049818,36.0
0.3324468481207714,3138715521.0121,47177.81360094659,158617901.16075447,36.5
0.3231432151293124,3183864360.468924,47806.63275438892,172578049.33653495,37.0
0.31314692368190145,3233365064.961734,48493.28588439162,188492727.1935337,37.5
0.3024138914145824,3287736661.367517,49244.25315949605,206729975.82594565,38.0
0.29090449680690694,3347564281.9462876,50066.68610807398,227742279.8182033,38.5
0.27858676226679074,3413503462.7849436,50968.38798342094,252088556.21143135,39.0
0.2654408385150221,3486283057.3591204,51957.74961350887,280462056.2299861,39.5
0.2514650538315805,3566705463.6590643,53043.61205397011,313726294.15765095,40.0
0.23668236531929257,3655641292.042196,54235.00594557553,352960410.2995084,40.5
0.2211486760020011,3754018325.7562766,55540.75267514171,399516922.6242302,41.0
0.20495949222532245,3862799571.5065565,56968.83653949087,455094250.69589406,41.5
0.18825811721686775,3982953325.0766683,58525.57862107498,521826959.7248378,42.0
