Time,x_Tumor_Cells,y_Effector_Cells,z_Helper_T_Cells,alpha,beta,delta_1,omega_1,sigma_2,delta_2,rho,omega_2,compartment,Tumor_Growth,Tumor_Killing_ECs,EC_Stimulation_Tumor_Debris,EC_Natural_Death,EC_Activation_HTC,HTC_Production,HTC_Stimulation_Tumor_Antigens,HTC_Natural_Death
0.0,1.0,1.0,1.0,1.636,0.002,0.3743,0.04,0.38,0.055,0.01,0.002,1.0,1.632728,1.0,0.04,0.3743,0.01,0.38,0.002,0.055
1.0,2.1645470948134733,0.7381371015579259,1.3196354290490364,1.636,0.002,0.3743,0.04,0.38,0.055,0.01,0.002,1.0,3.5258688628956647,1.5977325187512461,0.06390930075004984,0.2762847171131317,0.009740718707114057,0.38,0.005712826068322046,0.07257994859769701
2.0,5.697316328681557,0.5952904553154138,1.6293502361864076,1.636,0.002,0.3743,0.04,0.38,0.055,0.01,0.002,1.0,9.214602313244898,3.391558031376786,0.13566232125507144,0.2228172174245594,0.009699366439676836,0.38,0.018565847411531944,0.08961426299025242
3.0,15.734387651454611,0.6199865852680291,1.947099556913696,1.636,0.002,0.3743,0.04,0.38,0.055,0.01,0.002,1.0,24.93140603378458,9.755109271308788,0.39020437085235155,0.2320609788658233,0.012071756054678149,0.38,0.0612728384489112,0.10709047563025328
4.0,33.087471780106995,1.161331896133993,2.315530180224275,1.636,0.002,0.3743,0.04,0.38,0.055,0.01,0.002,1.0,50.54898109130348,38.42553634067164,1.5370214536268656,0.43468652872295355,0.026890990547553433,0.38,0.1532300789883135,0.12735415991233512
5.0,21.581838244745455,2.8460054657000615,2.7130371222609972,1.636,0.002,0.3743,0.04,0.38,0.055,0.01,0.002,1.0,33.78386914050641,61.42202960440019,2.4568811841760074,1.065259845811533,0.07721318478601964,0.38,0.11710465664925308,0.14921704172435485
6.0,4.505215239448969,3.143331210263013,2.9984175736313263,1.636,0.002,0.3743,0.04,0.38,0.055,0.01,0.002,1.0,7.304120464372999,14.161383671112498,0.5664553468444999,1.1765488720014459,0.09425019540596444,0.38,0.027017033093910906,0.16491296654972296
7.0,1.3715317809547078,2.463803078209322,3.2225948816558794,1.636,0.002,0.3743,0.04,0.38,0.055,0.01,0.002,1.0,2.2376710363194774,3.3791842237781227,0.1351673689511249,0.9222014921737494,0.07939839189245362,0.38,0.008839782594666029,0.17724271849107337
8.0,0.8325861735899003,1.825074198707959,3.4264734657758025,1.636,0.002,0.3743,0.04,0.38,0.055,0.01,0.002,1.0,1.3598428304554024,1.519531543619913,0.060781261744796526,0.6831252725763891,0.06253568314944857,0.38,0.005705668863555199,0.18845604061766913
9.0,0.8854860518641152,1.3438808815434728,3.618507864211005,1.636,0.002,0.3743,0.04,0.38,0.055,0.01,0.002,1.0,1.4460896529364862,1.1899877759735964,0.04759951103894386,0.5030146139617219,0.048628435384278745,0.38,0.00640827648463891,0.1990179325316053
