data_generator_V,data_generator_W
-70.0,2.4999999e-05
-69.257751,2.8681234e-07
-69.258926,2.8672824e-07
-69.259987,2.8665224e-07
-69.260941,2.865836e-07
-69.26181,2.8652153e-07
-69.262589,2.8646545e-07
-69.263298,2.8641472e-07
-69.263939,2.8636885e-07
-69.264519,2.8632738e-07
-69.265045,2.8628986e-07
-69.265518,2.8625593e-07
-69.265945,2.8622523e-07
-69.266335,2.8619749e-07
-69.266685,2.8617237e-07
-69.267006,2.8614966e-07
-69.267288,2.8612911e-07
-69.267548,2.8611055e-07
-69.267784,2.8609372e-07
-69.267998,2.8607852e-07
-69.268188,2.8606476e-07
-69.268364,2.8605234e-07
-69.268524,2.8604109e-07
-69.268661,2.8603088e-07
-69.268791,2.8602167e-07
-69.268906,2.8601335e-07
-69.269012,2.8600581e-07
-69.269112,2.8599899e-07
-69.269196,2.8599283e-07
-69.269272,2.8598726e-07
-69.269341,2.859822e-07
-69.269409,2.8597762e-07
-69.269463,2.859735e-07
-69.269516,2.8596975e-07
-69.269562,2.8596637e-07
-69.269608,2.8596332e-07
-69.269646,2.8596054e-07
-69.269684,2.8595804e-07
-69.269714,2.8595579e-07
-69.269745,2.8595375e-07
-69.269768,2.8595187e-07
-69.269791,2.8595019e-07
-69.269814,2.8594869e-07
-69.269829,2.8594732e-07
-69.269852,2.8594607e-07
-69.269867,2.8594494e-07
-69.269882,2.8594394e-07
-69.26989,2.85943e-07
-69.269905,2.8594218e-07
-69.269913,2.8594144e-07
-69.26992,2.8594076e-07
-69.269936,2.8594013e-07
-69.269943,2.8593956e-07
-69.269951,2.8593908e-07
-69.269951,2.8593863e-07
-69.269958,2.859382e-07
-69.269966,2.8593783e-07
-69.269966,2.8593749e-07
-69.269974,2.8593718e-07
-69.269974,2.8593692e-07
-69.269981,2.8593666e-07
-69.269981,2.8593644e-07
-69.269989,2.8593624e-07
-69.269989,2.8593604e-07
-69.269989,2.8593587e-07
-69.269997,2.8593573e-07
-69.269997,2.8593558e-07
-69.269997,2.8593547e-07
-69.269997,2.8593536e-07
-69.270004,2.8593524e-07
-69.270004,2.8593516e-07
-69.270004,2.8593507e-07
-69.270004,2.8593499e-07
-69.270004,2.8593493e-07
-69.270004,2.8593487e-07
-69.270004,2.8593482e-07
-69.270004,2.8593476e-07
-69.270012,2.8593473e-07
-69.270012,2.8593468e-07
-69.270012,2.8593465e-07
-69.270012,2.8593462e-07
-69.270012,2.8593459e-07
