T,H,I_NOISE,V,W,ZAHP,ZM
0.0,1.0,0.0,-70.0,2.4999999e-05,0.0,0.0
100.0,0.99839741,0.0,-69.257751,2.8681234e-07,3.7920225e-07,3.9966491e-10
200.0,0.9969461,0.0,-69.258926,2.8672824e-07,6.0953414e-07,7.1196582e-10
300.0,0.99563313,0.0,-69.259987,2.8665224e-07,7.4913572e-07,9.5495545e-10
400.0,0.99444532,0.0,-69.260941,2.865836e-07,8.3372157e-07,1.1439887e-09
500.0,0.99337071,0.0,-69.26181,2.8652153e-07,8.8495023e-07,1.2910213e-09
600.0,0.99239856,0.0,-69.262589,2.8646545e-07,9.1595587e-07,1.4053625e-09
700.0,0.99151903,0.0,-69.263298,2.8641472e-07,9.3470311e-07,1.4942599e-09
800.0,0.99072337,0.0,-69.263939,2.8636885e-07,9.4602154e-07,1.5633569e-09
900.0,0.99000353,0.0,-69.264519,2.8632738e-07,9.5283968e-07,1.6170464e-09
1000.0,0.98935229,0.0,-69.265045,2.8628986e-07,9.5693292e-07,1.6587487e-09
1100.0,0.98876315,0.0,-69.265518,2.8625593e-07,9.5937764e-07,1.691126e-09
1200.0,0.98823011,0.0,-69.265945,2.8622523e-07,9.6082624e-07,1.7162509e-09
1300.0,0.98774797,0.0,-69.266335,2.8619749e-07,9.6167389e-07,1.7357363e-09
1400.0,0.98731172,0.0,-69.266685,2.8617237e-07,9.6216013e-07,1.7508376e-09
1500.0,0.98691708,0.0,-69.267006,2.8614966e-07,9.6242991e-07,1.7625317e-09
1600.0,0.98656005,0.0,-69.267288,2.8612911e-07,9.6257065e-07,1.7715786e-09
1700.0,0.98623705,0.0,-69.267548,2.8611055e-07,9.6263534e-07,1.7785697e-09
1800.0,0.98594481,0.0,-69.267784,2.8609372e-07,9.6265603e-07,1.7839651e-09
1900.0,0.98568046,0.0,-69.267998,2.8607852e-07,9.626516e-07,1.7881223e-09
2000.0,0.98544127,0.0,-69.268188,2.8606476e-07,9.6263375e-07,1.7913196e-09
2100.0,0.9852249,0.0,-69.268364,2.8605234e-07,9.6260908e-07,1.7937734e-09
2200.0,0.98502916,0.0,-69.268524,2.8604109e-07,9.6258157e-07,1.7956512e-09
2300.0,0.98485208,0.0,-69.268661,2.8603088e-07,9.625536e-07,1.7970838e-09
2400.0,0.98469186,0.0,-69.268791,2.8602167e-07,9.6252654e-07,1.7981726e-09
2500.0,0.98454696,0.0,-69.268906,2.8601335e-07,9.6250074e-07,1.7989962e-09
2600.0,0.98441583,0.0,-69.269012,2.8600581e-07,9.6247686e-07,1.7996155e-09
2700.0,0.98429716,0.0,-69.269112,2.8599899e-07,9.6245469e-07,1.8000779e-09
