Time,s21,s22,s25,s26,s27,s28,s29,s30,s31,s33,s34,s23,s24,s3,s123,s124,s125,s126,s127,s129,s142,s144,s147,kcatp_r8_s124,kM_r8_s124_s23,kcatn_r8_s124,kM_r8_s124_s24,kcatp_r8_s31,kM_r8_s31_s23,kcatn_r8_s31,kM_r8_s31_s24,kI_r8_s22,kI_r8_s29,kI_r8_s33,kcatp_r9,kM_r9_s25,kcatn_r9,kM_r9_s26,kcatp_r11,kM_r11_s29,kcatn_r11,kM_r11_s30,kcatp_r14,kM_r14_s27,kcatn_r14,kM_r14_s28,kass_r15,kdiss_r15,kass_r17_s3,kdiss_r17_s3,kI_re11_s142,kass_r6_s144,kdiss_r6_s144,kass_r7_s144,kdiss_r7_s144,kass_r4_s144,kdiss_r4_s144,Vp_re11,kM_re11_s129,kM_re11_s147,ki_re11_s129,default,c2,r8,r9,r11,r14,r15,r17,r6,r7,r4,re11
0.1,4.993185537184137,0.006814462815864141,4.999460350111077,0.0005396498889238715,4.9999900458006845,0.006692507762006177,4.881573999566621,0.11842600043338007,5.0,5.0,0.9933174464373061,4.993921046716662,0.006078953283334428,5.0,1.7114981963089346,5.0,0.49661129279109756,0.0033887072089025653,2.0,1.6141580850836308,0.5,0.03009281676190085,4.9699071832381,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.060832503212392953,0.010803029802208285,1.1508840782668721,0.00029883223603840027,-0.0601204755123483,1.5716819965633755,0.0,0.1500539510478071,0.07421228445377977,0.3426917574609897
0.11,4.991599990493803,0.008400009506197756,4.999346918376849,0.000653081623151074,4.999986748408046,0.0072907865839796585,4.870097658013784,0.12990234198621703,5.0,5.0,0.9927224650079708,4.99331299981726,0.006687000182737292,5.0,1.684230289312043,5.0,0.49582812463645504,0.004171875363545068,2.0,1.6243609203331375,0.5,0.033523935010840306,4.966476064989162,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06077397073123452,0.011883121837811676,1.1443919891756016,0.00036164300643258876,-0.05887988924263052,1.176066386259642,0.0,0.16705647230864915,0.08241126074149269,0.34347739105150277
0.12,4.9898444167258065,0.010155583274194392,4.999222692113462,0.0007773078865376977,4.999982793018106,0.007877438868414943,4.858686005396216,0.1413139946037848,5.0,5.0,0.9921397681134755,4.992705625085924,0.007294374914071784,5.0,1.6637466594127268,5.0,0.4949632954661322,0.005036704533867938,2.0,1.6311652304518498,0.5,0.03696143984178601,4.963038560158216,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06069810466208703,0.012961882248354487,1.1379462163490084,0.000430430452384863,-0.05766346510356729,0.8873097034276289,0.0,0.1840564692484353,0.09054196108817095,0.34398428856106716
0.13,4.987918921288089,0.012081078711912017,4.99908768623182,0.0009123137681798513,4.999978119904366,0.008452762881449008,4.847338580787477,0.15266141921252424,5.0,5.0,0.9915691172141818,4.99209909473445,0.00790090526554528,5.0,1.648228632225392,5.0,0.49401756018707893,0.005982439812921205,2.0,1.6354827315829963,0.5,0.040402952304306766,4.959597047695696,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06060513687189104,0.014038992816631865,1.1315463135148607,0.0005051862294344146,-0.05647058891095144,0.6753228944757628,0.0,0.20103853902756996,0.09859029845651854,0.3442896961600408
0.14,4.98582374637187,0.014176253628131708,4.998941918802497,0.001058081197503364,4.999972669432523,0.009017050719313094,4.836054927694924,0.16394507230507682,5.0,5.0,0.9910102798481608,4.991493578451708,0.008506421548287851,5.0,1.6363640628549765,5.0,0.49299180511086993,0.007008194889130183,2.0,1.6379712228077885,0.5,0.04384674576472221,4.95615325423528,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.060495339346059905,0.015114139940197242,1.1251918401701093,0.0005859002470436388,-0.055300659270137706,0.5190214047778408,0.0,0.2179905636461533,0.10654399901607238,0.34444811958309646
0.15,4.983559242971131,0.01644075702887136,4.9987854110061125,0.0012145889938877824,4.9999663820777975,0.00957058841776222,4.8248345940025,0.17516540599750124,5.0,5.0,0.9904630295044368,4.990889243024738,0.00911075697525811,5.0,1.6271976660524798,5.0,0.4918870321898137,0.008112967810186394,2.0,1.6391096107170366,0.5,0.0472915562567224,4.95270844374328,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.060369019775084756,0.01618701532080206,1.1188823614857395,0.000672560695952235,-0.054153087347803885,0.40339939153297144,0.0,0.23490276331174417,0.11439214190576195,0.3444985991299667
0.16,4.981125851014427,0.01887414898557522,4.998618187077102,0.0013818129228995646,4.9999591984419665,0.010113656059512461,4.813677131914463,0.18632286808553808,5.0,5.0,0.9899271454985183,4.990286252001054,0.009713747998943138,5.0,1.6200299483616185,5.0,0.4907043471831399,0.009295652816860275,2.0,1.6392485723458539,0.5,0.05073645347333588,4.949263546526666,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06022651787641747,0.01725731657990139,1.1126174482135385,0.0007651540791929568,-0.05302729664786543,0.3176597388441271,0.0,0.2517670526029686,0.12212484911687058,0.3444693868631302
0.17,4.978524084633574,0.02147591536642856,4.998440274241884,0.0015597257581156968,4.999951059270078,0.010646527879863633,4.802582097900012,0.19741790209998986,5.0,5.0,0.9894024128500556,4.989684765383563,0.01031523461643452,5.0,1.6143453099257552,5.0,0.4894449502832458,0.010555049716754406,2.0,1.6386465967041839,0.5,0.05418074833293736,4.945819251667066,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06006820216330691,0.01832474781542898,1.1063966765947026,0.000863665246204843,-0.051922722791176844,0.2539510744507434,0.0,0.2685765793333111,0.12973306590889236,0.34438113389808295
0.18,4.975754521812606,0.02424547818739729,4.998251702651334,0.0017482973486654153,4.999941905466799,0.011169472370359174,4.79154905263887,0.2084509473611312,5.0,5.0,0.9888886221628389,4.989084939358745,0.01091506064125267,5.0,1.6097636145113834,5.0,0.4881101288172458,0.011889871182754426,2.0,1.6374942624654016,0.5,0.057623930278905534,4.942376069721098,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05989446709643935,0.019389020098681622,1.1002196282703016,0.0009680774301146066,-0.05083881329933172,0.20654438237783235,0.0,0.28532541190522925,0.1372084146166618,0.3442489778286589
0.19,4.9728177962654705,0.027182203734531785,4.998052505308854,0.0019474946911473396,4.9999316781123815,0.011682752380791684,4.7805775609677195,0.2194224390322819,5.0,5.0,0.988385569506824,4.988486926049875,0.011513073950122733,5.0,1.6060032022354414,5.0,0.486701250971499,0.013298749028501138,2.0,1.6359327797584386,0.5,0.06106561912383965,4.938934380876162,0.511,0.47,1.083,0.786,0.727,0.614,0.636,1.367,0.583,1.219,0.293,2.0,0.626,0.693,0.463,0.787,1.459,0.566,1.021,0.558,0.038,0.725,1.65,2.0,0.074,0.73,1.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.059705730414403795,0.020449851925856938,1.0940858901934942,0.0010783722874426757,-0.0497750273819216,0.17122873677011818,0.0,0.3020082994187993,0.14454308437961932,0.3440840916647949
