Time,CaI,IP3,g,mwaf195932_a72c_4552_8cf2_b349b15d39c4,mw0ebc76ad_49d7_4845_8f88_04d443fbe7f3,mw7cb2644a_384a_4bbb_93fd_fd686e01d7cb,mwd6b792d8_c983_42c1_b3bc_2494d6a3363e,mw013a7c64_a9ec_483c_b3b8_ed658337ee95,CaS,A,B,D,E,F,k2,L,R,mw92b257b7_00af_4fd6_a11b_8e4655a4ba65,mw0ad64e84_bb75_4be4_a9c3_2d4741b0f45f,mwfe8e89cf_3c67_4dd5_939e_b4cfee2e0778,mw004dcb62_da5f_41c7_a7bd_033574894f48,mw78dd80b8_e003_4c62_81d1_547d001767af,mw3a93c3a6_623a_44fe_84e9_a47823defd1f,mwd21d3f76_d133_4053_8e44_02a538657e0a,mwf998b218_be11_4aa4_81ae_41141861fb42,mwfbff577a_4e9c_40fe_8777_eb0ceade28c9,mwd8bf5d8f_ad00_4119_bde1_91015ef2cd7c,mwe3841c25_6042_49c2_9feb_90cbf6751167,mw219cf65d_18cc_4f7e_ab5a_5b87cda6fc43,mwa3072851_e3e4_4767_ac41_49fa7c0de7a7,mwd3b36919_202a_4fed_a3c8_1a3a60594404,cytosol,outside,mitochondria,ER_store,kPLC,JPump,JChannel,kPhosphatase,inhibition_parameter1,inhibition_parameter2,mwbdcd6a40_1ae7_4c86_a99f_1fba0b8beaf7,mw530793e3_76b2_4483_be11_e94364306712,mw5658298a_d96a_4b97_9a4f_6f06dad35824,mw700bd02b_9fc4_47e7_864a_967c03874dd6,mw06f8fde4_d97b_4d5f_b71e_d93aa53e9932,mw8021d532_dd9b_4e34_a865_c2bb1689b0b5,mw1f122e51_99cb_4a32_a12e_4c2921920a17,mw89d547e1_8d48_4cd2_ba3d_e4390294089d,mwa61047ec_49c1_47b2_b78e_4d84a33d432a,ERtoMito,mw1c50c3d1_dab9_423a_8373_6a4c75479b54
0.0,0.05,0.0,0.002,0.013,0.266,0.02,1000.0,0.0,2.0,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,1e-06,0.03,0.6,0.005,0.03,8.0,1.0,1.0,1.0,1.0,0.05,0.020075471698113214,0.0194,0.0,3.118730507934326e-05,3.6e-05,0.0007698210116731518,0.0007647058823529411,1.2999999999999999e-08,1.2999999999999999e-08,2.66e-07,2e-08,2e-08,2.66e-07,1.4466894922119885e-06,0.0006,0.0
0.01,0.04999334283097269,0.0004949999855694881,0.001999951794064291,0.012999999999969607,0.2659999999999983,0.020000000000023322,1000.0,6.000078600970321e-06,2.000000709202217,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,1e-06,0.03,0.6,0.005,0.03,8.0,1.0,1.0,1.0,1.0,0.04999334283097269,0.020070529554527344,0.019405994055300798,0.0009899999711389762,3.11707004726662e-05,3.5999132293157236e-05,0.0007698207917700632,0.0007645142393527311,1.2993942782797752e-08,1.2999999999969607e-08,2.659996698666607e-07,2.0004648535235705e-08,2.000000000002332e-08,2.659999999999983e-07,1.4459192146812225e-06,0.0006001853831536329,2.9982403327190693e-06
0.02,0.049986884202650815,0.0009801332970665478,0.0019999034330468323,0.012999999999879466,0.26599999999999363,0.02000000000009252,1000.0,1.1973901573371921e-05,2.000001248007865,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,1e-06,0.03,0.6,0.005,0.03,8.0,1.0,1.0,1.0,1.0,0.049986884202650815,0.020065735242530917,0.01942348000237639,0.0019602665941330956,3.1154597461915425e-05,3.5998261794842975e-05,0.000769820624704468,0.0007643283304829379,1.2988067755456716e-08,1.2999999999879465e-08,2.6599941905324506e-07,2.000916282176837e-08,2.000000000009252e-08,2.659999999999936e-07,1.4451722035831856e-06,0.0006007261856405071,5.979790644225629e-06
0.03,0.04998073340012841,0.0014555978227164899,0.001999854923366909,0.0129999999997319,0.2659999999999871,0.020000000000205877,1000.0,1.792507225299267e-05,2.000001503455967,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,1e-06,0.03,0.6,0.005,0.03,8.0,1.0,1.0,1.0,1.0,0.04998073340012841,0.020061169835156357,0.019451760634410592,0.0029111956454329797,3.113926781668129e-05,3.599738862060436e-05,0.0007698205455018037,0.000764151299322345,1.2982474150640832e-08,1.29999999997319e-08,2.659993001425627e-07,2.0013468090954374e-08,2.0000000000205876e-08,2.6599999999998706e-07,1.4444610650084178e-06,0.0006016008443632142,8.946499461570334e-06
0.04,0.0499749921098157,0.0019215885760353972,0.00199980627406136,0.012999999999530195,0.26599999999998025,0.020000000000360955,1000.0,2.3856965783851787e-05,2.0000013703824453,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,1e-06,0.03,0.6,0.005,0.03,8.0,1.0,1.0,1.0,1.0,0.0499749921098157,0.020056908740517573,0.019490171647465963,0.0038431771520707945,3.112496400886816e-05,3.599651293310447e-05,0.0007698205867699906,0.0007639860696916959,1.2977254203534216e-08,1.2999999999530193e-08,2.6599936208806447e-07,2.0017494662504294e-08,2.0000000000360952e-08,2.6599999999998023e-07,1.4437975099240261e-06,0.0006027888138391536,1.190009288105709e-05
0.05,0.04996975479606204,0.0023782976797315438,0.001999757496598623,0.012999999999278516,0.26599999999997515,0.02000000000055463,1000.0,2.9772740220376038e-05,2.000000751034494,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,1e-06,0.03,0.6,0.005,0.03,8.0,1.0,1.0,1.0,1.0,0.04996975479606204,0.020053021987460964,0.019538080779396547,0.0047565953594630875,3.1111920239754537e-05,3.599563493877521e-05,0.0007698207788195037,0.0007638353567529023,1.2972493515785839e-08,1.2999999999278515e-08,2.6599965039377124e-07,2.0021177711459743e-08,2.0000000000554628e-08,2.6599999999997514e-07,1.443192401813514e-06,0.0006042705395689653,1.4842180870651446e-05
0.06,0.04996510907210965,0.002825914353154227,0.0019997086046997293,0.01299999999898186,0.2659999999999742,0.020000000000783166,1000.0,3.567534747199817e-05,1.9999995546906961,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,1e-06,0.03,0.6,0.005,0.03,8.0,1.0,1.0,1.0,1.0,0.04996510907210965,0.02004957450741867,0.01959488689161135,0.005651828706308454,3.1100353458683096e-05,3.599475488459512e-05,0.0007698211497817476,0.0007637016779624611,1.2968271415734255e-08,1.299999999898186e-08,2.6600020729159637e-07,2.0024457040686034e-08,2.0000000000783165e-08,2.659999999999742e-07,1.4426558039283376e-06,0.0006060274296374644,1.7774263433593854e-05
0.07,0.049961136053852176,0.0032646249045812812,0.001999659614172678,0.012999999998645984,0.26599999999998025,0.02000000000104224,1000.0,4.156754375240312e-05,1.9999976972986957,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,1e-06,0.03,0.6,0.005,0.03,8.0,1.0,1.0,1.0,1.0,0.049961136053852176,0.020046626403708565,0.019660019006953983,0.0065292498091625625,3.109046434176864e-05,3.59938730551082e-05,0.0007698217257220404,0.0007635873635388347,1.2964661303727523e-08,1.2999999998645984e-08,2.660010719105425e-07,2.002727686596053e-08,2.0000000001042238e-08,2.6599999999998023e-07,1.4421970246848796e-06,0.0006080418249573397,2.0697736469574085e-05
0.08,0.04995791068170438,0.003694612732120804,0.001999610542770528,0.012999999998277362,0.26599999999999674,0.02000000000132699,1000.0,4.7451899107188275e-05,1.9999951011454304,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,1e-06,0.03,0.6,0.005,0.03,8.0,1.0,1.0,1.0,1.0,0.04995791068170438,0.020044233197213816,0.019732935315998127,0.007389225464241608,3.108243819169783e-05,3.59929897698695e-05,0.0007698225307425308,0.0007634945660140569,1.2961730968611112e-08,1.299999999827736e-08,2.660022804307665e-07,2.0029585623051563e-08,2.000000000132699e-08,2.6599999999999674e-07,1.4418246594012885e-06,0.0006102969685360246,2.3613897127193425e-05
0.09,0.049955502098969144,0.0041160583095211775,0.0019995614100077773,0.012999999997883108,0.26600000000002716,0.02000000000163207,1000.0,5.3330808574995546e-05,1.9999916944696694,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,1e-06,0.03,0.6,0.005,0.03,8.0,1.0,1.0,1.0,1.0,0.049955502098969144,0.02004244611388699,0.019813122157900098,0.008232116619042355,3.1076445976665386e-05,3.599210538013999e-05,0.0007698235871030164,0.0007634252714067172,1.2959542955205003e-08,1.2999999997883106e-08,2.660038662645081e-07,2.0031335735801583e-08,2.0000000001632067e-08,2.6600000000002713e-07,1.4415466384881212e-06,0.0006127769739556732,2.652394991792521e-05
