G,Ga,Gbg,Gd,L,R,RL,Time
7000.0,0.0,3000.0,3000.0,6.02e+17,10000.0,0.0,0.0
9903.152205058534,0.09746858510156696,96.84779494146825,96.75032635636946,6.02e+17,9802.130296002202,197.86613046509123,0.01
9950.525582374781,0.39044134410533604,49.474417625220624,49.08397628111811,6.02e+17,9608.196206384846,391.7895946031145,0.02
9966.374480885808,0.8749543432816206,33.62551911419283,32.75056477091401,6.02e+17,9418.119451351818,581.8488127578009,0.03
9974.041935296216,1.5469633801109013,25.958064703786356,24.411101323678253,6.02e+17,9231.823308100658,768.1206454837164,0.04
9978.321033398815,2.402489989206731,21.678966601185465,19.276476611981533,6.02e+17,9049.232579853775,950.6804245706353,0.05
9980.826850303461,3.437625630248836,19.173149696540364,15.735524066294326,6.02e+17,8870.27356550566,1129.6019834508395,0.06
9982.254770729516,4.648531505342428,17.745229270486643,13.096697765147015,6.02e+17,8694.874029873787,1304.9576870016124,0.07
9982.952023558353,6.031437479141938,17.047976441647897,11.016538962508763,6.02e+17,8522.963174541266,1476.818460754956,0.08
9983.10966409725,7.582640677752595,16.89033590274912,9.30769522499933,6.019999999999997e+17,8354.471609279408,1645.2538195263264,0.09
9982.839823824474,9.298503926547452,17.1601761755272,7.861672248982552,6.019999999999994e+17,8189.331324038707,1810.3318954739361,0.1
9982.211150440166,11.175454108736261,17.788849559834073,6.61339545110062,6.019999999999991e+17,8027.475661496929,1972.1194655999595,0.11
9981.266804028439,13.209980511193375,18.733195971561123,5.523215460370557,6.01999999999999e+17,7868.839290153217,2130.6819787047375,0.12
9980.034455143219,15.398633222842621,19.965544856782444,4.566911633942636,6.019999999999987e+17,7713.358177957368,2286.0835818048463,0.13
9978.532323534017,17.73802165880369,21.46767646598749,3.729654807186615,6.019999999999985e+17,7560.969566463616,2438.387146025721,0.14
9976.773100295726,20.224813286024492,23.22689970427699,3.002086418255307,6.019999999999982e+17,7411.611945498491,2587.654291979275,0.15
9974.766645305122,22.85573260964795,25.2333546948804,2.377622085235259,6.019999999999981e+17,7265.22502833254,2733.9454146367652,0.16
9972.521877258012,25.627560463841803,27.47812274199063,1.850562278151644,6.01999999999998e+17,7121.749727345939,2877.319707706864,0.17
9970.048047546228,28.53713361285318,29.95195245377301,1.414818840922649,6.019999999999978e+17,6981.12813017803,3017.835187528951,0.18
9967.35547330138,31.581344626775614,32.64452669862284,1.0631820718500415,6.019999999999976e+17,6843.303476351288,3155.548716491107,0.19
