data_generator_T,data_generator_V,data_generator__EK,data_generator__ENA,data_generator__MAX_P
0.0,-67.056664,-92.470467,42.963955,6.8000002
1.0,-67.057457,-92.469757,42.963959,6.8000002
2.0,-67.057785,-92.469101,42.96397,6.8000002
3.0,-67.057968,-92.468483,42.963993,6.8000002
4.0,-67.058098,-92.467911,42.96402,6.8000002
5.0,-67.058205,-92.467369,42.96405,6.8000002
6.0,-67.058289,-92.466873,42.964088,6.8000002
7.0,-67.058365,-92.4664,42.964134,6.8000002
8.0,-67.058426,-92.465965,42.964184,6.8000002
9.0,-67.058479,-92.465561,42.964237,6.8000002
10.0,-67.058525,-92.465179,42.964294,6.8000002
11.0,-67.058563,-92.464821,42.964359,6.8000002
12.0,-67.058586,-92.464485,42.964424,6.8000002
13.0,-67.058609,-92.464165,42.964493,6.8000002
14.0,-67.058624,-92.463875,42.964565,6.8000002
15.0,-67.058632,-92.463593,42.964638,6.8000002
16.0,-67.058632,-92.463333,42.964714,6.8000002
17.0,-67.058624,-92.463089,42.964794,6.8000002
18.0,-67.058617,-92.46286,42.964874,6.8000002
19.0,-67.058609,-92.462646,42.964958,6.8000002
20.0,-67.058586,-92.46244,42.965042,6.8000002
21.0,-67.058563,-92.46225,42.965126,6.8000002
22.0,-67.05854,-92.462067,42.965214,6.8000002
23.0,-67.05851,-92.461891,42.965302,6.8000002
24.0,-67.058479,-92.461731,42.965389,6.8000002
25.0,-67.058449,-92.461578,42.965481,6.8000002
26.0,-67.058411,-92.461426,42.965572,6.8000002
27.0,-67.058372,-92.461288,42.965664,6.8000002
28.0,-67.058334,-92.461159,42.965755,6.8000002
29.0,-67.058289,-92.461029,42.965847,6.8000002
30.0,-67.058243,-92.460915,42.965939,6.8000002
31.0,-67.058197,-92.4608,42.966034,6.8000002
32.0,-67.058144,-92.460686,42.966125,6.8000002
33.0,-67.058098,-92.460587,42.966221,6.8000002
34.0,-67.058044,-92.46048,42.966316,6.8000002
35.0,-67.057991,-92.460388,42.966408,6.8000002
36.0,-67.057945,-92.460297,42.966503,6.8000002
37.0,-67.057884,-92.460205,42.966595,6.8000002
38.0,-67.057831,-92.460121,42.96669,6.8000002
39.0,-67.057777,-92.460037,42.966785,6.8000002
40.0,-67.057724,-92.459961,42.966877,6.8000002
41.0,-67.057663,-92.459885,42.966972,6.8000002
42.0,-67.05761,-92.459808,42.967064,6.8000002
43.0,-67.057549,-92.45974,42.967159,6.8000002
44.0,-67.057487,-92.459671,42.967251,6.8000002
45.0,-67.057426,-92.459602,42.967342,6.8000002
46.0,-67.057373,-92.459541,42.967434,6.8000002
47.0,-67.057312,-92.459473,42.967529,6.8000002
48.0,-67.057251,-92.459412,42.967621,6.8000002
49.0,-67.05719,-92.459358,42.967712,6.8000002
50.0,-67.057129,-92.459297,42.9678,6.8000002
51.0,-61.58942,-92.155228,42.866299,0.0
52.0,-61.455139,-91.854065,42.764679,0.0
53.0,-61.321171,-91.556381,42.663235,0.0
54.0,-61.187412,-91.262032,42.561958,0.0
55.0,-61.05373,-90.970886,42.460827,0.0
56.0,-60.920033,-90.682823,42.359825,0.0
57.0,-60.786205,-90.397705,42.25893,0.0
58.0,-60.6521,-90.11541,42.158131,0.0
59.0,-60.517609,-89.835815,42.057404,0.0
60.0,-60.382572,-89.558792,41.956722,0.0
61.0,-60.246853,-89.284218,41.856071,0.0
62.0,-60.11026,-89.011971,41.755424,0.0
63.0,-59.972656,-88.741928,41.654751,0.0
64.0,-59.833778,-88.473961,41.554031,0.0
65.0,-59.693459,-88.207954,41.453232,0.0
66.0,-59.551495,-87.943764,41.352322,0.0
67.0,-59.407467,-87.681259,41.251263,0.0
68.0,-59.261177,-87.420303,41.150021,0.0
69.0,-59.112312,-87.160751,41.048553,0.0
70.0,-58.960247,-86.902443,40.946808,0.0
71.0,-58.804611,-86.645226,40.844742,0.0
72.0,-58.644859,-86.388901,40.742287,0.0
73.0,-58.480358,-86.133293,40.639378,0.0
74.0,-58.309704,-85.878166,40.535934,0.0
75.0,-58.132187,-85.623276,40.431866,0.0
76.0,-57.946304,-85.368332,40.327061,0.0
77.0,-57.750099,-85.112991,40.221386,0.0
78.0,-57.540997,-84.856827,40.114666,0.0
79.0,-57.313717,-84.599304,40.006683,0.0
80.0,-57.062927,-84.339691,39.897141,0.0
81.0,-56.778286,-84.076958,39.785603,0.0
82.0,-56.430923,-83.809418,39.671368,0.0
83.0,-55.955067,-83.533714,39.553036,0.0
84.0,-56.139557,-83.150108,39.395844,0.0
85.0,-79.321236,-82.210037,39.044289,0.0
86.0,-56.131268,-81.070297,38.615749,0.0
87.0,-57.507305,-79.743645,38.107353,0.0
88.0,-69.288017,-78.297462,37.538906,0.0
89.0,-69.658432,-76.791443,36.930019,0.0
90.0,-58.682327,-75.239296,36.283947,0.0
91.0,-59.088085,-73.62001,35.589668,0.0
92.0,-62.229012,-71.951302,34.85239,0.0
93.0,-59.603992,-70.248497,34.077194,0.0
94.0,-58.596024,-68.497612,33.256275,0.0
95.0,-61.014977,-66.689995,32.383747,0.0
96.0,-62.461143,-64.821617,31.455629,0.0
97.0,-44.029289,-62.892467,30.469906,0.0
98.0,-59.918743,-60.827877,29.385523,0.0
99.0,-57.880356,-58.637772,28.202915,0.0
