data_set_T,data_set_CLI,data_set_DNK,data_set_H,data_set_KI,data_set_N,data_set_V,data_set__CLE,data_set__CLI,data_set__ECL,data_set__EK,data_set__ENA,data_set__KE,data_set__KI,data_set__MAX_P,data_set__NAE,data_set__NAI
0.0,10.061391,0.0,0.97820801,128.56937,0.070174001,-67.056664,124.70679,10.061391,-67.059807,-92.470467,42.963955,3.9962442,128.56937,6.8000002,126.84576,25.284986
1.0,10.061396,0.00041091102,0.97821069,128.56938,0.07016968,-67.057457,124.70679,10.061396,-67.059792,-92.469757,42.963959,3.9963508,128.56938,6.8000002,126.84577,25.284983
2.0,10.0614,0.00081039243,0.97821182,128.5694,0.070167892,-67.057785,124.70679,10.0614,-67.059776,-92.469101,42.96397,3.9964502,128.5694,6.8000002,126.84577,25.284973
3.0,10.061404,0.0011991932,0.97821242,128.56941,0.070166901,-67.057968,124.70679,10.061404,-67.059769,-92.468483,42.963993,3.9965432,128.56941,6.8000002,126.84579,25.284956
4.0,10.061408,0.0015780079,0.97821283,128.56944,0.070166185,-67.058098,124.70679,10.061408,-67.059753,-92.467911,42.96402,3.9966302,128.56944,6.8000002,126.84579,25.284933
5.0,10.061412,0.0019474806,0.97821313,128.56947,0.070165604,-67.058205,124.70678,10.061412,-67.059746,-92.467369,42.96405,3.9967117,128.56947,6.8000002,126.84581,25.284906
6.0,10.061415,0.0023082085,0.97821343,128.5695,0.070165113,-67.058289,124.70678,10.061415,-67.059738,-92.466873,42.964088,3.9967878,128.5695,6.8000002,126.84583,25.284872
7.0,10.061418,0.0026607455,0.97821367,128.56955,0.070164695,-67.058365,124.70678,10.061418,-67.059731,-92.4664,42.964134,3.9968593,128.56955,6.8000002,126.84586,25.284834
8.0,10.061421,0.0030056054,0.97821385,128.5696,0.07016433,-67.058426,124.70678,10.061421,-67.059723,-92.465965,42.964184,3.9969263,128.5696,6.8000002,126.84588,25.284792
9.0,10.061423,0.0033432648,0.97821403,128.56964,0.070164032,-67.058479,124.70678,10.061423,-67.059715,-92.465561,42.964237,3.996989,128.56964,6.8000002,126.84591,25.284746
10.0,10.061426,0.003674166,0.97821414,128.56969,0.070163786,-67.058525,124.70677,10.061426,-67.059708,-92.465179,42.964294,3.9970481,128.56969,6.8000002,126.84593,25.284697
11.0,10.061429,0.0039987187,0.97821426,128.56975,0.070163585,-67.058563,124.70677,10.061429,-67.0597,-92.464821,42.964359,3.9971035,128.56975,6.8000002,126.84596,25.284645
12.0,10.061432,0.0043173037,0.97821438,128.56981,0.070163429,-67.058586,124.70677,10.061432,-67.059692,-92.464485,42.964424,3.9971557,128.56981,6.8000002,126.846,25.28459
13.0,10.061434,0.0046302741,0.97821444,128.56987,0.07016331,-67.058609,124.70677,10.061434,-67.059685,-92.464165,42.964493,3.9972048,128.56987,6.8000002,126.84603,25.284531
14.0,10.061437,0.0049379575,0.9782145,128.56993,0.070163235,-67.058624,124.70677,10.061437,-67.059677,-92.463875,42.964565,3.997251,128.56993,6.8000002,126.84607,25.28447
15.0,10.061439,0.0052406578,0.9782145,128.56999,0.070163198,-67.058632,124.70676,10.061439,-67.059669,-92.463593,42.964638,3.9972947,128.56999,6.8000002,126.84611,25.284407
