Time,I,S,V_L,r,K,d,phi,beta,eta,mu,r_tilde,phi_tilde,alpha,d_tilde,N,compartment,Susceptible_Logistic_Growth,Susceptible_Absorption_Virus,Susceptible_Death,Infected_Death,Infected_Lysis,Virus_Lytic_Release_From_Infected,Virus_Lytic_Decay
0.0,0.0,830000000.0,33200000.0,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,830000000.0,1.0,20347199.061137814,4792684.776197993,34583333.33333333,0.0,0.0,0.0,2875120.0
1.0,3887933.8626634507,811383662.4576266,78894744.07139626,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,815271596.3202901,1.0,24418802.032405473,11133636.037021484,33807652.60240111,161997.24427764377,5831900.7939951755,116638015.87990353,6832284.836582916
2.0,13713478.044425618,782812103.7128111,278654237.6771603,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,796525581.7572367,1.0,29119112.16582121,37938999.47929083,32617170.988033794,571394.918517734,20570217.066638425,411404341.33276856,24131456.982842084
3.0,44495660.24075586,712643698.6518856,951520876.168993,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,757139358.8926415,1.0,37144019.73727619,117937918.85934408,29693487.443828568,1853985.8433648276,66743490.3611338,1334869807.2226758,82401707.87623478
4.0,117509597.44458207,537104334.0794097,2922591454.595291,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,654613931.5239918,1.0,48859371.66475515,273016853.0829286,22379347.253308736,4896233.226857586,176264396.1668731,3525287923.3374624,253096419.9679522
5.0,187702734.51731166,254554060.12800288,6955911868.4932785,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,442256794.6453146,1.0,43638152.912957475,307961757.0197126,10606419.17200012,7820947.271554653,281554101.7759675,5631082035.51935,602381967.8115178
6.0,138282441.46267253,61531557.53619666,11127131893.489843,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,199813998.99886918,1.0,16200698.206802119,119081373.12470049,2563814.897341527,5761768.3942780215,207423662.1940088,4148473243.880176,963609621.9762204
7.0,53798249.910373405,9504439.769608157,12804141710.910133,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,63302689.67998156,1.0,2994038.6262733135,21166043.505337283,396018.3237336732,2241593.7462655585,80697374.86556011,1613947497.311202,1108838672.1648176
8.0,15231247.865963563,1361990.9283806437,12617860681.524008,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,16593238.794344207,1.0,453151.8913011111,2988977.407059916,56749.62201586015,634635.3277484818,22846871.798945345,456937435.97890687,1092706735.019979
9.0,3792046.257060693,217666.3150331854,11805510543.2987,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,4009712.5720938784,1.0,73458.186481944,446929.1565306863,9069.429793049392,158001.92737752886,5688069.385591039,113761387.7118208,1022357213.0496674
10.0,896505.1280195573,40705.53366980567,10883242638.879711,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,937210.661689363,1.0,13784.721085865633,77050.32132045511,1696.0639029085696,37354.38033414822,1344757.692029336,26895153.840586722,942488812.5269829
11.0,207667.54586766651,8924.645646985611,9993784246.56612,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,216592.19151465214,1.0,3024.7224613387857,15512.565929316386,371.8602352910671,8652.81441115277,311501.3188014998,6230026.376029995,865461715.752626
12.0,47874.07820991503,2272.1642488295374,9167827976.203684,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,50146.24245874457,1.0,770.2205085310693,3623.0044490185774,94.67351036789739,1994.7532587464596,71811.11731487255,1436222.3462974508,793933902.739239
13.0,11106.273771006334,664.0175684116653,8408013452.439085,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,11770.291339418,1.0,225.09899434629963,971.0367293174827,27.667398683819385,462.7614071252639,16659.4106565095,333188.21313019004,728133964.9812248
14.0,2623.559344033352,220.25529154069386,7710683314.448467,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,2843.8146355740455,1.0,74.66630650379389,295.3805583034287,9.177303814195577,109.31497266805633,3935.3390160500276,78706.78032100055,667745175.0312372
15.0,641.3710312343214,82.06088682996618,7071074361.304812,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,723.4319180642876,1.0,27.818618141905365,100.921640161771,3.419203617915257,26.723792968096724,962.0565468514822,19241.130937029644,612355039.6889967
16.0,166.20520450781336,34.01163386340413,6484495080.6492,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,200.21683837121748,1.0,11.529941299511917,38.35891812649632,1.417151410975172,6.9252168544922235,249.30780676172003,4986.156135234401,561557273.9842207
17.0,47.18768442004064,15.543971976686203,5946568912.458761,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,2e-11,0.1,0.05,62.73165639672684,1.0,5.2694061306335644,16.076486873158963,0.6476654990285917,1.9661535175016933,70.78152663006097,1415.630532601219,514972867.8189287
