I_1_task1,S_2_task1,V_L_3_task1,_1_task1
0.0,830000000.0,33200000.0,0.0
3887933.8626634507,811383662.4576266,78894744.07139626,1.0
13713478.044425618,782812103.7128111,278654237.6771603,2.0
44495660.24075586,712643698.6518856,951520876.168993,3.0
117509597.44458207,537104334.0794097,2922591454.595291,4.0
187702734.51731166,254554060.12800288,6955911868.4932785,5.0
138282441.46267253,61531557.53619666,11127131893.489843,6.0
53798249.910373405,9504439.769608157,12804141710.910133,7.0
15231247.865963563,1361990.9283806437,12617860681.524008,8.0
3792046.257060693,217666.3150331854,11805510543.2987,9.0
896505.1280195573,40705.53366980567,10883242638.879711,10.0
207667.54586766651,8924.645646985611,9993784246.56612,11.0
47874.07820991503,2272.1642488295374,9167827976.203684,12.0
11106.273771006334,664.0175684116653,8408013452.439085,13.0
2623.559344033352,220.25529154069386,7710683314.448467,14.0
641.3710312343214,82.06088682996618,7071074361.304812,15.0
166.20520450781336,34.01163386340413,6484495080.6492,16.0
47.18768442004064,15.543971976686203,5946568912.458761,17.0
15.221119103824952,7.7699653550886705,5453265174.703229,18.0
5.718854893773947,4.216673067591295,5000883503.772205,19.0
2.5035341544870664,2.467479359233868,4586029518.05349,20.0
1.2508271477249033,1.5472287706871786,4205590168.4258614,21.0
0.6945491681185171,1.033672160558126,3856710582.743008,22.0
0.4193703598055994,0.7319051962205692,3536772696.840479,23.0
0.2712530335513162,0.5466085849934299,3243375623.797244,24.0
0.18608218978285748,0.42867416959683347,2974317642.2176504,25.0
0.13444354163622385,0.3515979110704146,2727579675.817093,26.0
0.10175103277007176,0.30048193337882106,2501310142.5500565,27.0
0.08030964962150731,0.26666284046728994,2293811060.1963506,28.0
0.06584999140938656,0.2449743057019685,2103525304.4688218,29.0
0.05590151682197561,0.23229880558923344,1929024924.0396433,30.0
0.04898300370812299,0.226777339281285,1769000424.8911276,31.0
0.04417989840389517,0.2273689456380293,1622250943.4288144,32.0
0.040914537160534996,0.2336043288842264,1487675233.5570798,33.0
0.03881681095446084,0.24545284930574665,1364263407.6520422,34.0
0.03764919516535319,0.26326003902798756,1251089353.0107234,35.0
0.0372622638038233,0.2877336733919097,1147303784.4856539,36.0
0.037567868317756374,0.31996773647764526,1052127885.0445997,37.0
0.0385228339894053,0.3614998365359154,964847392.3446761,38.0
0.04011934762387535,0.414405383304529,884807357.0301702,39.0
0.04237958603624829,0.481431170616682,811407145.1570293,40.0
0.04535322284643747,0.5661790874997698,744095919.5021669,41.0
0.04911730516032207,0.6733550681586714,682368588.3863325,42.0
0.0537776371150922,0.8090968157749876,625761907.8259885,43.0
0.05947204766900109,0.981415455812154,573851105.8928894,44.0
0.06637504611710442,1.2007741695715395,526246623.72049797,45.0
0.07470410270413484,1.4808609212503927,482591226.25370115,46.0
0.08472812719023888,1.8396113937512708,442557316.096581,47.0
0.09677756750593211,2.300564547649177,405844461.2715638,48.0
0.11125786137856644,2.894672652458868,372177169.0607222,49.0
0.12866512393557775,3.662686477535791,341302776.93471617,50.0
0.14960682394192054,4.658384312989458,312989620.0018336,51.0
0.17482559342795706,5.952763973178736,287025205.77291113,52.0
0.2052305963875873,7.639785204531795,263214704.22975904,53.0
0.24193418155060692,9.8438734572445,241379427.84819838,54.0
0.2862986491388473,12.730079654539642,221355525.3248495,55.0
0.3399928168567522,16.517524195937348,202992729.36268154,56.0
0.40506157131490855,21.497477973583408,186153242.24140435,57.0
0.4840133881191288,28.057476800774236,170710696.80372724,58.0
0.5799240053381595,36.71359251990712,156549206.8999957,59.0
0.6965706924185251,48.15375707209036,143562504.22032556,60.0
0.8385888237431028,63.2954653578145,131653129.98218666,61.0
1.0116757586604797,83.36379509941447,120731718.32251683,62.0
1.2228290116242249,109.99474065972501,110716308.12821667,63.0
1.4806548711389713,145.37560920402942,101531745.68701689,64.0
1.7957326285439246,192.43110217569847,93109105.82721364,65.0
2.181079669937057,255.07551281456176,85385186.07851899,66.0
2.652711417408328,338.5485044670811,78302024.15141006,67.0
3.230338397085316,449.8685741647087,71806468.51180202,68.0
3.938232803552705,598.439709142771,65849776.6201698,69.0
4.806269695763982,796.8672924462513,60387250.07985814,70.0
5.8712656880916665,1062.0553269607055,55377900.34620986,71.0
7.178547930007593,1416.674940149043,50784138.41480017,72.0
8.783997977033478,1891.1509501604355,46571497.3663517,73.0
10.756443996889551,2526.307805287428,42708368.45506465,74.0
13.180761635482654,3376.963296759696,39165769.85392949,75.0
16.161535173190405,4516.707507746931,35917124.071170285,76.0
19.827755757212877,6044.3963539773795,32938063.60735471,77.0
24.33844831363366,8092.799700433308,30206244.70668625,78.0
29.889745640899434,10840.317017965841,27701182.9099604,79.0
36.72359489371798,14526.662819383162,25404098.65688599,80.0
45.13847255284056,19474.000598378516,23297777.590484463,81.0
55.50270321036619,26115.357176532878,21366442.384061478,82.0
68.27087355455768,35032.83243904678,19595635.655003656,83.0
84.00419299405857,47008.99104301558,17972113.068155915,84.0
103.39574006804132,63095.99168782389,16483745.913841136,85.0
127.30179720214055,84708.54290120945,15119432.549083155,86.0
156.78083355008684,113748.89789905639,13869018.128664153,87.0
193.14215411075364,152774.91692930937,12723222.17230083,88.0
238.00678949505783,205225.96607257516,11673573.621507121,89.0
293.3840819107466,275726.4411361856,10712353.137790672,90.0
361.76858682746257,370493.41492186685,9832542.522403391,91.0
446.26362410038575,497883.81142147456,9027781.29863489,92.0
550.7403396374352,669128.0747142254,8292330.700942473,93.0
680.0450019567846,899312.8147292179,7621045.570328905,94.0
840.2731809539615,1208694.8399151051,7009355.042476346,95.0
1039.1387581622766,1624453.806304212,6453253.456126018,96.0
1286.481073430859,2183023.8400747655,5949303.729935541,97.0
1594.9775653872089,2933181.049429008,5494656.738459763,98.0
1981.1704361744034,3940109.18376101,5087092.242689928,99.0
2466.985956310089,5290711.589610288,4725090.229374345,100.0
3082.0393934921435,7100472.661926608,4407947.015555436,101.0
3867.2365058381947,9522188.106109265,4135959.7304323507,102.0
4880.541106016193,12756816.29437849,3910718.691294318,103.0
6206.492923705195,17066571.380391885,3735577.481630357,104.0
7972.311131354247,22789820.220700305,3616417.1797760366,105.0
10375.980127456414,30356725.689175997,3562926.999865427,106.0
13736.839868862986,40302940.04615452,3590798.0168238,107.0
18589.750358602825,53276511.70954913,3725609.3222697233,108.0
25867.04874723506,70029890.84800564,4009946.124588988,109.0
37264.2981417899,91385299.79026094,4516939.755049107,110.0
56007.80440589354,118159064.91717397,5377091.864882607,111.0
88537.81342255381,151031799.01824862,6833845.103670208,112.0
148373.04147394194,190360648.08419475,9364153.960018586,113.0
265389.7727025643,235948733.6240794,13952759.101793714,114.0
509070.0957704772,286806336.32370776,22746227.331511084,115.0
1048891.2102665082,340927775.4814068,40682011.882462755,116.0
2314837.4959775074,395002561.0457393,79694659.98069789,117.0
5421097.060470413,443674339.3444278,169781721.33606863,118.0
13194038.704134807,477355634.6221073,387519056.4272365,119.0
31906617.166920006,477314573.90358186,920725016.2602856,120.0
69629096.55330648,412510942.1149043,2152812410.7024984,121.0
114713364.98118705,268363415.28219408,4484516556.634692,122.0
115822982.7287702,114061218.7765278,7405541943.287425,123.0
68187531.71007478,32825523.857406452,9379831097.104082,124.0
27312807.206947736,7938905.098436432,9879760440.88461,125.0
8910983.246121226,1946890.4992303236,9527071374.37926,126.0
2651337.461599774,526445.7336692398,8882896132.853273,127.0
765626.0919360935,160495.43176517586,8188849594.472056,128.0
223073.92149985515,55133.37794326673,7521915427.884145,129.0
67586.8587810904,21187.996308473183,6901578712.2410345,130.0
21873.232776108984,9032.026531382462,6330182535.317375,131.0
7736.679098433617,4235.113591640967,5805433462.249528,132.0
3036.637844841194,2167.3384922528435,5323976347.491406,133.0
1328.5457281645545,1201.792264081857,4882376839.371855,134.0
644.5132949155956,717.275998297036,4477379693.099923,135.0
343.04036884430417,457.98166615598694,4105966633.0997753,136.0
197.99395337519144,311.08880444604915,3765358666.7930098,137.0
122.64807810969226,223.64853166882622,3453003292.576312,138.0
80.85366001827937,169.37480732391748,3166558151.129202,139.0
56.337981948907355,134.54199240757433,2903874506.392462,140.0
41.25884459089436,111.65387167942299,2662981553.6096587,141.0
31.605877976708985,96.4539232335742,2442071820.463584,142.0
25.220017052653784,86.44706621471643,2239487693.0135465,143.0
20.88574756198096,80.1380738232685,2053709021.277296,144.0
17.891711252343836,76.62488508009817,1883341735.1154578,145.0
15.807528127902609,75.37510959418948,1727107395.649254,146.0
14.365565303907005,76.10104671576877,1583833608.0645082,147.0
13.395941490389513,78.69009827483113,1452445229.7572174,148.0
12.78959103906809,83.16802255502364,1331956305.0413446,149.0
12.476714015766532,89.68314723994044,1221462667.0032842,150.0
12.413913058122816,98.50545312411134,1120135154.7831295,151.0
12.576415855990252,110.03775072540866,1027213410.877654,152.0
12.9533405716883,124.83783836767607,942000066.0651158,153.0
13.544994623651313,143.65366280265653,863855722.0629072,154.0
14.3613394490114,167.471665298429,792193946.223418,155.0
15.421414000194375,197.58373724989877,726476981.682985,156.0
16.75345646263777,235.67647510409074,666211684.320146,157.0
18.395514157486453,283.94957700855525,610945784.0125581,158.0
20.396706449402686,345.2757765680866,560264609.1570953,159.0
22.81883891266888,423.4063999379495,513787791.7650319,160.0
25.73879084772875,523.2531456240964,471166590.3230604,161.0
29.25137984030028,651.2534013955689,432081163.55763376,162.0
33.47309531193739,815.8613336198756,396238220.36237603,163.0
38.5467244335023,1028.1963778348586,363368794.9057603,164.0
44.64699351553819,1302.908987826736,333226241.8026223,165.0
51.98779060870434,1659.331521707833,305584382.4432794,166.0
60.83064356950483,2123.009969076552,280235801.7772873,167.0
71.49576997403014,2727.7543360637815,256990308.77463654,168.0
84.3749329044752,3518.3549428564547,235673485.93941024,169.0
99.94821161104645,4554.254653389544,216125415.86551356,170.0
118.80348284700275,5914.36919814725,198199439.22998464,171.0
141.66180163129633,7703.65428795399,181761099.017552,172.0
169.40726360561882,10061.755859018936,166687102.09183702,173.0
203.12508487302821,13174.716387547207,152864417.86393845,174.0
244.14765951240025,17290.52377036707,140189419.63067627,175.0
294.1115406257122,22740.048198366258,128567120.01425032,176.0
355.0289381880675,29965.017984360788,117910459.98504753,177.0
429.37313290222085,39555.524203533336,108139662.13080092,178.0
520.1891531612481,52300.41852422928,99181644.13992529,179.0
631.2237728307474,69254.54524199592,90969474.06597257,180.0
767.0956849067488,91829.64681244134,83441890.45648429,181.0
933.4964462765721,121914.98219750189,76542847.38764922,182.0
1137.4531173018604,162041.03918806394,70221125.27640624,183.0
1387.6436032536812,215596.62716244988,64429961.18638666,184.0
1694.8064141267319,287122.8567077676,59126736.860218644,185.0
2072.2470616298756,382703.9933852852,54272691.56282163,186.0
2536.4891724026247,510494.22046203143,49832683.93079446,187.0
3108.117351368409,681420.1373960578,45774987.69201258,188.0
3812.8510923114422,910121.0402532566,42071132.78375149,189.0
4683.008019760343,1216205.8260072179,38695794.02030222,190.0
5759.400503805299,1625917.8367887351,35626730.168362,191.0
7094.034252588297,2174373.0578466253,32844798.979428995,192.0
8753.750145830945,2908461.240959842,30334039.1057688,193.0
10825.619036915896,3890739.467357899,28081885.75420221,194.0
13424.726781367055,5204432.7351961285,26079526.45317735,195.0
16706.056505262608,6959940.035726829,24322499.13651251,196.0
