Time,H,d_m1,d_u,Effector_Cytotoxic_CD8_TCells__Xe,Infected_Tumour_Cells_Xi,M1_Macrophage_Xm1,M2_Macrophage_Xm2,UnInfected_Tumour_Cells_Xu,Virus_Xv,r,K,d_v,v_h_u,h_e,h_m,d_m2,delta_i,b,v_d_u,v_d_m1,omega,d_em1,v_a_1,u_a_1,p_m1,M,o_r_m1,o_r_m2,u_r_m1,v_r_m2,p_m2,h_u,h_v,d_em2,u_a_2,d_ee,p_e,d_t,compartment,Uninfected_tumour_cell_logistic_growth,Uninfected_tumour_cell_infection,Uninfected_tumour_cell_elimination_1,Uninfected_tumour_cell_elimination_2,Uninfected_tumour_cell_growth_M2,Infected_tumour_cell_death,virus_growth,Infected_tumour_cell_elimination_1,Infected_tumour_cell_elimination_2,virus_injection,virus_death,virus_clearance_1,virus_clearance_2,M1_activation_1,M1_activation_2,M1_recruitment,M1_to_M2_repolarisation,M2_to_M1_repolarisation,M1_death,M2_activation,M2_growth,M2_death,T_cells_activation,T_cells_death,T_cells_inactivation
0.0,0.0,0.01,0.44,0.0,0.0,0.0,0.0,500000.0,0.0,0.924,3300000000.0,0.011,100000.0,1.0,1000.0,0.4,0.475,2500.0,4.4,1.5,2.0,0.2,1e-06,3e-06,0.22,100000000.0,0.001,0.001,4.0,0.5,0.22,5000000000.0,0.105636,0.2,4e-08,0.4,2070.0,1e-10,1.0,461930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.01,0.44,0.01581389754883007,0.0,0.15728196328349747,0.0021081772976105466,548268.2636927019,0.0,0.924,3300000000.0,0.011,100000.0,1.0,1000.0,0.4,0.475,2500.0,4.4,1.5,2.0,0.2,1e-06,3e-06,0.22,100000000.0,0.001,0.001,4.0,0.5,0.22,5000000000.0,0.105636,0.2,4e-08,0.4,2070.0,1e-10,1.0,506515.70818714425,0.0,3755.524113011661,0.8623252712616645,0.4623377079170631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6448047910781058,0.03460203186721721,0.000226260566663374,2.1081772976105465e-06,0.03145639265669949,0.02193073054770808,0.00046379900473507034,0.00042163545952210934,0.32557297763127957,0.006325559019532028,8.670258151311337e-07
0.2,0.0,0.01,0.44,0.06447260397638845,0.0,0.32993982182798387,0.004445890484860677,600386.1442580553,0.0,0.924,3300000000.0,0.011,100000.0,1.0,1000.0,0.4,0.475,2500.0,4.4,1.5,2.0,0.2,1e-06,3e-06,0.22,100000000.0,0.001,0.001,4.0,0.5,0.22,5000000000.0,0.105636,0.2,4e-08,0.4,2070.0,1e-10,1.0,554655.8675082223,0.0,16000.150220407526,1.980904167761939,1.0676956715416042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8011584327741659,0.07258676055943669,0.0004883938330810066,4.445890484860677e-06,0.06598796436559677,0.024015445770322212,0.000978095903398736,0.0008891780969721354,0.6829723947634554,0.02578904159055538,3.870845811166042e-06
0.3,0.0,0.01,0.44,0.14792318768940688,0.0,0.5190760846952024,0.007031756103570965,655801.2963196828,0.0,0.924,3300000000.0,0.011,100000.0,1.0,1000.0,0.4,0.475,2500.0,4.4,1.5,2.0,0.2,1e-06,3e-06,0.22,100000000.0,0.001,0.001,4.0,0.5,0.22,5000000000.0,0.105636,0.2,4e-08,0.4,2070.0,1e-10,1.0,605839.9767041157,0.0,37183.33812264459,3.4040837556298666,1.8445609367476472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9674038889590486,0.11419673803214651,0.0007913689860729893,7.031756103570965e-06,0.10381521693904049,0.026232051852787316,0.001546986334646796,0.0014063512207141931,1.074479939838194,0.05916927507576275,9.700821824245279e-06
0.4,0.0,0.01,0.44,0.26824258938708717,0.0,0.7256212661882323,0.00988260022807449,713930.5551477402,0.0,0.924,3300000000.0,0.011,100000.0,1.0,1000.0,0.4,0.475,2500.0,4.4,1.5,2.0,0.2,1e-06,3e-06,0.22,100000000.0,0.001,0.001,4.0,0.5,0.22,5000000000.0,0.105636,0.2,4e-08,0.4,2070.0,1e-10,1.0,659529.1178419914,0.0,66440.67644274126,5.180380738335843,2.822168216492702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1417916654432205,0.15963667738727716,0.0011399966538555375,9.88260022807449e-06,0.14512425323764647,0.02855722220590961,0.002174172034185268,0.001976520045614898,1.502021177134813,0.10729703575483487,1.9150658075539047e-05
0.5,0.0,0.01,0.44,0.42759790492053523,0.0,0.9503423600263731,0.013013554581223946,774274.6352222215,0.0,0.924,3300000000.0,0.011,100000.0,1.0,1000.0,0.4,0.475,2500.0,4.4,1.5,2.0,0.2,1e-06,3e-06,0.22,100000000.0,0.001,0.001,4.0,0.5,0.22,5000000000.0,0.105636,0.2,4e-08,0.4,2070.0,1e-10,1.0,715261.9026063231,0.0,102041.6272072965,7.358164085586505,4.0303736410412965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3228239056666644,0.2090753171916626,0.001538912004433544,1.3013554581223947e-05,0.19006847200527463,0.03097098540888886,0.002862981980288562,0.0026027109162447895,1.9671830852101415,0.17103916196821412,3.3107821185413356e-05
0.6,0.0,0.01,0.44,0.6282128823092831,0.0,1.193879152663739,0.01643852824890864,836485.6992629552,0.0,0.924,3300000000.0,0.011,100000.0,1.0,1000.0,0.4,0.475,2500.0,4.4,1.5,2.0,0.2,1e-06,3e-06,0.22,100000000.0,0.001,0.001,4.0,0.5,0.22,5000000000.0,0.105636,0.2,4e-08,0.4,2070.0,1e-10,1.0,772716.8677879508,0.0,142006.050348673,9.986464215739804,5.500147104533324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5094570977888657,0.26265341040708184,0.001992675786552679,1.6438528248908643e-05,0.23877583053274778,0.03345942797051821,0.00361647617098905,0.0032877056497817286,2.471289221656258,0.25128515292371323,5.254910921444773e-05
0.7,0.0,0.01,0.44,0.8723448118627617,0.0,1.4567929092903986,0.02017085842117446,900380.9097806116,0.0,0.924,3300000000.0,0.011,100000.0,1.0,1000.0,0.4,0.475,2500.0,4.4,1.5,2.0,0.2,1e-06,3e-06,0.22,100000000.0,0.001,0.001,4.0,0.5,0.22,5000000000.0,0.105636,0.2,4e-08,0.4,2070.0,1e-10,1.0,831724.9686181298,0.0,184578.5821944974,13.116420680823786,7.2644358126189035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.701142729341835,0.320494435310301,0.0025059388031265883,2.017085842117446e-05,0.2913585818580797,0.03601523639122447,0.004437588787116802,0.004034171684234892,3.0155004969975314,0.3489379247451047,7.854426153473899e-05
0.8,0.0,0.01,0.44,1.1622722282944253,0.0,1.7396129772205087,0.024223950858133066,965921.416229822,0.0,0.924,3300000000.0,0.011,100000.0,1.0,1000.0,0.4,0.475,2500.0,4.4,1.5,2.0,0.2,1e-06,3e-06,0.22,100000000.0,0.001,0.001,4.0,0.5,0.22,5000000000.0,0.105636,0.2,4e-08,0.4,2070.0,1e-10,1.0,892250.1474253028,0.0,228450.42068596787,16.8028872741705,9.359146452324065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.897764248689466,0.38271484823804597,0.003083616881308506,2.4223950858133067e-05,0.34792259544410176,0.03863685664919288,0.005329269094789656,0.004844790171626614,3.6009116345399734,0.46490889131777013,0.00011226636367987425
0.9,0.0,0.01,0.44,1.5002917024244462,0.0,2.0428746721317106,0.028611821310273372,1033177.2279735946,0.0,0.924,3300000000.0,0.011,100000.0,1.0,1000.0,0.4,0.475,2500.0,4.4,1.5,2.0,0.2,1e-06,3e-06,0.22,100000000.0,0.001,0.001,4.0,0.5,0.22,5000000000.0,0.105636,0.2,4e-08,0.4,2070.0,1e-10,1.0,954356.8711959686,0.0,272780.0028829581,21.105912029921473,11.824094582568273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.099531683920784,0.4494324185590443,0.003731047108548476,2.8611821310273373e-05,0.40857493442634213,0.04132708911894378,0.006294600557868338,0.005722364262054675,4.228629582518638,0.6001166809697785,0.00015500672222626744
