Time,w,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT,NS,r5,n3,bm,IC1,sp,delta1,n1,IC2,sv,delta2,n2,IC2ifa,TJ,TJtot,K3,K9,delta,r0,k15,tao1,C,vmax2,NA,K2,K5,tao3,r3,k8,tao4,k11,k14,tao6,k12,k16,tao8,vmax17,K17,r1,rmax20,K20,tao9,vmax19,K19,r4,k26,tao12,k28,tao13,default,c2,compartment,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,8.0,4.5,1.0,0.1,0.1,5.0,1.0,0.1,0.4,5.0,1.0,0.0,0.0001,0.0043,780.0,0.0003,0.003,3.6e-05,2.5,500000.0,72000.0,6.023e+23,72000.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,3600.0,3600.0,2.0,72000.0,0.002,0.00025,0.001,0.0006,2.0,154800.0,0.004,1e-06,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.003,0.0,0.0,1e-07,0.0,0.0,0.0,0.0,0.00025,0.0,1e-06,-0.0046209812037329686
0.01,0.0,2.9958460668998858e-05,1.2437445281689455e-16,5.80700419192716e-23,9.925156922723646e-10,8.908865049413167e-29,1.349666539372881e-27,2.0293967648255676e-26,2.5307498747953128e-30,2.495677289048207e-06,4.0076187688575564e-10,9.965447795995199e-09,0.09995381880464983,5.947026720107207e-22,1.0,8.0,4.5,1.0,0.1,0.1,5.0,1.0,0.1,0.4,5.0,1.0,2.8849843155432383e-18,0.0001,0.0043,780.0,0.0003,0.003,3.6e-05,2.5,500000.0,72000.0,6.023e+23,72000.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,3600.0,3600.0,2.0,72000.0,0.002,0.00025,0.001,0.0006,2.0,154800.0,0.004,1e-06,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.002991693750981347,2.4870048693785032e-14,1.3041137354879665e-20,9.850443597008675e-08,2.084346397646104e-26,3.2071914177887403e-25,4.851766188513491e-24,6.0649413526249735e-28,0.0002491357320977697,8.012824907881893e-08,9.930924779571885e-07,-0.00461525961816962
0.02,0.0,5.983399129131849e-05,4.970531045048396e-16,3.930556017867022e-22,1.9702037872696863e-09,9.242584417504231e-28,1.9982406734217576e-26,4.0644782633721116e-25,6.59155287195613e-29,4.982736671851243e-06,1.6006507562337444e-09,1.9862093647658914e-08,0.09990769466784323,1.522438840347445e-19,1.0,8.0,4.5,1.0,0.1,0.1,5.0,1.0,0.1,0.4,5.0,1.0,1.1500463058100257e-17,0.0001,0.0043,780.0,0.0003,0.003,3.6e-05,2.5,500000.0,72000.0,6.023e+23,72000.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,3600.0,3600.0,2.0,72000.0,0.002,0.00025,0.001,0.0006,2.0,154800.0,0.004,1e-06,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.00298341049505391,4.9671252898551206e-14,5.178393220015043e-20,9.703121478201193e-08,1.408593759125679e-25,3.327330390301523e-24,7.17958001607481e-23,1.2146871781620125e-26,0.0002482757828063603,1.5988045857120616e-07,9.862326457881077e-07,-0.004609565437970804
0.03,0.0,8.962681320344694e-05,1.1173730161785571e-15,1.25052746924615e-21,2.93327824747362e-09,4.016788010103312e-27,1.157135196300696e-25,3.0818647616798892e-24,6.479702637598026e-28,7.461219746159642e-06,3.5960479143804795e-09,2.9690396568253202e-08,0.0998616273259835,3.901844231062337e-18,1.0,8.0,4.5,1.0,0.1,0.1,5.0,1.0,0.1,0.4,5.0,1.0,2.5788740546550163e-17,0.0001,0.0043,780.0,0.0003,0.003,3.6e-05,2.5,500000.0,72000.0,6.023e+23,72000.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,3600.0,3600.0,2.0,72000.0,0.002,0.00025,0.001,0.0006,2.0,154800.0,0.004,1e-06,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.002975150170850183,7.440379635719573e-14,1.1565892726651005e-19,9.558001402818661e-08,4.474057007191157e-25,1.4460436836371925e-23,4.1550057773303786e-22,9.210288180348333e-26,0.00024742013166197547,2.392591745417953e-07,9.79420185329009e-07,-0.004603898485710992
0.04,0.0,0.00011933713550558246,1.984708052211372e-15,2.857526826145602e-21,3.881938682309869e-09,1.1489105097354878e-26,4.0416083924641863e-25,1.2869035150276199e-23,3.1830045501208005e-27,9.931165677060001e-06,6.3835534043751785e-09,3.9450787806047374e-08,0.09981561653121852,3.8974434312894594e-17,1.0,8.0,4.5,1.0,0.1,0.1,5.0,1.0,0.1,0.4,5.0,1.0,4.5694801726424736e-17,0.0001,0.0043,780.0,0.0003,0.003,3.6e-05,2.5,500000.0,72000.0,6.023e+23,72000.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,3600.0,3600.0,2.0,72000.0,0.002,0.00025,0.001,0.0006,2.0,154800.0,0.004,1e-06,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.0029669127203952824,9.906785265464545e-14,2.0413182972305092e-19,9.415053292880506e-08,1.0207461461001613e-24,4.1360778350477557e-23,1.4505189535716366e-21,3.84596766901829e-25,0.0002465687593981175,3.182668508879025e-07,9.726547976613706e-07,-0.004598258594687609
0.05,0.0,0.00014896518311129483,3.0983852577889936e-15,5.4537021139325994e-21,4.816398202039225e-09,2.6342007419094226e-26,1.0924002476182098e-24,4.028984266736192e-23,1.1384175663272757e-26,1.2392616525262169e-05,9.959527668659494e-09,4.914372991937463e-08,0.09976966201766552,2.323057312541878e-16,1.0,8.0,4.5,1.0,0.1,0.1,5.0,1.0,0.1,0.4,5.0,1.0,7.116430645368721e-17,0.0001,0.0043,780.0,0.0003,0.003,3.6e-05,2.5,500000.0,72000.0,6.023e+23,72000.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,3600.0,3600.0,2.0,72000.0,0.002,0.00025,0.001,0.0006,2.0,154800.0,0.004,1e-06,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.002958698081329924,1.2366360850331374e-13,3.1665585350212163e-19,9.274245036044027e-08,1.9450742228479413e-24,9.483122670873921e-23,3.9186774960005126e-21,1.2040796413955082e-24,0.00024572164533512883,3.9690602007878607e-07,9.659361621641878e-07,-0.004592645586093259
0.06,0.0,0.0001785111890509118,4.4577062229585884e-15,9.283121444614951e-21,5.736873362239904e-09,5.250456170300061e-26,2.514426482525789e-24,1.0557332874575953e-22,3.356921775008998e-26,1.4845615721411032e-05,1.4320208399923056e-08,5.87696990187096e-08,0.09972376351147584,9.988721231519573e-16,1.0,8.0,4.5,1.0,0.1,0.1,5.0,1.0,0.1,0.4,5.0,1.0,1.0214401958788236e-16,0.0001,0.0043,780.0,0.0003,0.003,3.6e-05,2.5,500000.0,72000.0,6.023e+23,72000.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,3600.0,3600.0,2.0,72000.0,0.002,0.00025,0.001,0.0006,2.0,154800.0,0.004,1e-06,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.002950506189044383,1.481912573537482e-13,4.526838073421488e-19,9.135544000811734e-08,3.3055311367726567e-24,1.8901642213080221e-22,9.015346409511615e-21,3.155105292086455e-24,0.0002448787681038929,4.7517924406775386e-07,9.592639488228283e-07,-0.00458705927587368
0.07,0.0,0.00020797538483360262,6.061977768568719e-15,1.4581559619434457e-20,6.643576682107314e-09,9.50285701644703e-26,5.231413796541161e-24,2.528015152485094e-22,9.343830913780606e-26,1.7290206316841706e-05,1.9461882399356763e-08,6.832916610221183e-08,0.09967792074172471,3.4283425583100646e-15,1.0,8.0,4.5,1.0,0.1,0.1,5.0,1.0,0.1,0.4,5.0,1.0,1.3858245101372048e-16,0.0001,0.0043,780.0,0.0003,0.003,3.6e-05,2.5,500000.0,72000.0,6.023e+23,72000.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,3600.0,3600.0,2.0,72000.0,0.002,0.00025,0.001,0.0006,2.0,154800.0,0.004,1e-06,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.0029423369793506876,1.726509913937041e-13,6.116867376458509e-19,8.998918163905117e-08,5.18349435365924e-24,3.421028525920931e-22,1.8745475338780284e-20,7.555084300968237e-24,0.00024404010653866578,5.530890584464668e-07,9.526378311662449e-07,-0.004581499481950148
0.08,0.0,0.00023735799587874421,7.910525138400777e-15,2.1568699913299958e-20,7.536709650194398e-09,1.6057608488755017e-25,1.0226290813399544e-23,5.798743891163365e-22,2.5558184726277065e-25,1.9726430039894463e-05,2.538096756351594e-08,7.78225857309672e-08,0.09963213344683404,9.977455184100917e-15,1.0,8.0,4.5,1.0,0.1,0.1,5.0,1.0,0.1,0.4,5.0,1.0,1.8043009292015497e-16,0.0001,0.0043,780.0,0.0003,0.003,3.6e-05,2.5,500000.0,72000.0,6.023e+23,72000.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,3600.0,3600.0,2.0,72000.0,0.002,0.00025,0.001,0.0006,2.0,154800.0,0.004,1e-06,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.002934190389749316,1.9704299775548784e-13,7.931646572665114e-19,8.864337164188882e-08,7.653432384786402e-24,5.780739055951806e-22,3.6613677779290906e-20,1.7329800770536372e-23,0.00024320564014092218,6.306379426337467e-07,9.460574941167033e-07,-0.004575966028593201
0.09,0.0,0.00026665925555834443,1.0002649406180786e-14,3.048510951172279e-20,8.416487842431913e-09,2.5373588917030554e-25,1.7960310527388596e-23,1.1198448454766114e-21,5.362390892635063e-25,2.215433033664905e-05,3.2073710690372013e-08,8.725043371036214e-08,0.09958640135313354,2.5599999999999334e-14,1.0,8.0,4.5,1.0,0.1,0.1,5.0,1.0,0.1,0.4,5.0,1.0,2.276383730852296e-16,0.0001,0.0043,780.0,0.0003,0.003,3.6e-05,2.5,500000.0,72000.0,6.023e+23,72000.0,0.01,0.56,1e-07,0.0036,0.46,0.00036,3.204e-07,1.0,3600.0,3600.0,2.0,72000.0,0.002,0.00025,0.001,0.0006,2.0,154800.0,0.004,1e-06,0.360085,1.0,360.0,15.0,1.0,1.0,1.0,0.002926066355535808,2.2136747017328988e-13,9.965960207106874e-19,8.731768517782894e-08,1.079876886251843e-23,9.134492010130999e-22,6.426900924994559e-20,3.3467054986848757e-23,0.0002423753475220521,7.07828416879709e-07,9.395226078710411e-07,-0.004570458731866646
