Hospitalised_1_task1,_1_task1
2.0,0.0
26.33577720033165,1.0
117.11350776525916,2.0
281.5009825680085,3.0
519.9425652260037,4.0
833.624144513425,5.0
1224.0800400322203,6.0
1690.670040955924,7.0
2227.9965135458783,8.0
2824.3116688255886,9.0
3461.5283379765738,10.0
4116.91963695076,11.0
4765.982958484182,12.0
5385.538961689884,13.0
5956.222365232505,14.0
6463.892211866566,15.0
6899.946136193209,16.0
7260.81526021203,17.0
7547.006745833022,18.0
7762.00800579133,19.0
7911.260496631177,20.0
8001.302235367245,21.0
8039.11510899696,22.0
8031.669856639085,23.0
7985.619545263564,24.0
7907.119390654928,25.0
7801.736230949136,26.0
7674.417463048025,27.0
7529.500564338675,28.0
7370.746649982619,29.0
7201.387157715864,30.0
7024.176610890909,31.0
6841.446468739824,32.0
6655.157123508668,33.0
6466.94643794669,34.0
6278.17385294354,35.0
6089.95990775439,36.0
5903.2215081534505,37.0
5718.702255494737,38.0
5536.998805708092,39.0
5358.5836747191515,40.0
5183.825181842797,41.0
5013.004230445336,42.0
4846.328532568473,43.0
4683.944878340186,44.0
4525.949448969364,45.0
4372.396598457029,46.0
4223.3062294043775,47.0
4078.670018427155,48.0
3938.456717299715,49.0
3802.616534357855,50.0
3671.0848458880973,51.0
3543.785300463147,52.0
3420.6324091095858,53.0
3301.5337314188323,54.0
3186.391661466086,55.0
3075.104930549706,56.0
2967.569847162991,57.0
2863.681315992109,58.0
2763.3336863236054,59.0
2666.4214338284637,60.0
2572.8397208310566,61.0
2482.484847187529,62.0
2395.2546099167166,63.0
2311.0485914944966,64.0
2229.7683804855264,65.0
2151.317741384016,66.0
2075.6027409302633,67.0
2002.5318377517608,68.0
1932.0159432187313,69.0
1863.9684561918984,70.0
1798.3052778187086,71.0
1734.9448099634496,72.0
1673.807939888821,73.0
1614.8180143871784,74.0
1557.9008048618132,75.0
1502.9844654981612,76.0
1449.9994861784903,77.0
1398.8786411899569,78.0
1349.556934951918,79.0
1301.9715454837947,80.0
