Total_reported_cases_1_task1,_1_task1
21.0,0.0
45.67730587190526,1.0
138.81301390757076,2.0
310.13663406775424,3.0
562.7458218523091,4.0
900.5034011651701,5.0
1327.675508023981,6.0
1846.3781544296294,7.0
2453.8682172030094,8.0
3140.7471503728602,9.0
3890.7386871968934,10.0
4682.18662921967,11.0
5490.80161451184,12.0
6292.752624788371,13.0
7067.2528592782755,14.0
7798.135745315754,15.0
8474.365430251983,16.0
9089.723395818268,17.0
9642.015402623867,18.0
10132.10243964347,19.0
10562.962509501283,20.0
10938.887808302834,21.0
11264.859062503512,22.0
11546.096977698982,23.0
11787.750084868558,24.0
11994.69946826075,25.0
12171.448414920384,26.0
12322.069623134545,27.0
12450.192504651306,28.0
12559.015394972905,29.0
12651.332362869638,30.0
12729.567879554566,31.0
12795.814511681032,32.0
12851.870673693778,33.0
12899.276719137097,34.0
12939.34829374854,35.0
12973.206581935186,36.0
13001.805537489105,37.0
13025.955527129176,38.0
13046.344001035719,39.0
13063.553454271214,40.0
13078.077195390248,41.0
13090.33271125916,42.0
13100.673048789658,43.0
13109.396661982493,44.0
13116.755729485165,45.0
13122.96327688832,46.0
13128.19919389656,47.0
13132.61534019066,48.0
13136.339919712582,49.0
13139.481126531567,50.0
13142.130258400317,51.0
13144.364346052516,52.0
13146.248371206717,53.0
13147.837160778547,54.0
13149.176959744354,55.0
13150.306775411962,56.0
13151.259508730229,57.0
13152.06290580231,58.0
13152.740370156525,59.0
13153.31163835457,60.0
13153.793354981093,61.0
13154.199556544587,62.0
13154.542078869159,63.0
13154.830904097016,64.0
13155.074449846656,65.0
13155.279814274278,66.0
13155.452982897843,67.0
13155.599002663537,68.0
13155.722129776317,69.0
13155.825953270796,70.0
13155.91349946493,71.0
13155.987320258513,72.0
13156.049567372285,73.0
13156.10205530053,74.0
13156.1463141209,75.0
13156.183633994646,76.0
13156.215102821148,77.0
13156.241637894796,78.0
13156.264012719963,79.0
13156.28287956979,80.0
