Recovered_from_hospitals_1_task1,_1_task1
0.0,0.0
0.33621347061032053,1.0
2.657493805303551,2.0
9.485692130604413,3.0
23.432807223138678,4.0
47.134113147681596,5.0
83.27891113904884,6.0
134.58052900743948,7.0
203.6521652403676,8.0
292.80650164125365,9.0
403.8262572689935,10.0
537.7654546669271,11.0
694.8340204386205,12.0
874.3904192227463,13.0
1075.0352546500446,14.0
1294.774435895134,15.0
1531.2123480006146,16.0
1781.7405869740396,17.0
2043.6997933459875,18.0
2314.5044183139908,19.0
2591.7293466210444,20.0
2873.163709004671,21.0
3156.837488927211,22.0
3441.027888587308,23.0
3724.2537870449964,24.0
4005.2608820369674,25.0
4283.002174487348,26.0
4556.6165786909505,27.0
4825.407048614091,28.0
5088.819563121239,29.0
5346.423560007409,30.0
5597.8941237251875,31.0
5842.996079574221,32.0
6081.569970609094,33.0
6313.519805157822,34.0
6538.80246965101,35.0
6757.418599200081,36.0
6969.404665245648,37.0
7174.826394085114,38.0
7373.773166940627,39.0
7566.353251346863,40.0
7752.689691339561,41.0
7932.91694477364,42.0
8107.178084676676,43.0
8275.622414580914,44.0
8438.403504141286,45.0
8595.677555545999,46.0
8747.602066023728,47.0
8894.334725715047,48.0
9036.032505238029,49.0
9172.850931598661,50.0
9304.943499661791,51.0
9432.461204506211,52.0
9555.552175052919,53.0
9674.361386711458,54.0
9789.030451629744,55.0
9899.697462708325,56.0
10006.49688662026,57.0
10109.559497373697,58.0
10209.01234074284,59.0
10304.978728187032,60.0
10397.5782513417,61.0
10486.926814527023,62.0
10573.136681765473,63.0
10656.316534576552,64.0
10736.571539436649,65.0
10814.0034218289,66.0
10888.710545497863,67.0
10960.787995560991,68.0
11030.327664130033,69.0
11097.418337751777,70.0
11162.14578567018,71.0
11224.592848296154,72.0
11284.839525371299,73.0
11342.963063406942,74.0
11399.038042047358,75.0
11453.136459055253,76.0
11505.327813732818,77.0
11555.679188579612,78.0
11604.255329118258,79.0
11651.118721754476,80.0
