Deceased_1_task1,_1_task1
0.0,0.0
0.005315200963303297,1.0
0.04201233700803507,2.0
0.1499593691432509,3.0
0.37044940317005415,4.0
0.7451435040726495,5.0
1.3165568527209675,6.0
2.1275844662728502,7.0
3.219538416766709,8.0
4.6289799060099535,9.0
6.38409195130389,10.0
8.501537601953274,11.0
10.984635589011544,12.0
13.823243875741353,13.0
16.995239395757434,14.0
20.469097554114963,15.0
24.206946058231026,16.0
28.16754863227118,17.0
32.30886344493113,18.0
36.5900155382248,19.0
40.9726662491392,20.0
45.42186393099488,21.0
49.906464579419556,22.0
54.39923247266564,23.0
58.87675256007322,24.0
63.319195568930226,25.0
67.71000948397517,26.0
72.0355813956438,27.0
76.28489169861518,28.0
80.44918186912196,29.0
84.52164514643987,30.0
88.49714493854756,31.0
92.37196336706384,32.0
96.14357957609216,33.0
99.8104760326602,34.0
103.37197115406643,35.0
106.82807498079151,36.0
110.17936409007942,37.0
113.42687754939718,38.0
116.57202838707224,39.0
119.61652820527087,40.0
122.56232220796147,41.0
125.41153604025493,42.0
128.16643154458308,43.0
130.829369061467,44.0
133.4027763745893,45.0
135.8891228853685,46.0
138.2908984685263,47.0
140.61059604852977,48.0
142.8506971749103,49.0
145.01366057512612,50.0
147.10191285050297,51.0
149.11784108323235,52.0
151.06378704439848,53.0
152.94204265120217,54.0
154.7548466510192,55.0
156.5043821554206,56.0
158.1927749489231,57.0
159.82209243867987,58.0
161.39434309216898,59.0
162.9114763410604,60.0
164.37538281030348,61.0
165.78789483205654,62.0
167.15078718898752,63.0
168.46577802795156,64.0
169.73452992646398,65.0
170.95865106335526,66.0
172.13969647170867,67.0
173.27916935277005,68.0
174.37852242953704,69.0
175.43915932911045,70.0
176.46243597803092,71.0
177.4496620008982,72.0
178.40210211415223,73.0
179.32097750839753,74.0
180.20746721371987,75.0
181.06270944322236,76.0
181.88780291182945,77.0
182.68380812721688,78.0
183.45174865177668,79.0
184.192612333507,80.0
