AKT,AKT_active,A_SOS,D_SOS,EGFR_active,ERK,ERK_active,IGFR_active,Mek,Mek_active,P90RskInactive,P90Rsk_Active,PI3KCA,PI3KCA_active,PP2A,Raf,RafPP,Raf_active,Ras,RasGapActive,Ras_active,Time
600000.0,0.0,0.0,120000.0,8000.0,600000.0,0.0,800.0,600000.0,0.0,120000.0,0.0,120000.0,0.0,120000.0,120000.0,120000.0,0.0,120000.0,120000.0,0.0,0.0
599968.6520567284,31.34794327207197,3228.4223458375186,116771.57765416247,7998.400159989325,599999.999760512,0.000239487791206788,799.8400159989327,599999.9688037403,0.031196260251766302,119999.99999999885,1.195056507673155e-09,0.1624743634222445,119999.83752563657,120000.0,119999.43554624775,120000.0,0.564453752195584,119724.62808714222,120000.0,275.37191285765675,0.01
599936.1409290396,63.85907096073599,6400.836705001444,113599.16329499852,7996.800639914667,599999.993726067,0.006273932833626268,799.6800639914668,599999.6053291315,0.39467086898435977,119999.99999993581,6.425059253313923e-08,0.16253928872510745,119999.83746071126,120000.0,119996.60511770112,120000.0,3.394882298823144,119196.24513080536,120000.0,803.7548691945619,0.02
599903.6323457321,96.36765426818495,9517.403809323265,110482.59619067672,7995.201439712035,599999.9601928963,0.03980710360041611,799.5201439712035,599998.3777718056,1.6222281946231523,119999.99999937524,6.248126093742241e-07,0.16260434092335765,119999.83739565908,120000.0,119991.0688054448,120000.0,8.931194555132882,118605.02227655829,120000.0,1394.9777234416124,0.03
599871.1263066543,128.87369334589664,12578.290260649814,107421.70973935016,7993.602559317462,599999.8574637825,0.14253621740142158,799.3602559317463,599995.7466215467,4.253378453449274,119999.99999696178,3.0383004167871575e-06,0.1626693894784522,119999.83733061053,120000.0,119983.01360784064,120000.0,16.986392159311034,118004.60649341965,120000.0,1995.3935065802584,0.04
599838.6228116548,161.3771883453454,15583.669128414953,104416.33087158503,7992.003998666993,599999.6251703335,0.3748296664065045,799.2003998666994,599991.231801114,8.768198886172836,119999.99998985336,1.0146736313779636e-05,0.16273446129542565,119999.8372655387,120000.0,119972.75287550027,120000.0,27.2471244996773,117410.0897805514,120000.0,2589.910219448486,0.05
599806.1218605821,193.87813941800084,18533.72051970441,101466.27948029558,7990.4057576966825,599999.186756723,0.8132432769601701,799.0405757696686,599984.4214128162,15.578587184066544,119999.99997321493,2.6785173208088977e-05,0.16279955966243498,119999.83720044034,120000.0,119960.59164025687,120000.0,39.408359743095076,116825.67359439604,120000.0,3174.3264056038665,0.06
599773.6234532846,226.37654671532871,21428.632109581,98571.36789041899,7988.807836342604,599998.4519375806,1.5480624193444474,798.8807836342609,599974.9654706606,25.034529339586665,119999.99993978484,6.0215263434590174e-05,0.16286468418622171,119999.83713531583,120000.0,119946.79513831685,120000.0,53.20486168308982,116252.49475802078,120000.0,3747.505241979127,0.07
599741.1275896111,258.8724103887898,24268.599622815007,95731.400377185,7987.210234540841,599997.3188469755,2.681153024450015,798.7210234540846,599962.5667551712,37.43324482911018,119999.99987950858,0.00012049152530590801,0.16292983488969656,119999.83707016514,120000.0,119931.5861246917,120000.0,68.41387530823901,115690.81875905041,120000.0,4309.181240949505,0.08
599708.63426941,291.3657305898407,27053.82726128363,92946.17273871637,7985.612952227488,599995.675847754,4.324152245837324,798.5612952227494,599946.972121258,53.02787874223213,119999.99977923003,0.00022077006079459965,0.1629950117843142,119999.83700498822,120000.0,119915.14948036126,120000.0,84.85051963869901,115140.66603415413,120000.0,4859.333965845791,0.09
