Time,Minf,V,V1,V2,Ninf,V3,V4,lambdaN,lambdaN_bar,lambdaM,lambdaM_bar,Iapp,gL,VL,gCa,VCa,gK,N,VK,C,M,musclefibre
0.0,0.0012710162630813482,-50.0,0.0,15.0,6.144174602207286e-06,10.0,10.0,1.0067661995777766,0.1,2.7416828266537956,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.144174602207286e-06,-70.0,20.0,0.0012710162630813482,1.0
0.01,0.0012753171523834372,-49.97463189956537,0.0,15.0,6.175426831289688e-06,10.0,10.0,1.005496336819218,0.1,2.7395251442751247,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.144331156733238e-06,-70.0,20.0,0.0012710746331311372,1.0
0.02,0.0012796282507719914,-49.949289184826895,0.0,15.0,6.206806510589136e-06,10.0,10.0,1.0042293600717858,0.1,2.7373715770204994,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.1447990560379886e-06,-70.0,20.0,0.001271247698693454,1.0
0.03,0.0012839495735679773,-49.92397179648504,0.0,15.0,6.23831404222841e-06,10.0,10.0,1.002965259493691,0.1,2.735222112448274,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.145575685846878e-06,-70.0,20.0,0.001271532462192994,1.0
0.04,0.0012882811359818391,-49.898679676175945,0.0,15.0,6.269949828385801e-06,10.0,10.0,1.0017040253244527,0.1,2.733076738230854,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.146658471154507e-06,-70.0,20.0,0.0012719260142281738,1.0
0.05,0.0012926229531118882,-49.87341276646732,0.0,15.0,6.301714271295111e-06,10.0,10.0,1.000445647884252,0.1,2.7309354421538696,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.148044875898659e-06,-70.0,20.0,0.0012724255308361034,1.0
0.06,0.0012969750399488,-49.84817101081987,0.0,15.0,6.333607773190142e-06,10.0,10.0,0.9991901175715775,0.1,2.728798212112441,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.149732402153332e-06,-70.0,20.0,0.0012730282697770135,1.0
0.07,0.0013013374113858278,-49.82295435351532,0.0,15.0,6.365630736582251e-06,10.0,10.0,0.9979374248592315,0.1,2.7266650361046274,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.151718588428893e-06,-70.0,20.0,0.0012737315636207468,1.0
0.08,0.0013057100821988188,-49.79776273976084,0.0,15.0,6.397783563649728e-06,10.0,10.0,0.9966875602991099,0.1,2.7245359022398286,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.154001012148236e-06,-70.0,20.0,0.001274532829776416,1.0
0.09,0.0013100930670545963,-49.77259611562628,0.0,15.0,6.430066656959443e-06,10.0,10.0,0.9954405145186707,0.1,2.7224107987330197,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.156577288227206e-06,-70.0,20.0,0.0012754295644622554,1.0
0.1,0.0013144863805155116,-49.74745442800784,0.0,15.0,6.462480418800709e-06,10.0,10.0,0.9941962782187285,0.1,2.7202897139012503,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.159445068275649e-06,-70.0,20.0,0.001276419339210088,1.0
0.11,0.0013188900370421086,-49.72233762460016,0.0,15.0,6.495025251795905e-06,10.0,10.0,0.9929548421716888,0.1,2.7181726361608645,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.162602039996996e-06,-70.0,20.0,0.0012774997981828034,1.0
0.12,0.0013233040509960103,-49.697245653868386,0.0,15.0,6.527701558456389e-06,10.0,10.0,0.9917161972197883,0.1,2.7160595540247487,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.166045926587841e-06,-70.0,20.0,0.0012786686554918333,1.0
0.13,0.0013277284366435271,-49.672178465018675,0.0,15.0,6.560509741460052e-06,10.0,10.0,0.9904803342732738,0.1,2.713950456099445,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.169774486047601e-06,-70.0,20.0,0.0012799236923689509,1.0
0.14,0.0013321632081663703,-49.647136007926015,0.0,15.0,6.59345020370683e-06,10.0,10.0,0.9892472443064924,0.1,2.7118453310787065,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.173785508183337e-06,-70.0,20.0,0.0012812627506040392,1.0
0.15,0.0013366083796567119,-49.62211823315259,0.0,15.0,6.62652334820768e-06,10.0,10.0,0.9880169183584624,0.1,2.7097441677446827,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.178076816513597e-06,-70.0,20.0,0.0012826837339196824,1.0
0.16,0.0013410639651195155,-49.59712509192686,0.0,15.0,6.659729578029072e-06,10.0,10.0,0.9867893475315074,0.1,2.7076469549658038,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.182646268044186e-06,-70.0,20.0,0.001284184605898086,1.0
0.17,0.0013455299784781993,-49.57215653610078,0.0,15.0,6.693069296570542e-06,10.0,10.0,0.9855645229888341,0.1,2.7055536816928436,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.187491751863763e-06,-70.0,20.0,0.0012857633859960397,1.0
0.18,0.0013500064335785766,-49.54721251812135,0.0,15.0,6.7265429073426475e-06,10.0,10.0,0.9843424359528239,0.1,2.7034643369562072,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.192611188512573e-06,-70.0,20.0,0.0012874181468124134,1.0
0.19,0.0013544933441921314,-49.52229299100213,0.0,15.0,6.760150814133503e-06,10.0,10.0,0.9831230777033382,0.1,2.701378909863227,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.198002529351175e-06,-70.0,20.0,0.0012891470113556582,1.0
0.2,0.001358990724020126,-49.497397908294815,0.0,15.0,6.793893421008779e-06,10.0,10.0,0.981906439576037,0.1,2.6992973895954733,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.203663755929177e-06,-70.0,20.0,0.001290948150311304,1.0
0.21,0.001363498586632983,-49.47252722441492,0.0,15.0,6.827771131701077e-06,10.0,10.0,0.9806925129779862,0.1,2.6972197654356576,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.20959288494092e-06,-70.0,20.0,0.0012928198136480816,1.0
0.22,0.0013680169454636792,-49.447680894665545,0.0,15.0,6.861784349831979e-06,10.0,10.0,0.9794812893884333,0.1,2.695146026769199,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.21578796841782e-06,-70.0,20.0,0.0012947603329475574,1.0
0.23,0.0013725458139329239,-49.422858874539386,0.0,15.0,6.895933479689198e-06,10.0,10.0,0.9782727603244624,0.1,2.693076163025619,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.22224708253612e-06,-70.0,20.0,0.001296768053761466,1.0
0.24,0.0013770852053887062,-49.39806112004725,0.0,15.0,6.930218925671472e-06,10.0,10.0,0.9770669173567887,0.1,2.6910101637057373,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.22896833261696e-06,-70.0,20.0,0.001298841367490696,1.0
0.25,0.0013816351331081833,-49.37328758770012,0.0,15.0,6.964641092566115e-06,10.0,10.0,0.975863752108619,0.1,2.6889480183799,1.0,50.0,2.0,-50.0,4.0,100.0,8.0,6.235949852660894e-06,-70.0,20.0,0.0013009787096717076,1.0
