Time,APC,Cdk1CycB,CycB,Ks,Adeg,Bdeg,Acdc,Bcdc,EC50cdc,n_cdc,Awee,Bwee,EC50wee,n_wee,EC50apc,n_apc,AK,BK,EC50K,n_K,AP,BP,EC50P,n_P,Cell,R1,R2,R3
0.0,0.0,20.0,59.9999999999999,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,-8.556325803605663,0.040000000000000105,0.012565541866375016
6.0,0.006068584219302492,15.141515509536914,60.23928143784247,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.010180423804801109,0.03976071856215753,4.212774722177912e-05
12.0,0.0062308909774372425,15.202939382635476,60.47713148552266,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.010221160825732767,0.039522868514477345,2.1514565489710435e-05
18.0,0.006356829399455571,15.264125334384437,60.713558705667865,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.010174269953587611,0.03928644129433214,2.086365287109126e-05
24.0,0.006482517396487884,15.325031980653991,60.94857160968355,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.01012805901940439,0.03905142839031646,2.1049105712143447e-05
30.0,0.0066094724994995545,15.385663409583842,61.18217865805962,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.010082531229961944,0.03881782134194039,2.1270114399717446e-05
36.0,0.006737760670960629,15.446023734337897,61.41438826067506,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.010037691669225524,0.03858561173932494,2.1492846534027464e-05
42.0,0.006867386732440555,15.50611709564151,61.64520877710059,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009993544529741882,0.03835479122289941,2.1715895438176574e-05
48.0,0.006998352736476988,15.565947662282131,61.87464851689991,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009950094411031785,0.038125351483100096,2.1939446024689738e-05
54.0,0.007130661375173427,15.625519632294386,62.10271573992896,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009907346422085794,0.037897284260071044,2.216348162289907e-05
60.0,0.007264315600097228,15.684837234391342,62.32941865661807,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009865305941094249,0.037670581343381936,2.2387993510026433e-05
66.0,0.007399318483358891,15.7439047293988,62.55476542783723,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009823978309217551,0.03744523457216277,2.2613063191889975e-05
72.0,0.007535673514777736,15.802726411800323,62.77876416662376,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009783369404889442,0.03722123583337625,2.283871434559208e-05
78.0,0.007673384394928141,15.861306611351608,63.001422937505914,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009743485044900524,0.036998577062494084,2.3065031612237198e-05
84.0,0.007812455274836261,15.919649694014058,63.22274975520788,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009704331547251144,0.03677725024479213,2.3292042446694007e-05
90.0,0.007952890523909623,15.977760064737403,63.442752588381374,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009665915473483722,0.03655724741161863,2.3519851035072765e-05
96.0,0.008094695065064723,16.03564216822172,63.661439355842724,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009628243657921587,0.036338560644157275,2.3748469759546018e-05
102.0,0.00823787403455905,16.093300491941854,63.878817930688264,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009591323094710447,0.03612118206931174,2.3978011104285914e-05
108.0,0.00838243312016304,16.150739566942452,64.09489613819967,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009555162162357078,0.03590510386180033,2.4208517908227978e-05
114.0,0.00852837837325509,16.207963971958158,64.30968175823418,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009519768033236176,0.03569031824176583,2.4440076683693822e-05
120.0,0.008675716325443068,16.264978333796815,64.52318252349151,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.0094851493392909,0.03547681747650849,2.4672765050345012e-05
126.0,0.008824453996778722,16.321787330099596,64.73540611762316,0.1,0.001,0.02,0.5,1.5,30.0,10.0,0.5,1.0,30.0,10.0,0.5,10.0,0.0,0.25,0.18,5.0,0.025,0.5,0.18,5.0,1.0,0.009451314507987973,0.03526459388237685,2.4906659938170837e-05
