Time,a,b,c,d,Vthresh,i,v,u,cell
0.0,0.05,0.26,-60.0,0.0,30.0,0.0,-62.0,-16.12,1.0
0.01,0.05,0.26,-60.0,0.0,30.0,0.0,-62.001200588844874,-16.120000193147813,1.0
0.02,0.05,0.26,-60.0,0.0,30.0,0.0,-62.00240166125064,-16.120000545390983,1.0
0.03,0.05,0.26,-60.0,0.0,30.0,0.0,-62.00360304967143,-16.12000100160561,1.0
0.04,0.05,0.26,-60.0,0.0,30.0,0.0,-62.00480483623043,-16.120001591272363,1.0
0.05,0.05,0.26,-60.0,0.0,30.0,0.0,-62.0060072815181,-16.120002407938323,1.0
0.06,0.05,0.26,-60.0,0.0,30.0,0.0,-62.00721013918931,-16.120003363170216,1.0
0.07,0.05,0.26,-60.0,0.0,30.0,0.0,-62.00841340924405,-16.120004456968044,1.0
0.08,0.05,0.26,-60.0,0.0,30.0,0.0,-62.009617091682316,-16.120005689331805,1.0
0.09,0.05,0.26,-60.0,0.0,30.0,0.0,-62.01082118650411,-16.120007060261496,1.0
0.1,0.05,0.26,-60.0,0.0,30.0,0.0,-62.01202569370944,-16.120008569757125,1.0
0.11,0.05,0.26,-60.0,0.0,30.0,0.0,-62.01323061329829,-16.120010217818688,1.0
0.12,0.05,0.26,-60.0,0.0,30.0,0.0,-62.0144360349259,-16.1200120773129,1.0
0.13,0.05,0.26,-60.0,0.0,30.0,0.0,-62.01564189695671,-16.120014098145855,1.0
0.14,0.05,0.26,-60.0,0.0,30.0,0.0,-62.016848185376716,-16.120016268927767,1.0
0.15,0.05,0.26,-60.0,0.0,30.0,0.0,-62.01805490018592,-16.120018589658628,1.0
0.16,0.05,0.26,-60.0,0.0,30.0,0.0,-62.01926204138433,-16.12002106033845,1.0
0.17,0.05,0.26,-60.0,0.0,30.0,0.0,-62.020469608971936,-16.12002368096722,1.0
0.18,0.05,0.26,-60.0,0.0,30.0,0.0,-62.02167760294874,-16.120026451544945,1.0
0.19,0.05,0.26,-60.0,0.0,30.0,0.0,-62.02288602331475,-16.120029372071624,1.0
0.2,0.05,0.26,-60.0,0.0,30.0,0.0,-62.02409487006995,-16.120032442547256,1.0
0.21,0.05,0.26,-60.0,0.0,30.0,0.0,-62.02530414321436,-16.120035662971844,1.0
0.22,0.05,0.26,-60.0,0.0,30.0,0.0,-62.02651384274797,-16.120039033345385,1.0
0.23,0.05,0.26,-60.0,0.0,30.0,0.0,-62.02772396867078,-16.120042553667883,1.0
0.24,0.05,0.26,-60.0,0.0,30.0,0.0,-62.02893452098278,-16.12004622393933,1.0
0.25,0.05,0.26,-60.0,0.0,30.0,0.0,-62.03014549968399,-16.120050044159733,1.0
0.26,0.05,0.26,-60.0,0.0,30.0,0.0,-62.03135658301323,-16.120054050489305,1.0
0.27,0.05,0.26,-60.0,0.0,30.0,0.0,-62.03256796733672,-16.120058220859985,1.0
0.28,0.05,0.26,-60.0,0.0,30.0,0.0,-62.03377974755949,-16.120062544606142,1.0
0.29,0.05,0.26,-60.0,0.0,30.0,0.0,-62.03499192368155,-16.120067021727774,1.0
0.3,0.05,0.26,-60.0,0.0,30.0,0.0,-62.036204495702904,-16.120071652224883,1.0
0.31,0.05,0.26,-60.0,0.0,30.0,0.0,-62.037417463623534,-16.120076436097467,1.0
0.32,0.05,0.26,-60.0,0.0,30.0,0.0,-62.03863082744345,-16.12008137334553,1.0
0.33,0.05,0.26,-60.0,0.0,30.0,0.0,-62.03984458716265,-16.120086463969066,1.0
0.34,0.05,0.26,-60.0,0.0,30.0,0.0,-62.04105874278113,-16.120091707968083,1.0
0.35000000000000003,0.05,0.26,-60.0,0.0,30.0,0.0,-62.0422732942989,-16.120097105342573,1.0
0.36,0.05,0.26,-60.0,0.0,30.0,0.0,-62.043488241715956,-16.12010265609254,1.0
0.37,0.05,0.26,-60.0,0.0,30.0,0.0,-62.044703585032295,-16.120108360217984,1.0
0.38,0.05,0.26,-60.0,0.0,30.0,0.0,-62.04591932424792,-16.120114217718903,1.0
0.39,0.05,0.26,-60.0,0.0,30.0,0.0,-62.04713545936283,-16.1201202285953,1.0
0.4,0.05,0.26,-60.0,0.0,30.0,0.0,-62.04835199037703,-16.120126392847173,1.0
0.41000000000000003,0.05,0.26,-60.0,0.0,30.0,0.0,-62.04956891729051,-16.120132710474522,1.0
0.42,0.05,0.26,-60.0,0.0,30.0,0.0,-62.05078624010327,-16.120139181477345,1.0
0.43,0.05,0.26,-60.0,0.0,30.0,0.0,-62.05200395881532,-16.12014580585565,1.0
0.44,0.05,0.26,-60.0,0.0,30.0,0.0,-62.05322207342665,-16.120152583609425,1.0
0.45,0.05,0.26,-60.0,0.0,30.0,0.0,-62.05444058393727,-16.12015951473868,1.0
0.46,0.05,0.26,-60.0,0.0,30.0,0.0,-62.055659490347175,-16.12016659924341,1.0
0.47000000000000003,0.05,0.26,-60.0,0.0,30.0,0.0,-62.05687879265636,-16.12017383712362,1.0
0.48,0.05,0.26,-60.0,0.0,30.0,0.0,-62.058098490864836,-16.120181228379302,1.0
0.49,0.05,0.26,-60.0,0.0,30.0,0.0,-62.059318584972594,-16.12018877301046,1.0
0.5,0.05,0.26,-60.0,0.0,30.0,0.0,-62.06053907497964,-16.1201964710171,1.0
0.51,0.05,0.26,-60.0,0.0,30.0,0.0,-62.061759960885965,-16.12020432239921,1.0
0.52,0.05,0.26,-60.0,0.0,30.0,0.0,-62.06298124269158,-16.1202123271568,1.0
0.53,0.05,0.26,-60.0,0.0,30.0,0.0,-62.06420215911663,-16.120220492725572,1.0
0.54,0.05,0.26,-60.0,0.0,30.0,0.0,-62.06542338848837,-16.12022881248005,1.0
0.55,0.05,0.26,-60.0,0.0,30.0,0.0,-62.06664495696846,-16.120237286164702,1.0
0.56,0.05,0.26,-60.0,0.0,30.0,0.0,-62.0678668645569,-16.12024591377953,1.0
0.5700000000000001,0.05,0.26,-60.0,0.0,30.0,0.0,-62.069089111253696,-16.120254695324533,1.0
0.58,0.05,0.26,-60.0,0.0,30.0,0.0,-62.07031169705884,-16.12026363079971,1.0
0.59,0.05,0.26,-60.0,0.0,30.0,0.0,-62.07153462197233,-16.120272720205058,1.0
0.6,0.05,0.26,-60.0,0.0,30.0,0.0,-62.072757885994186,-16.120281963540585,1.0
0.61,0.05,0.26,-60.0,0.0,30.0,0.0,-62.073981489124385,-16.120291360806284,1.0
0.62,0.05,0.26,-60.0,0.0,30.0,0.0,-62.075205431362946,-16.12030091200216,1.0
0.63,0.05,0.26,-60.0,0.0,30.0,0.0,-62.076429712709846,-16.12031061712821,1.0
0.64,0.05,0.26,-60.0,0.0,30.0,0.0,-62.07765433316511,-16.120320476184435,1.0
0.65,0.05,0.26,-60.0,0.0,30.0,0.0,-62.07887929272872,-16.120330489170836,1.0
0.66,0.05,0.26,-60.0,0.0,30.0,0.0,-62.08010459140068,-16.120340656087407,1.0
0.67,0.05,0.26,-60.0,0.0,30.0,0.0,-62.081330229181,-16.12035097693416,1.0
0.68,0.05,0.26,-60.0,0.0,30.0,0.0,-62.08255620606966,-16.12036145171108,1.0
0.6900000000000001,0.05,0.26,-60.0,0.0,30.0,0.0,-62.083782522066684,-16.12037208041818,1.0
0.7000000000000001,0.05,0.26,-60.0,0.0,30.0,0.0,-62.085009177172054,-16.120382863055454,1.0
0.71,0.05,0.26,-60.0,0.0,30.0,0.0,-62.08623617138578,-16.120393799622903,1.0
0.72,0.05,0.26,-60.0,0.0,30.0,0.0,-62.087463504707856,-16.120404890120525,1.0
0.73,0.05,0.26,-60.0,0.0,30.0,0.0,-62.08869117713829,-16.12041613454832,1.0
0.74,0.05,0.26,-60.0,0.0,30.0,0.0,-62.089919188677065,-16.120427532906294,1.0
0.75,0.05,0.26,-60.0,0.0,30.0,0.0,-62.0911475393242,-16.12043908519444,1.0
0.76,0.05,0.26,-60.0,0.0,30.0,0.0,-62.09237622907968,-16.12045079141276,1.0
0.77,0.05,0.26,-60.0,0.0,30.0,0.0,-62.09360525794352,-16.120462651561258,1.0
0.78,0.05,0.26,-60.0,0.0,30.0,0.0,-62.09483462591571,-16.12047466563993,1.0
0.79,0.05,0.26,-60.0,0.0,30.0,0.0,-62.096064184622534,-16.120486832416887,1.0
0.8,0.05,0.26,-60.0,0.0,30.0,0.0,-62.09729329550345,-16.120499146590415,1.0
0.81,0.05,0.26,-60.0,0.0,30.0,0.0,-62.098522678996275,-16.12051161414202,1.0
0.8200000000000001,0.05,0.26,-60.0,0.0,30.0,0.0,-62.099752335101016,-16.12052423507171,1.0
0.8300000000000001,0.05,0.26,-60.0,0.0,30.0,0.0,-62.10098226381767,-16.12053700937948,1.0
0.84,0.05,0.26,-60.0,0.0,30.0,0.0,-62.10221246514624,-16.120549937065327,1.0
0.85,0.05,0.26,-60.0,0.0,30.0,0.0,-62.103442939086726,-16.120563018129257,1.0
0.86,0.05,0.26,-60.0,0.0,30.0,0.0,-62.10467368563913,-16.12057625257127,1.0
0.87,0.05,0.26,-60.0,0.0,30.0,0.0,-62.10590470480344,-16.120589640391362,1.0
0.88,0.05,0.26,-60.0,0.0,30.0,0.0,-62.10713599657968,-16.120603181589537,1.0
0.89,0.05,0.26,-60.0,0.0,30.0,0.0,-62.10836756096782,-16.12061687616579,1.0
0.9,0.05,0.26,-60.0,0.0,30.0,0.0,-62.109599397967884,-16.120630724120126,1.0
0.91,0.05,0.26,-60.0,0.0,30.0,0.0,-62.11083150757986,-16.120644725452543,1.0
0.92,0.05,0.26,-60.0,0.0,30.0,0.0,-62.11206388980375,-16.120658880163038,1.0
0.93,0.05,0.26,-60.0,0.0,30.0,0.0,-62.11329654463956,-16.12067318825162,1.0
0.9400000000000001,0.05,0.26,-60.0,0.0,30.0,0.0,-62.11452947208728,-16.120687649718278,1.0
