T,DCAL,GSYN,SCA,SCAH,SCAM,SKDR,SNAH,SNAM,SNAPM,VD,VS,VSOMA
0.0,0.001,0.0,9.9999997e-05,0.92189997,0.0041990001,0.1239,0.58289999,0.001,0.001,-70.0,-70.0,-70.0
20.0,0.0034298224,0.00023999999,2.0685011e-05,0.9464891,0.0011780532,0.064437084,0.81517553,0.0059182895,0.0015707142,-70.706902,-70.987724,-70.987724
40.0,0.0054693758,0.00047999999,4.2230618e-06,0.96276361,0.00039536846,0.068700224,0.84566337,0.0070273285,0.0020439189,-69.842514,-70.019341,-70.019341
60.0,0.0072444342,0.00072000001,8.882792e-07,0.97344464,0.00020146128,0.07067243,0.84308791,0.0075523076,0.0024296916,-69.424706,-69.611244,-69.611244
80.0,0.008685695,0.00095999998,1.8942661e-07,0.98053169,0.00015428256,0.071607232,0.83870602,0.0078181773,0.0026884612,-69.194511,-69.414627,-69.414627
100.0,0.0098306937,0.0012000001,4.3264773e-08,0.98524064,0.00014462452,0.072211668,0.83547497,0.0079998132,0.0028568807,-69.02858,-69.283829,-69.283829
120.0,0.010741926,0.00144,1.299072e-08,0.98836422,0.00014439941,0.072696954,0.83301294,0.0081501128,0.0029726354,-68.889931,-69.177689,-69.177689
140.0,0.01147522,0.00168,6.962749e-09,0.99042797,0.00014641903,0.073123232,0.83095145,0.0082844654,0.003059237,-68.766907,-69.084358,-69.084358
160.0,0.012074525,0.00192,5.9205516e-09,0.9917829,0.00014886966,0.073511951,0.829117,0.0084085725,0.0031295416,-68.654549,-68.999413,-68.999413
180.0,0.012573294,0.0021599999,5.8682161e-09,0.99266368,0.00015131802,0.073873967,0.82742906,0.0085254386,0.0031903912,-68.549988,-68.920502,-68.920502
200.0,0.012996784,0.0024000001,6.0041461e-09,0.99322748,0.00015368125,0.074216329,0.82584375,0.0086370679,0.0032455006,-68.451241,-68.846077,-68.846077
220.0,0.013364024,0.0026400001,6.17203e-09,0.99357933,0.00015596129,0.074544087,0.82433289,0.0087449336,0.0032969802,-68.35688,-68.775032,-68.775032
240.0,0.013689359,0.00288,6.3427801e-09,0.99378955,0.0001581769,0.074861042,0.82287645,0.0088501517,0.0033461007,-68.265808,-68.70652,-68.70652
260.0,0.013983617,0.00312,6.5120598e-09,0.99390519,0.00016034715,0.075170033,0.82145959,0.008953576,0.0033936754,-68.177238,-68.639923,-68.639923
280.0,0.014254976,0.00336,6.6801427e-09,0.99395746,0.00016248789,0.075473219,0.82007122,0.0090558575,0.0034402534,-68.090546,-68.574783,-68.574783
300.0,0.014509621,0.0035999999,6.84798e-09,0.99396747,0.00016461175,0.075772241,0.8187027,0.0091574993,0.0034862219,-68.00528,-68.510735,-68.510735
320.0,0.014752236,0.0038399999,7.0164705e-09,0.99394906,0.00016672848,0.076068334,0.81734771,0.0092588868,0.0035318625,-67.921089,-68.447517,-68.447517
