value_component_environment_variable_time,value_component_c_variable_c,value_component_c_variable_f,value_component_a_variable_a,value_component_r_variable_r,value_component_o_variable_o,value_component_reaction_constants_variable_ki1,value_component_reaction_constants_variable_ki2,value_component_reaction_constants_variable_kcd,value_component_reaction_constants_variable_kad,value_component_reaction_constants_variable_k,value_component_reaction_constants_variable_kcr,value_component_reaction_constants_variable_krd
0.0,0.6,1.0,0.055,0.08,0.055,0.1,0.1,1.0,10.0,0.001,0.05,0.9
0.1,0.6656489412269554,1.0,0.058910233266057176,0.07970926933841886,0.055170722592129566,0.1,0.1,1.0,10.0,0.001,0.05,0.9
0.2,0.7247480252716079,1.0,0.06408388840158212,0.0794560508097656,0.055773347866372835,0.1,0.1,1.0,10.0,0.001,0.05,0.9
0.30000000000000004,0.777572055630155,1.0,0.0693175786122802,0.07926842624438737,0.056819281865283996,0.1,0.1,1.0,10.0,0.001,0.05,0.9
0.4,0.8244056188107158,1.0,0.07418337995080154,0.07917212906955413,0.05824775859865239,0.1,0.1,1.0,10.0,0.001,0.05,0.9
0.5,0.8655757681884954,1.0,0.0785420394014749,0.07918872335000637,0.059979314705684336,0.1,0.1,1.0,10.0,0.001,0.05,0.9
0.6000000000000001,0.9014520709757057,1.0,0.08236497799682108,0.07933577463616051,0.061934959301693564,0.1,0.1,1.0,10.0,0.001,0.05,0.9
0.7000000000000001,0.9324355609248515,1.0,0.08566731668156058,0.07962752725028611,0.06404289140197751,0.1,0.1,1.0,10.0,0.001,0.05,0.9
0.8,0.9589446691220473,1.0,0.08848135150166969,0.08007566136354839,0.06624057482747561,0.1,0.1,1.0,10.0,0.001,0.05,0.9
0.9,0.9814023747202106,1.0,0.09084672913613494,0.08068996023017093,0.06847487790767841,0.1,0.1,1.0,10.0,0.001,0.05,0.9
1.0,1.000224059853598,0.0,0.09280529017885376,0.08147890017502968,0.0707016382670313,0.1,0.1,1.0,10.0,0.001,0.05,0.9
