V_bert_1_task1,V_exp_2_task1,V_gomp_3_task1,V_lin_4_task1,V_log_5_task1,V_mend_6_task1,V_surf_7_task1,_1_task1
220.0,220.0,220.0,220.0,220.0,220.0,220.0,0.0
221.0268891229433,220.65053524349204,220.85151555879622,220.77244190800585,220.75546855686895,220.87084537257093,220.78909901645713,0.12
222.05676998743144,221.30287452721566,221.70594272900496,221.54730262120438,221.51328958223579,221.74422618174341,221.58064128275734,0.24
223.08982720582057,221.95713218829817,222.56346673536012,222.32473552051547,222.27361250500914,222.62030099045532,222.3747811109983,0.36
224.12608342121632,222.61332559318453,223.42411650129444,223.10476400827844,223.03646040129743,223.499091583905,223.17154137087994,0.48
225.16554073590592,223.27145693629757,224.28789579171305,223.88739105594993,223.80183624005988,224.3806003913172,223.97092487158054,0.6
226.20820846089524,223.9315362779375,225.1548218859218,224.6726302779759,224.56975364488193,225.26483840241863,224.77294443972224,0.72
227.25408632241948,224.5935633524218,226.0248943309681,225.46048131499694,225.3402122576834,226.15180531490955,225.57759973318505,0.84
228.30318919818177,225.25755502632714,226.89814213476376,226.2509669710975,226.11323494567628,227.04151922136762,226.38491213501274,0.96
229.35551493238623,225.9235088772232,227.7745611330224,227.04408397101193,226.88881842562517,227.93397751493148,227.19487857155178,1.08
230.41106562889308,226.59142726918122,228.6541553897079,227.83983551110094,227.66696590166856,228.82918273966018,228.0075020424078,1.2
231.46984916078304,227.26131948618675,229.53694084967918,228.6382341149452,228.4476899579906,229.72714470100368,228.8227942420191,1.3199999999999998
232.53187265817888,227.93319392108143,230.42293192777817,229.4392911049696,229.23100197081698,230.62787226929305,229.6407657451069,1.44
233.59713749010973,228.6070520565406,231.312131174688,230.24300848951822,230.01690394954085,231.53136706369696,230.46141844380782,1.56
234.66564826236043,229.2828992985608,232.20454786449787,231.04939355682902,230.8054032176808,232.4376348008707,231.2847591454147,1.68
235.73741332547047,229.960745855456,233.10019942096596,231.85846000535918,231.59651357808752,233.34668608941385,232.11080058158294,1.7999999999999998
236.8124358024287,230.64059523166776,233.9990918911886,232.67021258511704,232.39023978868352,234.2585247089374,232.93954721375846,1.92
237.8907206229226,231.3224532485692,234.9012352541607,233.48465913879252,233.18658973341724,235.17315679922535,233.77100636166196,2.04
238.9722734959145,232.00632714873032,235.8066417091526,234.30180929051792,233.98557315027682,236.09058974100947,234.6051869147456,2.16
240.05709946732088,232.69222296549614,236.71532156631383,235.12167114868578,234.7871981997412,237.0108298591614,235.44209642685578,2.28
241.1452033268834,233.38014626501453,237.6272844059119,235.9442522360663,235.59147243280174,237.93388307061,236.28174193581353,2.4
242.23659009098205,234.07010302676355,238.54254045394228,236.76956059353088,236.39840393966463,238.8597556531919,237.12413093596857,2.52
243.33126477599689,234.7620992302212,239.46109993640053,237.59760426195095,237.20800081053608,239.78845388474386,237.96927092167064,2.6399999999999997
244.429232137004,235.45614158827573,240.38297373742344,238.42839191866133,238.02027192839805,240.7199842413489,238.8171697697716,2.76
245.53049699820806,236.15223661978996,241.30817256703506,239.26193207261903,238.8352259665019,241.65435314664361,239.66783525593138,2.88
246.6350645896713,236.8503897044934,242.2367061130337,240.09823224422536,239.65287036675878,242.591566716348,240.52127456170746,3.0
247.74293991204598,237.55060686600743,243.16858464102788,240.93730051265993,240.4732132670914,243.531631240231,241.37749520447204,3.12
248.85412796598453,238.25289412795343,244.10381841662613,241.77914495710237,241.29626280542251,244.47455300806158,242.23650470159737,3.2399999999999998
249.9686337521393,238.95725751395275,245.04241770543697,242.62377365673228,242.12202711967478,245.42033830960867,243.0983105704557,3.36
251.08646227116267,239.66370304762685,245.98439277306892,243.47119469072928,242.95051434777093,246.36899343464125,243.96292032841927,3.48
252.207618523707,240.3722367525971,246.92975388513048,244.32141613827295,243.7817326276337,247.32052467292826,244.83034149286027,3.5999999999999996
253.33210751042463,241.08286465248491,247.87851130723016,245.17444607854296,244.61569009718576,248.2749383142387,245.700581581151,3.7199999999999998
254.45993338437896,241.79559619293988,248.83067825488789,246.03029553265992,245.45239854750614,249.23224173586988,246.57364993376385,3.84
255.5911006002958,242.51043960168943,249.78626689373064,246.88897447468833,246.29186846949153,250.1924419280607,247.449555242318,3.96
256.7256150649673,243.22739724393566,250.74528433567812,247.75048783863986,247.13410409555127,251.15554401792613,248.32830307514718,4.08
257.8634817590101,243.94647522419152,251.7077409160703,248.61484377323717,247.9791136499631,252.12155432094264,249.20990099271887,4.2
259.00470566304085,244.66767964697002,252.67364697024706,249.4820504272029,248.82690535700488,253.09047915258668,250.09435655550067,4.32
260.1492917576762,245.39101661678407,253.64301283354843,250.35211594925968,249.6774874409544,254.06232482833477,250.98167732396018,4.4399999999999995
261.2972450235328,246.11649223814672,254.61584884131435,251.22504848813017,250.53086812608944,255.0370976636634,251.87187085856493,4.56
262.4485704412273,246.84411261557085,255.59216532888476,252.10085619253707,251.38705563668782,256.014803974049,252.76494471978248,4.68
263.60327299137623,247.57388385356947,256.57197263159964,252.97954721120294,252.2460581970273,256.9954500749681,253.6609064680804,4.8
264.7613576545964,248.30581205665553,257.555281084799,253.8611296928505,253.10788403138577,257.9790422818972,254.5597636639263,4.92
265.9228294115043,249.039903329342,258.5421010238227,254.74561178620237,253.97254136404095,258.96558691031277,255.4615238677877,5.04
267.08769324271674,249.77616377614183,259.53244278401075,255.63300163998122,254.84003841927068,259.95509027569125,256.36619464013216,5.16
268.25595412885025,250.514599501568,260.5263167007031,256.52330740290967,255.71038342135276,260.9475586935091,257.27378354142724,5.279999999999999
269.42761705052146,251.2552166101335,261.52373310923974,257.41653722371035,256.58358459456497,261.94299847924293,258.18429813214055,5.3999999999999995
270.60268698834705,251.99802120635124,262.5247023449606,258.312699251106,257.45965016318513,262.9414159483692,259.0977459727397,5.52
271.7811685564202,252.74302203046085,263.5292370767111,259.21180395493235,258.3385911843726,263.94281841940443,260.01413614764283,5.64
272.96306448429453,253.4902416341385,264.53736220884707,260.11387397481,259.2204335622431,264.94721848772326,260.93348574199183,5.76
274.1483818592102,254.23967127021461,265.5490749368388,261.01890438851717,260.1051695612354,265.9546168408027,261.85579374645704,5.88
275.33712564711686,254.99131729933103,266.56438582728043,261.92690357436885,260.9928076823149,266.96501990369336,262.7810678783601,6.0
276.5293008164126,255.7451860776071,267.58330544315254,262.8378799070479,261.88335642170796,267.97843410077587,263.70931585316873,6.12
277.7249123379437,256.5012839566397,268.605844343822,263.7518417576053,262.77682427090184,268.99486585576085,264.64054538449716,6.24
278.9239651850047,257.25961728350353,269.6320130850423,264.6687974934597,263.67321971664467,270.01432159168917,265.57476418410556,6.359999999999999
280.12646433333856,258.02019240075066,270.66182221895303,265.5887554783979,264.57255124094564,271.03680773093146,266.51197996190035,6.4799999999999995
281.3324147611365,258.7830156464108,271.6952822940805,266.5117240725745,265.47482732107466,272.0623306951887,267.4522004259343,6.6
282.54182144903797,259.54809335399125,272.73240385533734,267.4377116325122,266.38005642956256,273.09089690549166,268.3954332824062,6.72
283.7546893801309,260.31543185247693,273.7731974440225,268.3667265111015,267.2882470342011,274.1225127822013,269.34168623566114,6.84
284.9710235399514,261.0850374663304,274.81767359782145,269.2987770576009,268.1994075980431,275.1571847450085,270.2909669881904,6.96
286.19082891648384,261.8569165154916,275.8658428508061,270.2338716176368,269.113546579402,276.19491921293445,271.24328324063146,7.08
287.414110500161,262.6310753153783,276.91771573343453,271.1720185332036,270.0306724318524,277.2357226043301,272.19864269176804,7.199999999999999
288.64087328386387,263.4075201768857,277.9733027725516,272.11322614266356,270.9507936042296,278.27960133687645,273.15705303853,7.319999999999999
289.8711222629219,264.18625740638674,279.03261449138836,273.057502780747,271.87391854063,279.32656182758484,274.1185219759935,7.4399999999999995
291.1048624351127,264.9672933057318,280.0956614095623,274.00485677855204,272.8000556804107,280.3766104927963,275.0830571973807,7.56
292.3420985801269,265.75063617265954,281.16245570856074,274.95529818554087,273.7292155711571,281.4297545263249,276.05066753089915,7.68
293.5828334906356,266.53631234626215,282.2330245907256,275.9088525818172,274.66142781697494,282.4860081410068,277.02137205842325,7.8
294.8270740426173,267.3243111448405,283.30736443612295,276.8655136794614,275.59668291817536,283.5453711499944,277.99516882352634,7.92
296.0748251920955,268.1146393197269,284.38548613920227,277.825290197539,276.5349897890395,284.6078501488306,278.9720657777376,8.04
297.3260918956716,268.907303634697,285.4674006049248,278.7881908660878,277.4763573570297,285.6734517389877,279.9520708803744,8.16
298.5808791105248,269.70231086596954,286.5531187487631,279.75422442611796,278.42079456278947,286.74218252786744,280.9351920985415,8.28
299.8391917944124,270.4996678022069,287.6426514967015,280.7233996296122,279.3683103601434,287.81404912880123,281.92143740713203,8.4
301.1010349056694,271.2993812445144,288.73600978523564,281.69572523952525,280.3189137160975,288.88905816105006,282.9108147888266,8.52
302.36641340320904,272.1014580064408,289.8332045613729,282.67121002978456,281.27261361083885,289.9672162498044,283.9033322340938,8.64
303.6353322465221,272.90590491397813,290.9342467826322,283.6498627852897,282.2294190377357,291.04853002618427,284.89899774119,8.76
304.9077963956776,273.7127288055617,292.0391474170439,284.63169230191284,283.1893390033376,292.1330061272393,285.8978193161596,8.879999999999999
306.1838108113224,274.52193653207,293.14791744315016,285.6167073864982,284.1523825273752,293.2206511959487,286.89980497283466,9.0
307.4633804546812,275.33353495682496,294.2605678500043,286.6049168568627,285.11855864276043,294.31147188122105,287.90496273283526,9.12
308.74651028755665,276.1475309555916,295.3771096371715,287.59632954179546,286.08787639558636,295.40547483789476,288.91330062556915,9.24
310.03320527232927,276.9639314165784,296.4975538147284,288.59095428105786,287.0603448451273,296.5026667267375,289.92482668823203,9.36
311.32347037195774,277.78274324043707,297.62191140326325,289.58879992538385,288.0359730638387,297.60305421444684,290.9395489658075,9.48
312.61731054997836,278.6039733402625,298.75019343387567,290.5898753364797,289.0147701373573,298.70664397364953,291.95747551106695,9.6
313.9147307215088,279.4276292058662,299.8824113069533,291.59418982720206,289.9967457221643,299.81344289521417,292.97861467031424,9.719999999999999
315.21573487334337,280.25372903723974,301.01858323523106,292.60176106646844,290.98192006034566,300.9234619010419,294.00298021491085,9.84
316.5203287701421,281.0822705785957,302.1587144278487,293.612590767322,291.97029317871096,302.0367042176424,295.03057555902103,9.959999999999999
317.8285173567527,281.9132610346553,303.3028161117274,294.6266880240232,292.9618744546419,303.15317663235993,296.06140890904067,10.08
319.14030557782604,282.7467076315029,304.4508995299711,295.64406194876307,293.95667328751637,304.2728859418243,297.0954884836703,10.2
320.4556983778167,283.58261761658565,305.60297594186665,296.66472167166296,294.95469909870894,305.39583895195113,298.1328225139152,10.32
321.7747007009825,284.4209982587138,306.7590566228838,297.68867634077463,295.9559613315905,306.52204247794157,299.1734192430854,10.44
323.09731749138473,285.2618568480606,307.919152864675,298.71593512208045,296.96046945152824,307.65150334428245,300.2172869267957,10.559999999999999
324.4235536928881,286.1052006961622,309.08327597507594,299.7465071994932,297.9682329458859,308.7842283847463,301.26443383296566,10.68
325.75341424916064,286.95103713591783,310.25143727810485,300.7804017748559,298.97926132402364,309.9202244423914,302.31486824181945,10.799999999999999
327.08690410367393,287.7993735215896,311.42364811396294,301.8176280679423,299.99356411729786,311.05949836956137,303.36859844588616,10.92
328.4240281997028,288.6502172288026,312.5999198390343,302.8581953164563,301.01115087906163,312.20205702788576,304.42563274999935,11.04
329.76479148032564,289.503575654545,313.78026382588604,303.90211277603254,302.03203118466416,313.3479072882798,305.48597947129764,11.16
331.1091988884242,290.3594562171678,314.9646914632679,304.94938972023596,303.0562146314514,314.4970560309443,306.54964693922415,11.28
332.4572553666836,291.2178663563851,316.15321415611265,306.0000354405619,304.08371083876534,315.64951014536564,307.6166434955268,11.4
333.80896585759245,292.07881353327406,317.3458433255359,307.0540592464361,305.1145294479447,316.8052765303159,308.68697749425826,11.52
335.1643353034426,292.94230523027454,318.54259040883613,308.11147046521506,306.1486801223244,317.96436209385297,309.7606573017759,11.639999999999999
336.5233686465066,293.8083489690577,319.743466841878,309.172278444041,307.1861725546701,319.12677375707455,310.8376912963765,11.76
337.8860708517357,294.6769546025212,320.9484817993483,310.23649278787843,308.22701742078175,320.29251893570097,311.91808782142436,11.879999999999999
339.25244684257564,295.5481278337409,322.15764858460767,311.3041226864225,309.2712236829996,321.4616041783099,313.00185531789015,12.0
340.6225015609921,296.4218762770667,323.3709786538816,312.3751775435763,310.3188011119735,322.6340364398633,314.08900220040005,12.12
341.99623994877106,297.29820756992774,324.58848347788677,313.4496667813514,311.36975950106387,323.80982268496933,315.17953689584994,12.24
343.3736669475192,298.17712937283204,325.8101745418308,314.5275998398681,312.42410866634134,324.98896988788243,316.2734678434054,12.36
344.75478749866346,299.05864936936683,327.0360633454122,315.60898617735546,313.4818584465871,326.17148503250326,317.3708034945017,12.48
346.13960654345107,299.94277526619834,328.2661614028203,316.69383527015106,314.54301870329266,327.3573751123785,318.4715523128435,12.6
347.5281290229498,300.8295147930719,329.50048024273553,317.7821566127012,315.60759932066,328.5466471307015,319.57572277440545,12.719999999999999
348.9203598780479,301.7188757028119,330.7390314083293,318.8739597175609,316.6756102056014,329.7393081003115,320.68332336743157,12.84
350.31630404945383,302.61086577132176,331.9818264572637,319.9692541153939,317.7470612877397,330.93536504369405,321.7943625924357,12.959999999999999
351.71596647769655,303.50549279758405,333.22887696169204,321.06804935497235,318.8219625194081,332.134824992981,322.90884896220115,13.08
353.11935210312544,304.4027646036603,334.4801945082583,322.1703550031773,319.90032387565003,333.3376949899503,324.02679100178096,13.2
354.5264658659103,305.3026890346912,335.73579069809773,323.2761806449985,320.98215535421957,334.54398208602635,325.1481972484979,13.32
355.9373127060413,306.20527395889644,336.99567714683616,324.38553588353415,322.0674669755811,335.7536933422796,326.2730762519443,13.44
357.35189756332903,307.1105272675748,338.2598654845906,325.4984303399914,323.1562687829095,336.96683582942677,327.40143657398204,13.559999999999999
358.7702253774044,308.0184568751042,339.5283673559689,326.6148736536858,324.24857084208975,338.18341662783087,328.53328678874277,13.68
360.19230108771893,308.92907071894155,340.80119442006986,327.7348754820417,325.34438324171765,339.40344282750107,329.6686354826278,13.799999999999999
361.6181298670124,309.8423761583942,342.0783529537199,328.85844298173504,326.44371372796985,340.62692081653523,330.8074894110045,13.92
363.04771647973087,310.758381626827,343.3598586820548,329.9855877306415,327.5465742041006,341.85385823651654,331.9498585636987,14.04
364.48106586215374,311.6770951377155,344.64572336851836,331.1163194689226,328.6529748535138,343.0842622144188,333.09575158471193,14.16
365.91818295795855,312.5985247080995,345.93595861587403,332.25064787309,329.76292580555514,344.31813986376596,334.2451770704844,14.28
367.35907271081993,313.5226783776433,347.2305760372984,333.3885826358607,330.87643721049375,345.5554983071905,335.3981436283329,14.399999999999999
368.8037400644092,314.44956420863616,348.5295872563812,334.5301334661572,331.9935192395219,346.7963446764336,336.5546598764514,14.52
370.2521899623944,315.379190285992,349.83300390712526,335.6753100891074,333.11418208475516,348.0406861123448,337.71473444391046,14.639999999999999
371.70442734844056,316.3115647172497,351.14083763394655,336.82412224604474,334.23843595923256,349.2885297648824,338.87837597065766,14.76
373.16045716620937,317.24669563257277,352.4531000916743,337.9765796945078,335.3662910969163,350.5398827931133,340.0455931075173,14.879999999999999
374.62028435935946,318.18459118474954,353.7698029455507,339.1326922082408,336.497757752692,351.79475236521284,341.21639451619046,15.0
376.08391387154614,319.12525954919306,355.0909578712312,340.29246957719334,337.6328462023685,353.053145658465,342.3907888692553,15.12
