x,Curve1
1740.1235,-60.1826
1740.1379,-58.3349
1740.1523,-56.4313
1740.1945,-54.509
1740.223,-52.1575
1740.2232,-51.2804
1740.2235,-50.1419
1740.2519,-47.9024
1740.2942,-45.8868
1740.2946,-44.0765
1740.3229,-42.3595
1740.3234,-40.4746
1740.3794,-39.0188
1740.3937,-37.6378
1740.6319,-37.0261
1741.3222,-37.0279
1742.2876,-37.2879
1743.3875,-37.692
1743.9717,-38.0393
1744.6404,-38.8297
1744.8909,-39.2402
1745.0239,-39.8257
1745.2944,-40.621
1745.6282,-42.0765
1745.9062,-44.0732
1746.2121,-45.902
1746.4064,-48.3467
1746.6287,-50.4741
1746.9066,-52.9934
1747.254,-55.4567
1747.5459,-57.5841
1747.9633,-59.0209
1748.6175,-59.879
1749.1187,-60.3079
1750.0516,-60.4007
1750.1077,-58.9263
1750.1498,-57.8252
1750.1632,-59.6728
1750.1779,-56.724
1750.2208,-52.2636
1750.2343,-53.738
1750.235,-50.9759
1750.2353,-49.7628
1750.2504,-45.1344
1750.2917,-47.15
1750.3624,-42.7082
1750.3773,-38.957
1750.4048,-40.2634
1750.4472,-37.7065
1750.7088,-37.0008
1751.5335,-37.0527
1752.3929,-37.2819
1753.3714,-37.7421
1754.0067,-38.1275
1754.68,-38.8238
1755.0589,-39.9139
1755.4592,-41.1935
1755.779,-42.873
1756.0569,-45.4669
1756.307,-47.5197
1756.5154,-49.5352
1756.8072,-52.0545
1757.0572,-54.2752
1757.3492,-56.2533
1757.5438,-57.5782
1758.1004,-59.1082
1758.6432,-59.9477
1759.4925,-60.3578
1760.133,-60.3761
