Time,G1,T1,G2,T2,V_in,k1,kp,km,epsilon,Tsum,Tdiff,compartment
0.0,6.6,7.6,10.3,0.41,0.36,0.02,6.0,13.0,0.01,8.01,-7.1899999999999995,1.0
0.01,6.5935748077573875,7.597198234492186,10.302754687898574,0.4105737431966591,0.36,0.02,6.0,13.0,0.01,8.007771977688845,-7.186624491295527,1.0
0.02,6.5871630008437485,7.594375179361588,10.30550797535427,0.41114747613949537,0.36,0.02,6.0,13.0,0.01,8.005522655501084,-7.183227703222093,1.0
0.03,6.58076465480116,7.591530761406928,10.308259853974667,0.41172119779393673,0.36,0.02,6.0,13.0,0.01,8.003251959200865,-7.1798095636129915,1.0
0.04,6.574379770860248,7.588665017418462,10.31101032321971,0.41229490735488317,0.36,0.02,6.0,13.0,0.01,8.000959924773346,-7.176370110063579,1.0
0.05,6.5680083491279095,7.58577798129041,10.313759382709216,0.4128686041172723,0.36,0.02,6.0,13.0,0.01,7.998646585407682,-7.172909377173138,1.0
0.06,6.561650389856269,7.582869696428993,10.316507031935956,0.4134422871766598,0.36,0.02,6.0,13.0,0.01,7.996311983605653,-7.169427409252333,1.0
0.07,6.555305893163292,7.579940207077252,10.319253270390618,0.41401595561892973,0.36,0.02,6.0,13.0,0.01,7.993956162696182,-7.165924251458322,1.0
0.08,6.548974859037778,7.576989557607013,10.321998097568137,0.4145896085351977,0.36,0.02,6.0,13.0,0.01,7.991579166142211,-7.1623999490718155,1.0
0.09,6.542657287321637,7.574017791679272,10.324741512979045,0.41516324503967816,0.36,0.02,6.0,13.0,0.01,7.98918103671895,-7.158854546639594,1.0
0.1,6.536353177730969,7.571024952704792,10.32748351614217,0.41573686425939776,0.36,0.02,6.0,13.0,0.01,7.98676181696419,-7.155288088445394,1.0
0.11,6.530062529863022,7.568011084014167,10.330224106582184,0.4163104653303469,0.36,0.02,6.0,13.0,0.01,7.984321549344513,-7.15170061868382,1.0
0.12,6.5237853432030155,7.564976229055274,10.332963283826771,0.4168840473931413,0.36,0.02,6.0,13.0,0.01,7.9818602764484154,-7.148092181662133,1.0
0.13,6.517521617125811,7.56192043144247,10.335701047405971,0.4174576095919338,0.36,0.02,6.0,13.0,0.01,7.979378041034404,-7.144462821850536,1.0
0.14,6.51127135089682,7.558843734978345,10.338437396851871,0.41803115107393957,0.36,0.02,6.0,13.0,0.01,7.9768748860522845,-7.140812583904406,1.0
