Time,C1,M1,X1,C2,M2,X2,V1,Kc1,V_M1,V3,V_M3,U1,Kc2,U_M1,U3,U_M3,vi1,Kim1,vd1,K_d1,kd1,K1,V2,K2,K3,V4,K4,vi2,Kim2,vd2,K_d2,kd2,H1,U2,H2,H3,U4,H4,compartment,R1,R2,R3,R8,R9,R10
0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.24,0.5,0.3,0.1,0.1,0.0,0.5,0.3,0.0,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.05,0.0,0.002,0.0014563106796116505,0.0,0.0
0.01,2.000479876813758,0.998666853268285,0.0009665279516082305,1.4572797905172949e-05,4.119065342251491e-08,1.3589461989028173e-11,0.24001151483324956,0.5,0.3,0.0998666853268285,0.1,8.743423910804465e-06,0.5,0.3,4.119065342251491e-09,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.049999931349005225,2.392401601914733e-05,0.0020004798768137578,0.0014581980504516047,2.4736536373494904e-16,1.4572797905172949e-08
0.02,2.0009595134872655,0.9975635726947507,0.0018923214242059264,2.9162606608613892e-05,1.5707978677837454e-07,1.0356058185622167e-10,0.24002301948869043,0.5,0.3,0.09975635726947507,0.1,1.749654347553956e-05,0.5,0.3,1.5707978677837455e-08,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.049999738201726145,4.683986159879694e-05,0.0020009595134872654,0.0014597636972146655,3.76962403290349e-15,2.9162606608613893e-08
0.03,2.001438917973944,0.9966200532032138,0.002784833837485047,4.376674589948665e-05,3.373442410350262e-07,3.331785027198505e-10,0.24003451416615304,0.5,0.3,0.09966200532032138,0.1,2.6257749107225852e-05,0.5,0.3,3.373442410350262e-08,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.049999437765920494,6.893202130514664e-05,0.0020014389179739437,0.0014611052991998037,1.818787238518217e-14,4.3766745899486646e-08
0.04,2.001918096809572,0.99579553358143,0.0036495078036199425,5.8383282099808655e-05,5.730869514779982e-07,7.533652207066687e-10,0.24004599903119173,0.5,0.3,0.099579553358143,0.1,3.502587940828861e-05,0.5,0.3,5.7308695147799824e-08,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.04999904487332656,9.033520853345687e-05,0.0020019180968095717,0.0014622797145186894,5.48198895022032e-14,5.8383282099808656e-08
0.05,2.002397055495024,0.9950638631742804,0.004490461002502842,7.301073813575556e-05,8.566417929941699e-07,1.4045801871926083e-09,0.2400574742243185,0.5,0.3,0.09950638631742804,0.1,4.3800047133910084e-05,0.5,0.3,8.5664179299417e-08,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.0499985723044458,0.00011115134222525385,0.002002397055495024,0.0014633234609939337,1.2772054672765315e-13,7.301073813575555e-08
0.06,2.0028757987504133,0.9944070752298926,0.005310898098648244,8.764793996466938e-05,1.1814040917264385e-06,2.318435991068767e-09,0.2400689398671364,0.5,0.3,0.09944070752298927,0.1,5.257954700084383e-05,0.5,0.3,1.1814040917264386e-07,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.04999803107071717,0.00013145974258507327,0.0020028757987504133,0.0014642616556151539,2.5289936776625107e-13,8.764793996466938e-08
0.07,2.00335433068989,0.9938122121169027,0.006113370561847089,0.00010229392729835157,1.5416842483490701e-06,3.5190809811509962e-09,0.24008039606656,0.5,0.3,0.09938122121169028,0.1,6.136380209039137e-05,0.5,0.3,1.5416842483490702e-07,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.049997430658289876,0.0001513235621218725,0.00200335433068989,0.001465112431994242,4.4768598964970376e-13,1.0229392729835157e-07
0.08,2.0038326549466063,0.9932695229113495,0.0068999494936194455,0.00011694789733273321,1.9325811262323846e-06,5.024384921639305e-09,0.24009184291783323,0.5,0.3,0.09932695229113496,0.1,7.015233006465183e-05,0.5,0.3,1.9325811262323848e-07,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.04999677923893568,0.00017079406341975593,0.0020038326549466066,0.0014658894518154743,7.30219185055793e-13,1.1694789733273322e-07
0.09,2.004310774764066,0.9927715902888234,0.0076723417140061095,0.00013160916635024064,2.3498730037985307e-06,6.846951301693763e-09,0.24010328050673677,0.5,0.3,0.09927715902888234,0.1,7.894472011254084e-05,0.5,0.3,2.3498730037985308e-07,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.04999608385174204,0.00018991349249285267,0.0020043107747640663,0.0014666031147544981,1.1190381571221165e-12,1.3160916635024065e-07
0.1,2.0047886930645773,0.9923124483605948,0.00843197517324662,0.00014627714427041408,2.789923398862928e-06,8.994983661653057e-09,0.24011470891124276,0.5,0.3,0.0992312448360595,0.1,8.774061766827037e-05,0.5,0.3,2.789923398862928e-07,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.04999535056005461,0.00020871719287829556,0.0020047886930645775,0.0014672617969246455,1.6327588881103064e-12,1.4627714427041408e-07
0.11,2.0052664125017285,0.9918873112005666,0.009180057782465086,0.00016095131594801704,3.2495997495806813e-06,1.1473026506001703e-08,0.24012612820278387,0.5,0.3,0.09918873112005666,0.1,9.653971318105474e-05,0.5,0.3,3.2495997495806814e-07,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.04999458458701486,0.00022723506179692083,0.0020052664125017284,0.0014678722238342715,2.2898209081368224e-12,1.6095131594801704e-07
0.12,2.0057439355009143,0.9914922588980183,0.009917621842116461,0.0001756312272567134,3.726204055456166e-06,1.4282590680573145e-08,0.240137538447234,0.5,0.3,0.09914922588980184,0.1,0.00010534173375806548,0.5,0.3,3.7262040554561664e-07,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.04999379043117826,0.0002454926498335742,0.0020057439355009145,0.0014684399092932863,3.108290518124518e-12,1.7563122725671342e-07
0.13,2.00622126429216,0.9911240274397803,0.010645558171218743,0.00019031647434268338,4.217411782108444e-06,1.742269802440185e-08,0.24014893970570275,0.5,0.3,0.09911240274397803,0.1,0.00011414643671082286,0.5,0.3,4.2174117821084445e-07,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.0499929719683666,0.00026351200569424454,0.00200622126429216,0.0014689694490500674,4.1057138279073776e-12,1.9031647434268337e-07
0.14,2.0066984009356426,0.9907798682036667,0.011364641382554526,0.00020500669562310218,4.7212207599279155e-06,2.08903310146212e-08,0.24016033203515372,0.5,0.3,0.09907798682036667,0.1,0.00012295360474941206,0.5,0.3,4.7212207599279157e-07,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.0499921325368678,0.0002813123018088297,0.0020066984009356427,0.001469464716853839,5.299005583487419e-12,2.050066956231022e-07
0.15,2.007175347343202,0.9904574400131264,0.012075550262192933,0.00021970156524077282,5.23590582479732e-06,2.468082664982957e-08,0.24017171548892594,0.5,0.3,0.09904574400131265,0.1,0.00013176304205130457,0.5,0.3,5.23590582479732e-07,0.1,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,0.05,0.03,0.025,0.02,0.001,0.01,0.15,0.01,0.01,0.05,0.01,1.0,0.049991275013065675,0.0002989103387583513,0.002007175347343202,0.0014699290153450254,6.704372254095589e-12,2.1970156524077282e-07
