value_component_environment_variable_time,value_component_GnRH_variable_GnRH,value_component_F_variable_F,value_component_B_variable_B,value_component_R_variable_R,value_component_C_variable_C,value_component_model_parameters_variable_kfb,value_component_model_parameters_variable_kbf,value_component_model_parameters_variable_a1,value_component_model_parameters_variable_a2,value_component_model_parameters_variable_s
0.0,0.5,1.0,0.0,2115.0,0.0,19.35,9.91,0.0328,0.083,6.8
0.1,0.0,0.7411810205457785,0.258818979454222,2104.422962005963,11.257037994036796,19.35,9.91,0.0328,0.083,6.8
0.2,0.0,0.9039253520069944,0.09607464799300613,2095.3531776097307,21.006822390268688,19.35,9.91,0.0328,0.083,6.8
0.30000000000000004,0.0,0.9643360513222717,0.03566394867772875,2088.1139899339405,28.926010066058566,19.35,9.91,0.0328,0.083,6.8
0.4,0.5,0.9867609477051167,0.013239052294883669,2081.5641606456843,36.15583935431352,19.35,9.91,0.0328,0.083,6.8
0.5,0.0,0.7385983022669996,0.26140169773300015,2071.0628262277382,47.3371737722604,19.35,9.91,0.0328,0.083,6.8
0.6000000000000001,0.0,0.9029666050828051,0.0970333949171947,2062.1195330943124,56.960466905685394,19.35,9.91,0.0328,0.083,6.8
0.7000000000000001,0.0,0.9639803686861043,0.03601963131389571,2054.9955509141446,64.76444908585336,19.35,9.91,0.0328,0.083,6.8
0.8,0.0,0.9866290939698974,0.013370906030102681,2048.5565377417456,71.88346225825208,19.35,9.91,0.0328,0.083,6.8
0.9,0.0,0.9950361267106168,0.004963873289383435,2042.3833801939904,78.73661980600725,19.35,9.91,0.0328,0.083,6.8
1.0,0.0,0.9981571906997475,0.001842809300252801,2036.3210030733976,85.47899692660002,19.35,9.91,0.0328,0.083,6.8
