Time,Y3_1,Y4_1,Y11_1,Y2_1,Y1_1,Y5_1,Y6_1,Y7_1,Y8_1,Y10_1,Y9_1,k1p_1,k1pp_1,k1_1,k2_1,kminus2_1,k3_1,k3p_1,k4_1,kminus4_1,kminus1_1,k5_1,k6_1,kminus6_1,k7_1,k8_1,k9_1,K10_1,k17_1,k18_1,k19_1,k20_1,k21_1,k22_1,k23_1,k24_1,k25_1,k25p_1,k26_1,k26p_1,k27_1,k28_1,k29_1,cell_1,_1,pRBE2Fcomplexformation_1,cycECDK2activation_1,cycECDK2deactivation_1,cycECDK2synthesis_1,E2Fsynthesis_1,E2Fdegradation_1,cycECDK2degradation_1,cycDCDK4synthesis_1,cycDCDK4degradation_1,p27synthesis_1,p27degradationviacycECDK2_1,cycECDK2p27complexformation_1,cycECDK2p27deassociation_1,cycDCDK4p16complexformation_1,E2Fautostimulation_1,cycDCDK4p27complexformation_1,cycDCDK4p27complexdeassociation_1,acycECDK2degradation_1,p27degradation_1,_20,p16degradation_1,p16synthesisinhibitedbypRB_1,pRBpdephosphorilation_1,pRBsynthesis_1,pRBdegradation_1,pRBpdephosphorylation_1
0.0,1.95,0.0,0.01,0.01,0.0,0.05,0.0,15.0,1.0,5.0,0.0,0.5,0.5,0.1,0.1,1.0,1.42,0.0,1e-06,0.016,0.001,0.02,0.018,5.0,1e-05,2.0,2.0,0.035,3.5,1e-05,0.05,0.01,0.1,0.001,0.2,0.1,0.01,0.02,0.01,0.1,0.01,0.01,0.001,1.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0002,0.018,0.0,1e-05,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.015,0.2,0.5,0.009990009990009992,0.006666666666666667,0.01,0.0005,1e-05
0.01,1.949998876119767,1.1338183182242958e-06,0.010001023877105764,0.009999586191801075,0.00030089802165469975,0.0501617650468974,0.00016061195629325187,15.000104486618994,0.9996975213441106,4.997086762683974,6.255845592177817e-07,0.5,0.5,0.1,0.1,1.0,1.42,0.0,1e-06,0.016,0.001,0.02,0.018,5.0,1e-05,2.0,2.0,0.035,3.5,1e-05,0.05,0.01,0.1,0.001,0.2,0.1,0.01,0.02,0.01,0.1,0.01,0.01,0.001,1.0,0.00021588159213064802,5.6874328084635476e-11,3.0088557024785964e-07,0.00030089802165469975,1.6100220118785e-06,1e-06,1.8141093091588733e-08,0.0001999917238360215,0.018,0.0008030597814662594,1e-05,0.009027003529274881,0.009027003529274881,0.034989413247043875,0.002809071582526251,1.1338183182242959e-11,0.00012045980630995307,6.255845592177817e-09,9.053961943571217e-09,0.015000104486618995,0.2,0.49970867626839743,0.009989977701714057,0.006667961690321206,0.01,0.000501617650468974,1.0001023877105764e-05
0.02,1.949995838902054,4.180633605193678e-06,0.010003961072564124,0.010001786687103236,0.000521514318926393,0.05032352694070014,0.0002879324485663893,15.000052595152239,0.9994727400114211,4.9941513991357835,2.325954149138253e-06,0.5,0.5,0.1,0.1,1.0,1.42,0.0,1e-06,0.016,0.001,0.02,0.018,5.0,1e-05,2.0,2.0,0.035,3.5,1e-05,0.05,0.01,0.1,0.001,0.2,0.1,0.01,0.02,0.01,0.1,0.01,0.01,0.001,1.0,0.00038469641393424817,2.1038422786016045e-10,5.216074972171709e-07,0.000521514318926393,5.936499719375023e-06,1e-06,6.689013768309886e-08,0.0002000357337420647,0.018,0.0014396622428319464,1e-05,0.01564548442604179,0.01564548442604179,0.034981545900399744,0.005032923843025488,4.180633605193679e-11,0.00021595009361734032,2.325954149138253e-08,2.7197718484525963e-08,0.01500005259515224,0.2,0.4994151399135784,0.009989945414256192,0.006669267058738895,0.01,0.0005032352694070015,1.0003961072564124e-05
0.03,1.949991303105163,8.725416280024135e-06,0.010008396811966217,0.010005935623972756,0.0006832688964971522,0.05048528578922911,0.00038888743335544,14.999885987488243,0.9993049254505921,4.991199147208383,4.8782887292682134e-06,0.5,0.5,0.1,0.1,1.0,1.42,0.0,1e-06,0.016,0.001,0.02,0.018,5.0,1e-05,2.0,2.0,0.035,3.5,1e-05,0.05,0.01,0.1,0.001,0.2,0.1,0.01,0.02,0.01,0.1,0.01,0.01,0.001,1.0,0.0005171567073482237,4.4050513452701084e-10,6.836744592213409e-07,0.0006832688964971522,1.2390091117634271e-05,1e-06,1.3960666048038616e-07,0.00020011871247945512,0.018,0.0019444371667772,1e-05,0.020497911092508377,0.020497911092508377,0.03497567239077073,0.006793551190033052,8.725416280024136e-11,0.00029166335811492666,4.878288729268214e-08,4.668563849204362e-08,0.014999885987488243,0.2,0.49911991472083833,0.009989913127614857,0.006670580453106829,0.01,0.0005048528578922911,1.0008396811966218e-05
0.04,1.949985589295072,1.4447387582741225e-05,0.010014010516704943,0.010011546031667939,0.0008018675653334564,0.05064704167613515,0.00046896002600316916,14.9996352245151,0.9991788773843375,4.988234152398407,8.106100316427884e-06,0.5,0.5,0.1,0.1,1.0,1.42,0.0,1e-06,0.016,0.001,0.02,0.018,5.0,1e-05,2.0,2.0,0.035,3.5,1e-05,0.05,0.01,0.1,0.001,0.2,0.1,0.01,0.02,0.01,0.1,0.01,0.01,0.001,1.0,0.0006214990554243549,7.317174410143723e-10,8.027934041637397e-07,0.0008018675653334564,2.0515290367492538e-05,1e-06,2.311582013238596e-07,0.00020023092063335877,0.018,0.002344800130015846,1e-05,0.02405544195674375,0.02405544195674375,0.034971260708451815,0.008187488462365288,1.4447387582741226e-10,0.00035171146624633266,8.106100316427884e-08,6.42991592333805e-08,0.0149996352245151,0.2,0.49882341523984075,0.009989880841773342,0.006671900037270105,0.01,0.0005064704167613515,1.0014010516704943e-05
0.05,1.949978945565378,2.1098286376590465e-05,0.010020554083244518,0.010018261895646563,0.0008888258321762825,0.05080879466599428,0.000532491445074332,14.999322723874824,0.9990834509691492,4.985259695795547,1.1869590418692724e-05,0.5,0.5,0.1,0.1,1.0,1.42,0.0,1e-06,0.016,0.001,0.02,0.018,5.0,1e-05,2.0,2.0,0.035,3.5,1e-05,0.05,0.01,0.1,0.001,0.2,0.1,0.01,0.02,0.01,0.1,0.01,0.01,0.001,1.0,0.0007040654449006207,1.0719785003125293e-09,8.904489966357998e-07,0.0008888258321762825,2.9959566654758458e-05,1e-06,3.3757258202544743e-07,0.00020036523791293126,0.018,0.00266245722537166,1e-05,0.02666357100425733,0.02666357100425733,0.03496792078392023,0.009291128488197485,2.1098286376590466e-10,0.00039935055161861854,1.1869590418692724e-07,7.900113599438613e-08,0.014999322723874825,0.2,0.4985259695795547,0.009989848556718747,0.0066732243571365835,0.01,0.0005080879466599428,1.0020554083244519e-05
0.06,1.9499715641699322,2.8485726309357478e-05,0.010027835249880384,0.010025823052471006,0.0009525865867209543,0.05097054480832364,0.0005829191207642693,14.998964929875047,0.999010475081884,4.982278374417213,1.6058014905381418e-05,0.5,0.5,0.1,0.1,1.0,1.42,0.0,1e-06,0.016,0.001,0.02,0.018,5.0,1e-05,2.0,2.0,0.035,3.5,1e-05,0.05,0.01,0.1,0.001,0.2,0.1,0.01,0.02,0.01,0.1,0.01,0.01,0.001,1.0,0.0007697458667234429,1.4519329892487488e-09,9.550464560621616e-07,0.0009525865867209543,4.044973135928762e-05,1e-06,4.5577162094971966e-07,0.00020051646104942013,0.018,0.002914595603821347,1e-05,0.02857562561379394,0.02857562561379394,0.034965366627865944,0.010164928652963402,2.848572630935748e-10,0.00043715917246484374,1.6058014905381418e-07,9.074212052006783e-08,0.014998964929875047,0.2,0.4982278374417213,0.009989816272441172,0.006674552261073567,0.01,0.0005097054480832364,1.0027835249880384e-05
0.07,1.9499635942824498,3.646042832793716e-05,0.010035704836656636,0.010034039472894097,0.0009993401258131369,0.05113229214074901,0.0006229651449111748,14.998573905954727,0.9989539586884219,4.979292243917203,2.058363720590601e-05,0.5,0.5,0.1,0.1,1.0,1.42,0.0,1e-06,0.016,0.001,0.02,0.018,5.0,1e-05,2.0,2.0,0.035,3.5,1e-05,0.05,0.01,0.1,0.001,0.2,0.1,0.01,0.02,0.01,0.1,0.01,0.01,0.001,1.0,0.0008223160345006841,1.864305272840924e-09,1.0027418269255968e-06,0.0009993401258131369,5.1773808225670764e-05,1e-06,5.833668532469945e-07,0.00020068078945788194,0.018,0.003114825724555874,1e-05,0.029977353468388857,0.029977353468388857,0.03496338855409477,0.010856739300004392,3.646042832793716e-10,0.0004671794383392026,2.058363720590601e-07,9.986806870602163e-08,0.014998573905954727,0.2,0.4979292243917203,0.009989783988933097,0.006675882836894916,0.01,0.0005113229214074902,1.0035704836656637e-05
0.08,1.9499551517848204,4.490642630160629e-05,0.010044046956698598,0.010042772462516196,0.0010336245526031845,0.05129403669150117,0.0006547852591094155,14.99815850100009,0.9989095097685823,4.976302931397057,2.5376944880271636e-05,0.5,0.5,0.1,0.1,1.0,1.42,0.0,1e-06,0.016,0.001,0.02,0.018,5.0,1e-05,2.0,2.0,0.035,3.5,1e-05,0.05,0.01,0.1,0.001,0.2,0.1,0.01,0.02,0.01,0.1,0.01,0.01,0.001,1.0,0.00086469504899549,2.3034318783987867e-09,1.0380456193463885e-06,0.0010336245526031845,6.376712534828094e-05,1e-06,7.185028208257007e-07,0.00020085544925032393,0.018,0.0032739262955470776,1e-05,0.03100492974093573,0.03100492974093573,0.03496183284190038,0.01140443431519618,4.4906426301606295e-10,0.0004910286550120714,2.537694488027164e-07,1.0683797157441334e-07,0.01499815850100009,0.2,0.4976302931397057,0.009989751706188876,0.0066772153620340505,0.01,0.0005129403669150118,1.0044046956698598e-05
0.09,1.9499463268088246,5.373352060128205e-05,0.010052771474213705,0.010051920864750019,0.0010587671307720201,0.05145577848138845,0.0006800869151011306,14.997725206981015,0.9988739081671506,4.973311724788297,3.038285716653487e-05,0.5,0.5,0.1,0.1,1.0,1.42,0.0,1e-06,0.016,0.001,0.02,0.018,5.0,1e-05,2.0,2.0,0.035,3.5,1e-05,0.05,0.01,0.1,0.001,0.2,0.1,0.01,0.02,0.01,0.1,0.01,0.01,0.001,1.0,0.0008991428691305001,2.764900133084692e-09,1.0642643412718781e-06,0.0010587671307720201,7.63015992538205e-05,1e-06,8.597363296205128e-07,0.00020103841729500038,0.018,0.003400434575505653,1e-05,0.03175819697100498,0.03175819697100498,0.034960586785850276,0.011837994800616446,5.373352060128206e-10,0.0005099878334775092,3.038285716653487e-07,1.1209878372032159e-07,0.014997725206981016,0.2,0.4973311724788297,0.009989719424204338,0.0066785492640515955,0.01,0.0005145577848138845,1.0052771474213705e-05
