value_component_environment_variable_time,value_component_f_variable_f,value_component_f_variable_a,value_component_r_variable_r,value_component_r_variable_beta,value_component_r_variable_alpha,value_component_y_variable_y,value_component_z_variable_z,value_component_x1_variable_x1,value_component_q_variable_q,value_component_q_variable_d,value_component_q_variable_k,value_component_x2_variable_x2,value_component_x3_variable_x3,value_component_m_variable_m,value_component_phi_variable_phi,value_component_ur0_variable_ur0,value_component_ur1_variable_ur1,value_component_uz_variable_uz,value_component_h_variable_h,value_component_model_parameters_variable_r0,value_component_model_parameters_variable_r1,value_component_model_parameters_variable_t1,value_component_model_parameters_variable_t2,value_component_model_parameters_variable_t4,value_component_model_parameters_variable_p
0.0,0.065625,1.0,0.5,1.0,1.0,-0.0,-0.0,0.0,0.0,5.0,10.5,0.0,0.0,0.0,0.489796875,0.0,0.0,0.0,0.0,0.5,1.2,0.1,0.5,20.0,1.05
0.1,0.09980547176450937,1.0,0.5552534468351492,1.0,1.0,-0.0,-0.0,0.0,0.0,5.0,10.5,0.0,0.0,0.0,0.5760189045585629,1.0,0.0,0.0,0.00040713420920146265,0.5,1.2,0.1,0.5,20.0,1.05
0.2,0.15112414689898312,1.0,0.6159367835581239,1.0,1.0,-0.0,-0.0,0.0,0.0,5.0,10.5,0.0,0.0,0.0,0.6615250645726021,1.0,0.0,0.0,0.0010231528166352885,0.5,1.2,0.1,0.5,20.0,1.05
0.30000000000000004,0.2268662168596001,1.0,0.6817813742735658,1.0,1.0,-0.0,-0.0,0.0,0.0,5.0,10.5,0.0,0.0,0.0,0.7434221951207545,1.0,0.0,0.0,0.0019496194311518433,0.5,1.2,0.1,0.5,20.0,1.05
0.4,0.3363127048553288,1.0,0.7522955514533023,1.0,1.0,-0.0,-0.0,0.0,0.0,5.0,10.5,0.0,0.0,0.0,0.8185686915750376,1.0,0.0,0.0,0.0033284945728158577,0.5,1.2,0.1,0.5,20.0,1.05
0.5,0.4905592720089463,1.0,0.8267525581775617,1.0,1.0,-0.0,-0.0,0.0,0.0,5.0,10.5,0.0,0.0,0.0,0.8838186190765744,1.0,0.0,0.0,0.0053532809304481085,0.5,1.2,0.1,0.5,20.0,1.05
0.6000000000000001,0.7018984548712796,1.0,0.9042140413669115,1.0,1.0,-0.0,-0.0,0.0,0.0,5.0,10.5,0.0,0.0,0.0,0.9363313004016879,1.0,0.0,0.0,0.00827436859038962,0.5,1.2,0.1,0.5,20.0,1.05
0.7000000000000001,0.9826551189055753,1.0,0.9835647495210966,1.0,1.0,-0.0,-0.0,0.0,0.0,5.0,10.5,0.0,0.0,0.0,0.9738724668464833,1.0,0.0,0.0,0.012403235620739556,0.5,1.2,0.1,0.5,20.0,1.05
0.8,1.343574853056439,1.0,1.063575052695926,1.0,1.0,-0.0,-0.0,0.0,0.0,5.0,10.5,0.0,0.0,0.0,0.9950719776954933,1.0,0.0,0.0,0.018107779617091042,0.5,1.2,0.1,0.5,20.0,1.05
0.9,1.7919645119216945,1.0,1.142970513072444,1.0,1.0,-0.0,-0.0,0.0,0.0,5.0,10.5,0.0,0.0,0.0,0.9995782024691258,1.0,0.0,0.0,0.02580043360902062,0.5,1.2,0.1,0.5,20.0,1.05
1.0,2.329863785400621,1.0,1.2204930422832283,1.0,1.0,0.020493042283228347,0.17972710361451705,0.002520331921776642,6.2251896488914715,5.0,10.5,0.19522386470538924,0.0037740224704505454,0.0037290723333703773,0.9880895947408597,1.0,1.0,1.0,0.03591521761424884,0.5,1.2,0.1,0.5,20.0,1.05
