Time,S,ES,k1,k2,default,re2,re12
0.0,0.0,0.0,1.0,0.025,1.0,1.0,0.0
0.01,0.009998750118767406,-0.009998750118767406,1.0,0.025,1.0,1.0,0.00024996875296918515
0.02,0.01999500082331844,-0.01999500082331844,1.0,0.025,1.0,1.0,0.000499875020582961
0.03,0.029988752803760163,-0.029988752803760163,1.0,0.025,1.0,1.0,0.0007497188200940041
0.04,0.03998000666245962,-0.03998000666245962,1.0,0.025,1.0,1.0,0.0009995001665614905
0.05,0.04996876301847319,-0.04996876301847319,1.0,0.025,1.0,1.0,0.0012492190754618297
0.06,0.05995502249492351,-0.05995502249492351,1.0,0.025,1.0,1.0,0.0014988755623730878
0.07,0.06993878571715528,-0.06993878571715528,1.0,0.025,1.0,1.0,0.0017484696429288821
0.08,0.07992005331013313,-0.07992005331013313,1.0,0.025,1.0,1.0,0.0019980013327533285
0.09,0.08989882589809078,-0.08989882589809078,1.0,0.025,1.0,1.0,0.00224747064745227
0.1,0.09987510410478086,-0.09987510410478086,1.0,0.025,1.0,1.0,0.0024968776026195218
0.11,0.10984888855369764,-0.10984888855369764,1.0,0.025,1.0,1.0,0.002746222213842441
0.12,0.11982017986817355,-0.11982017986817355,1.0,0.025,1.0,1.0,0.0029955044967043386
0.13,0.1297889786714,-0.1297889786714,1.0,0.025,1.0,1.0,0.003244724466785
0.14,0.13975528558642306,-0.13975528558642306,1.0,0.025,1.0,1.0,0.0034938821396605767
0.15,0.14971910123614673,-0.14971910123614673,1.0,0.025,1.0,1.0,0.0037429775309036684
0.16,0.1596804262433176,-0.1596804262433176,1.0,0.025,1.0,1.0,0.00399201065608294
0.17,0.16963926123051287,-0.16963926123051287,1.0,0.025,1.0,1.0,0.004240981530762822
0.18,0.1795956068201528,-0.1795956068201528,1.0,0.025,1.0,1.0,0.00448989017050382
0.19,0.18954946363450462,-0.18954946363450462,1.0,0.025,1.0,1.0,0.004738736590862616
0.2,0.19950083229568352,-0.19950083229568352,1.0,0.025,1.0,1.0,0.004987520807392089
0.21,0.20944971342565075,-0.20944971342565075,1.0,0.025,1.0,1.0,0.005236242835641269
0.22,0.21939610764621217,-0.21939610764621217,1.0,0.025,1.0,1.0,0.005484902691155305
0.23,0.22934001557901765,-0.22934001557901765,1.0,0.025,1.0,1.0,0.005733500389475441
0.24,0.23928143784556133,-0.23928143784556133,1.0,0.025,1.0,1.0,0.005982035946139034
0.25,0.249220375067182,-0.249220375067182,1.0,0.025,1.0,1.0,0.006230509376679551
0.26,0.25915682786506317,-0.25915682786506317,1.0,0.025,1.0,1.0,0.006478920696626579
0.27,0.2690907968602331,-0.2690907968602331,1.0,0.025,1.0,1.0,0.0067272699215058275
0.28,0.2790222826735649,-0.2790222826735649,1.0,0.025,1.0,1.0,0.006975557066839122
