data_generator_IK,data_generator_T
0.1028681,0.0
0.068765469,0.80000001
0.055512894,1.6
0.050294608,2.4000001
0.048173301,3.2
0.04724687,4.0
0.046782523,4.8000002
0.046497948,5.5999999
0.046284366,6.4000001
0.046099856,7.1999998
0.045928247,8.0
0.045763303,8.8000002
0.045602605,9.6000004
0.0454452,10.4
0.045290709,11.2
0.045138977,12.0
0.044989921,12.8
0.044843506,13.6
0.044699691,14.4
0.044558454,15.2
0.044419773,16.0
0.044283621,16.799999
0.044149976,17.6
0.04401882,18.4
0.043890126,19.200001
0.043763872,20.0
0.043640036,20.799999
0.043518599,21.6
0.043399539,22.4
0.043282833,23.200001
0.043168459,24.0
0.043056395,24.799999
0.042946626,25.6
0.042839125,26.4
0.042733874,27.200001
0.042630851,28.0
0.042530041,28.799999
0.042431418,29.6
0.042334963,30.4
0.042240653,31.200001
0.042148478,32.0
0.042058412,32.799999
0.041970432,33.599998
0.041884527,34.400002
0.041800674,35.200001
0.041718852,36.0
0.041639045,36.799999
0.041561235,37.599998
0.041485399,38.400002
0.041411527,39.200001
0.041339591,40.0
0.041269578,40.799999
0.041201469,41.599998
0.041135248,42.400002
0.041070893,43.200001
0.041008394,44.0
0.040947724,44.799999
0.040888876,45.599998
0.040831823,46.400002
0.040776554,47.200001
0.040723052,48.0
0.040671296,48.799999
0.040621277,49.599998
0.065825529,50.400002
0.05504252,51.200001
0.050400548,52.0
0.048899408,52.799999
0.049028456,53.599998
0.05002797,54.400002
0.051514994,55.200001
0.05329556,56.0
0.055270534,56.799999
0.057388365,57.599998
0.059621446,58.400002
0.061954189,59.200001
0.064377107,60.0
0.066883817,60.799999
0.069469512,61.599998
0.072130263,62.400002
0.074862577,63.200001
0.077663258,64.0
0.080529287,64.800003
0.083457768,65.599998
0.086445913,66.400002
0.089491025,67.199997
0.092590481,68.0
0.095741749,68.800003
0.098942369,69.599998
0.10218994,70.400002
0.10548212,71.199997
0.10881669,72.0
0.11219142,72.800003
0.11560421,73.599998
0.11905298,74.400002
0.12253573,75.199997
0.1260505,76.0
0.12959541,76.800003
0.13316862,77.599998
0.13676837,78.400002
0.1403929,79.199997
0.14404057,80.0
0.14770973,80.800003
0.15139881,81.599998
0.15510629,82.400002
0.15883069,83.199997
0.16257057,84.0
0.16632453,84.800003
0.17009123,85.599998
0.17386937,86.400002
0.17765768,87.199997
0.18145493,88.0
0.18525992,88.800003
0.18907154,89.599998
0.19288863,90.400002
0.19671014,91.199997
0.20053503,92.0
0.20436229,92.800003
0.20819093,93.599998
0.21202002,94.400002
0.21584865,95.199997
0.21967593,96.0
0.22350103,96.800003
0.22732309,97.599998
0.23114134,98.400002
0.23495501,99.199997
0.23876336,100.0
0.24256568,100.8
0.24636127,101.6
0.25014946,102.4
0.25392964,103.2
0.25770116,104.0
0.26146343,104.8
0.26521587,105.6
0.26895797,106.4
0.27268913,107.2
0.27640891,108.0
0.2801168,108.8
0.28381228,109.6
0.28749496,110.4
0.29116437,111.2
0.2948201,112.0
0.29846174,112.8
0.30208892,113.6
0.30570129,114.4
0.30929846,115.2
0.3128801,116.0
0.31644589,116.8
0.31999555,117.6
0.32352877,118.4
0.32704523,119.2
0.33054474,120.0
0.33402699,120.8
0.33749178,121.6
0.34093884,122.4
0.34436795,123.2
0.34777895,124.0
0.35117158,124.8
0.35454574,125.6
0.35790119,126.4
0.36123779,127.2
0.36455539,128.0
0.36785382,128.8
0.371133,129.60001
0.37439275,130.39999
0.37763298,131.2
0.38085356,132.0
0.38405442,132.8
0.38723543,133.60001
0.39039657,134.39999
0.39353767,135.2
0.39665875,136.0
0.39975968,136.8
0.40284047,137.60001
0.40590099,138.39999
0.40894127,139.2
0.41196123,140.0
0.41496086,140.8
0.41794011,141.60001
0.42089897,142.39999
0.42383748,143.2
0.42675555,144.0
0.4296532,144.8
0.43253046,145.60001
0.43538731,146.39999
0.43822378,147.2
0.44103989,148.0
0.44383562,148.8
0.44661102,149.60001
0.44936609,150.39999
0.4521009,151.2
0.45481548,152.0
0.45750985,152.8
0.46018407,153.60001
0.46283817,154.39999
0.46547219,155.2
0.46808621,156.0
0.47068027,156.8
0.47325441,157.60001
0.47580871,158.39999
0.47834325,159.2
0.48085806,160.0
0.48335323,160.8
0.48582882,161.60001
0.48828489,162.39999
0.49072152,163.2
0.49313882,164.0
0.49553686,164.8
0.49791569,165.60001
0.50027537,166.39999
0.50261605,167.2
0.50493783,168.0
0.50724071,168.8
0.50952482,169.60001
0.51179028,170.39999
0.51403713,171.2
0.51626545,172.0
0.51847541,172.8
0.52066708,173.60001
