data_set_T,data_set_C1,data_set_C2,data_set_C3,data_set_I,data_set_IK,data_set_O
0.0,0.0,0.0,1.0,0.0,0.1028681,0.059999999
0.80000001,0.0012835934,0.0014920949,0.9975279,0.019587481,0.068765469,0.040108919
1.6,0.003075165,0.002418462,0.99507111,0.027056215,0.055512894,0.032379072
2.4000001,0.0048708869,0.0033084687,0.99262774,0.029857535,0.050294608,0.029335396
3.2,0.0066533759,0.0041889553,0.9901976,0.030861968,0.048173301,0.028098099
4.0,0.008423537,0.00506271,0.98778063,0.03117536,0.04724687,0.027557738
4.8000002,0.010182087,0.0059305043,0.98537678,0.03122372,0.046782523,0.027286898
5.5999999,0.01192936,0.006792644,0.98298591,0.031171158,0.046497948,0.027120914
6.4000001,0.013665529,0.0076492685,0.98060799,0.031080883,0.046284366,0.026996339
7.1999998,0.015390706,0.0085004531,0.97824287,0.030977238,0.046099856,0.026888717
8.0,0.017104978,0.0093462486,0.97589058,0.03086959,0.045928247,0.026788624
8.8000002,0.018808421,0.010186695,0.97355092,0.030761538,0.045763303,0.026692417
9.6000004,0.020501109,0.011021831,0.97122389,0.030654458,0.045602605,0.026598684
10.4,0.022183111,0.011851692,0.96890944,0.030548871,0.0454452,0.026506875
11.2,0.023854498,0.012676311,0.96660745,0.030444965,0.045290709,0.026416767
12.0,0.02551534,0.013495724,0.96431786,0.030342806,0.045138977,0.026328266
12.8,0.027165705,0.014309964,0.9620406,0.030242408,0.044989921,0.026241327
13.6,0.028805664,0.015119066,0.95977557,0.030143768,0.044843506,0.026155924
14.4,0.030435279,0.01592306,0.95752275,0.030046873,0.044699691,0.026072042
15.2,0.032054622,0.016721984,0.95528203,0.02995171,0.044558454,0.025989663
16.0,0.033663761,0.01751587,0.95305336,0.029858265,0.044419773,0.025908774
16.799999,0.035262756,0.018304748,0.9508366,0.029766522,0.044283621,0.02582936
17.6,0.036851682,0.019088656,0.94863176,0.029676467,0.044149976,0.02575141
18.4,0.038430598,0.019867619,0.94643879,0.029588083,0.04401882,0.025674909
19.200001,0.039999571,0.020641675,0.94425756,0.029501358,0.043890126,0.025599845
20.0,0.041558664,0.021410853,0.94208801,0.029416274,0.043763872,0.025526205
20.799999,0.043107945,0.022175187,0.93993008,0.029332818,0.043640036,0.025453975
21.6,0.044647478,0.022934707,0.93778372,0.029250976,0.043518599,0.025383146
22.4,0.04617732,0.023689445,0.9356488,0.029170731,0.043399539,0.025313701
23.200001,0.04769754,0.024439432,0.93352532,0.02909207,0.043282833,0.025245629
24.0,0.049208201,0.025184697,0.93141323,0.029014979,0.043168459,0.025178919
24.799999,0.050709363,0.025925275,0.92931235,0.028939445,0.043056395,0.025113555
25.6,0.052201089,0.026661193,0.92722273,0.028865451,0.042946626,0.02504953
26.4,0.053683437,0.027392482,0.92514426,0.028792985,0.042839125,0.024986828
27.200001,0.055156473,0.028119173,0.92307687,0.028722033,0.042733874,0.024925439
28.0,0.056620255,0.028841294,0.92102051,0.028652579,0.042630851,0.024865348
28.799999,0.058074843,0.029558878,0.91897511,0.028584613,0.042530041,0.024806548
29.6,0.059520297,0.030271953,0.91694063,0.02851812,0.042431418,0.024749022
30.4,0.060956676,0.030980548,0.91491693,0.028453086,0.042334963,0.024692763
31.200001,0.062384039,0.031684689,0.91290402,0.028389497,0.042240653,0.024637757
32.0,0.063802451,0.032384414,0.91090178,0.02832734,0.042148478,0.024583993
32.799999,0.065211959,0.03307974,0.90891021,0.028266603,0.042058412,0.024531459
33.599998,0.066612624,0.033770707,0.90692925,0.028207274,0.041970432,0.024480145
34.400002,0.068004511,0.034457333,0.90495878,0.028149337,0.041884527,0.024430038
35.200001,0.069387667,0.035139654,0.90299875,0.028092781,0.041800674,0.024381129
36.0,0.070762157,0.03581769,0.90104914,0.028037593,0.041718852,0.024333404
36.799999,0.072128028,0.03649148,0.8991099,0.02798376,0.041639045,0.024286857
37.599998,0.073485345,0.037161041,0.89718086,0.027931269,0.041561235,0.024241472
38.400002,0.074834161,0.037826408,0.89526206,0.02788011,0.041485399,0.024197239
39.200001,0.076174535,0.038487602,0.89335346,0.027830267,0.041411527,0.024154149
40.0,0.077506512,0.039144658,0.89145494,0.027781731,0.041339591,0.024112193
40.799999,0.078830153,0.039797593,0.88956642,0.027734488,0.041269578,0.024071356
41.599998,0.080145508,0.040446442,0.88768792,0.027688526,0.041201469,0.02403163
42.400002,0.08145263,0.041091226,0.88581932,0.027643833,0.041135248,0.023993004
43.200001,0.082751587,0.041731976,0.88396055,0.0276004,0.041070893,0.02395547
44.0,0.084042415,0.042368714,0.88211167,0.027558209,0.041008394,0.023919014
44.799999,0.085325167,0.043001469,0.88027245,0.027517255,0.040947724,0.023883628
45.599998,0.086599909,0.043630265,0.878443,0.027477523,0.040888876,0.023849303
46.400002,0.087866686,0.04425513,0.87662315,0.027439,0.040831823,0.023816027
47.200001,0.089125544,0.044876087,0.8748129,0.027401678,0.040776554,0.02378379
48.0,0.090376541,0.045493159,0.87301219,0.027365545,0.040723052,0.023752583
48.799999,0.091619723,0.046106379,0.87122089,0.027330587,0.040671296,0.023722395
49.599998,0.092855148,0.046715766,0.86943907,0.027296795,0.040621277,0.023693221
50.400002,0.095840566,0.0538335,0.85873133,0.030862039,0.065825529,0.020732557
51.200001,0.10696387,0.060633581,0.83943719,0.035629023,0.05504252,0.017336316
52.0,0.11858616,0.066319123,0.82059038,0.038630065,0.050400548,0.01587427
52.799999,0.12984438,0.071768217,0.80217975,0.040806197,0.048899408,0.015401468
53.599998,0.14071259,0.077024013,0.78419507,0.042626239,0.049028456,0.015442113
54.400002,0.15120004,0.082093537,0.76662636,0.044323161,0.05002797,0.015756924
55.200001,0.1613171,0.086982019,0.74946386,0.046011757,0.051514994,0.016225278
56.0,0.17107379,0.091694422,0.73269808,0.047747608,0.05329556,0.016786091
56.799999,0.1804799,0.096235543,0.71631974,0.049556669,0.055270534,0.017408133
57.599998,0.18954493,0.10061004,0.70031977,0.051450085,0.057388365,0.01807517
58.400002,0.1982781,0.10482245,0.68468934,0.05343163,0.059621446,0.018778505
59.200001,0.20668845,0.10887719,0.66941971,0.05550142,0.061954189,0.019513231
60.0,0.21478476,0.11277856,0.65450251,0.057657801,0.064377107,0.02027636
60.799999,0.22257559,0.11653075,0.63992953,0.059898268,0.066883817,0.021065878
61.599998,0.23006929,0.12013787,0.62569261,0.06221994,0.069469512,0.021880277
62.400002,0.23727401,0.1236039,0.61178398,0.064619794,0.072130263,0.02271831
63.200001,0.24419768,0.12693271,0.59819597,0.067094773,0.074862577,0.023578888
64.0,0.25084805,0.13012812,0.584921,0.069641851,0.077663258,0.024460997
64.800003,0.25723267,0.13319381,0.57195181,0.072258063,0.080529287,0.025363687
65.599998,0.26335886,0.13613337,0.55928123,0.074940495,0.083457768,0.026286049
66.400002,0.26923382,0.13895033,0.5469023,0.077686332,0.086445913,0.027227201
67.199997,0.27486455,0.14164811,0.53480822,0.080492824,0.089491025,0.028186295
68.0,0.28025785,0.14423005,0.52299231,0.083357289,0.092590481,0.029162508
68.800003,0.28542039,0.1466994,0.51144803,0.086277127,0.095741749,0.030155038
69.599998,0.2903586,0.14905934,0.5001691,0.089249805,0.098942369,0.031163111
70.400002,0.29507884,0.15131295,0.48914933,0.092272878,0.10218994,0.032185972
71.199997,0.29958728,0.15346324,0.47838265,0.095343955,0.10548212,0.033222888
72.0,0.30388984,0.15551317,0.46786311,0.098460719,0.10881669,0.034273151
72.800003,0.30799243,0.15746558,0.45758501,0.10162091,0.11219142,0.035336066
73.599998,0.31190076,0.15932328,0.44754264,0.10482236,0.11560421,0.036410965
74.400002,0.31562033,0.16108896,0.43773058,0.10806292,0.11905298,0.037497196
75.199997,0.31915662,0.16276531,0.42814338,0.11134055,0.12253573,0.03859413
76.0,0.32251486,0.16435488,0.41877586,0.11465324,0.1260505,0.039701153
76.800003,0.32570019,0.16586021,0.40962288,0.11799905,0.12959541,0.040817663
77.599998,0.32871768,0.16728374,0.40067941,0.12137608,0.13316862,0.041943092
78.400002,0.33157215,0.16862787,0.39194059,0.12478252,0.13676837,0.043076873
79.199997,0.33426839,0.16989492,0.38340166,0.12821656,0.1403929,0.044218466
80.0,0.33681104,0.17108718,0.37505794,0.13167652,0.14404057,0.045367341
80.800003,0.33920461,0.17220683,0.36690485,0.1351607,0.14770973,0.04652299
81.599998,0.34145352,0.17325605,0.35893804,0.13866748,0.15139881,0.047684912
82.400002,0.34356204,0.17423694,0.35115311,0.14219528,0.15510629,0.04885263
83.199997,0.34553438,0.17515154,0.34354582,0.14574258,0.15883069,0.050025675
84.0,0.34737459,0.17600185,0.33611205,0.14930791,0.16257057,0.051203594
84.800003,0.34908667,0.17678981,0.32884777,0.15288983,0.16632453,0.052385952
85.599998,0.35067442,0.17751729,0.32174903,0.15648693,0.17009123,0.053572319
86.400002,0.35214171,0.17818616,0.31481197,0.16009788,0.17386937,0.054762289
87.199997,0.35349211,0.17879821,0.30803284,0.16372138,0.17765768,0.055955462
88.0,0.35472926,0.1793552,0.30140793,0.16735613,0.18145493,0.057151452
88.800003,0.35585663,0.17985882,0.29493374,0.17100096,0.18525992,0.058349885
89.599998,0.3568776,0.18031071,0.28860667,0.17465462,0.18907154,0.059550397
90.400002,0.35779548,0.18071254,0.28242338,0.178316,0.19288863,0.060752638
91.199997,0.35861346,0.18106583,0.27638048,0.18198396,0.19671014,0.061956272
92.0,0.35933474,0.18137214,0.2704747,0.18565744,0.20053503,0.063160971
92.800003,0.35996231,0.18163295,0.26470292,0.18933539,0.20436229,0.064366408
93.599998,0.3604992,0.18184973,0.25906196,0.19301681,0.20819093,0.065572284
