data_set_T,data_set_CA,data_set_HH,data_set_HNAP,data_set_MLVA,data_set_NHVK,data_set_NK,data_set_V
0.0,0.00065599999,0.13628399,0.185259,0.060249001,0.063836999,0.061875999,-50.396141
0.60000002,0.00063875882,0.13689096,0.18546191,0.060045604,0.063798726,0.061603568,-51.228954
1.2,0.00062150124,0.13871695,0.18570484,0.059305601,0.063760474,0.060778975,-51.954586
1.8,0.00060415204,0.14134893,0.18598332,0.05814435,0.063722238,0.059557576,-52.571072
2.4000001,0.00058667589,0.14450313,0.18629248,0.056672771,0.063684024,0.05807801,-53.081608
3.0,0.00056908006,0.14798085,0.18662737,0.054992825,0.063645825,0.056458227,-53.492775
3.5999999,0.00055141083,0.15164,0.18698305,0.053194229,0.063607655,0.05479404,-53.813194
4.1999998,0.00053374463,0.15537649,0.18735482,0.051352601,0.063569508,0.05315971,-54.052536
4.8000002,0.00051617762,0.15911224,0.18773833,0.049528934,0.063531376,0.051609863,-54.220806
5.4000001,0.00049881527,0.16278711,0.18812971,0.047770169,0.063493274,0.050182153,-54.327888
6.0,0.00048176374,0.16635379,0.18852553,0.046110537,0.063455194,0.048900187,-54.383217
6.5999999,0.00046512301,0.16977453,0.18892291,0.044573277,0.063417137,0.047776382,-54.395588
7.1999998,0.00044898244,0.17301907,0.18931946,0.043172553,0.063379101,0.046814557,-54.373066
7.8000002,0.00043341791,0.17606333,0.18971328,0.041915264,0.063341089,0.046012152,-54.322918
8.3999996,0.0004184909,0.17888878,0.19010288,0.040802695,0.063303098,0.045362074,-54.251595
9.0,0.00040424831,0.18148194,0.19048716,0.039831962,0.06326513,0.044854142,-54.164768
9.6000004,0.00039072309,0.18383415,0.19086538,0.038997158,0.063227184,0.044476237,-54.067345
10.2,0.00037793553,0.18594134,0.19123706,0.038290299,0.063189261,0.044215169,-53.963516
10.8,0.00036589467,0.18780376,0.19160199,0.037702069,0.063151367,0.044057321,-53.8568
11.4,0.0003545997,0.1894258,0.19196013,0.037222367,0.063113488,0.043989133,-53.750103
12.0,0.00034404144,0.19081545,0.19231158,0.036840744,0.063075639,0.043997429,-53.645782
12.6,0.00033420394,0.19198401,0.19265662,0.036546726,0.063037805,0.044069689,-53.545681
13.2,0.00032506557,0.19294544,0.19299556,0.036330037,0.063000001,0.044194177,-53.451202
13.8,0.00031660034,0.19371581,0.1933288,0.036180787,0.062962219,0.04436009,-53.363354
14.4,0.00030877895,0.19431274,0.19365677,0.036089588,0.06292446,0.044557597,-53.282799
15.0,0.00030156961,0.19475473,0.19397993,0.036047645,0.062886715,0.044777881,-53.209919
15.6,0.000294939,0.19506067,0.19429876,0.03604681,0.062849,0.045013152,-53.14484
16.200001,0.00028885287,0.19524924,0.19461371,0.036079634,0.062811308,0.045256615,-53.087494
16.799999,0.00028327663,0.19533855,0.19492523,0.036139362,0.062773645,0.045502454,-53.03764
17.4,0.00027817595,0.19534573,0.19523376,0.036219951,0.062735997,0.045745786,-52.994926
18.0,0.00027351698,0.19528671,0.19553968,0.03631606,0.062698372,0.045982596,-52.958893
18.6,0.00026926683,0.19517592,0.19584338,0.036423009,0.062660769,0.046209674,-52.92902
19.200001,0.00026539378,0.19502629,0.19614519,0.03653679,0.062623188,0.046424564,-52.904751
19.799999,0.00026186748,0.19484916,0.19644542,0.036653981,0.062585637,0.046625458,-52.885498
