value_component_environment_variable_time,value_component_MPF_variable_MPF,value_component_preMPF_variable_preMPF,value_component_Ste9_variable_Ste9,value_component_Ste9_variable_Jste9r,value_component_Ste9_variable_Jste9,value_component_Mik1_variable_Mik1,value_component_Mik1_variable_Jmikr,value_component_Mik1_variable_Jmik,value_component_Wee1_variable_Wee1,value_component_Wee1_variable_Jweer,value_component_Wee1_variable_Jwee,value_component_Cdc25_variable_Cdc25,value_component_Cdc25_variable_J25,value_component_Cdc25_variable_J25r,value_component_Slp1_variable_Slp1,value_component_Slp1_a_variable_Slp1_a,value_component_Inh_variable_Inh,value_component_PI_variable_PI,value_component_CRP_variable_CRP,value_component_CR_variable_CR,value_component_Rum1_variable_Rum1,value_component_Rum1P_variable_Rum1P,value_component_mass_variable_mass,value_component_mass_variable_mu,value_component_R_dna_variable_R_dna,value_component_R_dna_variable_K,value_component_R_dna_variable_Y,value_component_MPF_a_variable_MPF_a,value_component_PP_variable_PP,value_component_ratio_variable_ratio,value_component_rate_constants_variable_k1,value_component_rate_constants_variable_k2,value_component_rate_constants_variable_k2c,value_component_rate_constants_variable_k3,value_component_rate_constants_variable_k4,value_component_rate_constants_variable_k5,value_component_rate_constants_variable_k6,value_component_rate_constants_variable_k6_,value_component_rate_constants_variable_kwee,value_component_rate_constants_variable_kc25,value_component_rate_constants_variable_kp,value_component_rate_constants_variable_kpp_,value_component_rate_constants_variable_kpp,value_component_rate_constants_variable_kj,value_component_rate_constants_variable_kjr,value_component_rate_constants_variable_kste9,value_component_rate_constants_variable_kste9r,value_component_rate_constants_variable_kste9r_,value_component_rate_constants_variable_km,value_component_rate_constants_variable_kmr,value_component_rate_constants_variable_kmr_,value_component_rate_constants_variable_kw,value_component_rate_constants_variable_kwr,value_component_rate_constants_variable_kwr_,value_component_rate_constants_variable_k25,value_component_rate_constants_variable_k25r,value_component_rate_constants_variable_k25r_,value_component_rate_constants_variable_kas,value_component_rate_constants_variable_kad,value_component_rate_constants_variable_kaa,value_component_rate_constants_variable_kaa_,value_component_rate_constants_variable_kai,value_component_rate_constants_variable_ki,value_component_rate_constants_variable_kir,value_component_rate_constants_variable_ks,value_component_rate_constants_variable_V2_,value_component_rate_constants_variable_V2,value_component_rate_constants_variable_V2c,value_component_rate_constants_variable_V2c_,value_component_rate_constants_variable_Vwee,value_component_rate_constants_variable_Vwee_,value_component_rate_constants_variable_Vmik,value_component_rate_constants_variable_Vmik_,value_component_rate_constants_variable_V25,value_component_rate_constants_variable_V25_,value_component_rate_constants_variable_Vpyp,value_component_rate_constants_variable_V4,value_component_rate_constants_variable_V4_,value_component_rate_constants_variable_Pyp3,value_component_dimensionless_constants_variable_SK,value_component_dimensionless_constants_variable_epsilon,value_component_dimensionless_constants_variable_epsilon_p
0.0,0.0,1.0,0.0,0.01,0.01,0.0,0.15,0.15,0.0,0.2,0.2,0.0,0.05,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.00462,1.0,0.06,0.0,0.05,0.8,0.0625,0.02,0.02,0.02,0.1,0.01,0.1,5.0,0.1,0.12,0.12000000000000001,100.0,1.0,100.0,400.0,1.0,5.0,8.0,0.03,1.0,5.0,0.01,2.0,1.0,0.4,1.0,2.0,0.4,0.1,0.1,0.1,0.01,0.1,50.0,0.5,0.1,0.02,1.0,0.5,0.02,10.0,0.08,2.0,0.04,10.0,0.05,0.07,1.0,0.01,1.0,0.018,0.05,0.025
0.1,0.012168250552008202,0.9567099177034512,0.5979507332392522,0.01,0.01,0.3439311155010817,0.15,0.15,0.0969116262284336,0.2,0.2,0.0013383686189608226,0.05,0.05,0.0005551307832357594,4.216252492707659e-07,0.0049600178529788114,0.20483535152415577,9.431402331335674e-05,0.0013942527629340561,0.007858254427028307,0.00047877861746553765,1.0004621067384445,0.00462,1.005999999999999,0.06,0.0,0.06000374643718076,0.7951646484758442,0.07546078230740608,0.02,0.6179507332392522,0.3189753666196261,0.1,0.010000421625249271,0.1,5.0,0.1,1.7554683185681814,0.1333167677586602,100.0,1.0,100.0,400.0,1.0,5.0,8.0,0.03,1.0,5.0,0.01,2.0,1.0,0.4,1.0,2.0,0.4,0.1,0.1,0.1,0.01,0.1,50.0,0.5,0.1,0.02,1.0,0.5,0.02,10.0,0.08,2.0,0.04,10.0,0.05,0.07,1.0,0.01,1.0,0.018,0.05,0.025
0.2,0.015747401451025798,0.8682257089053953,0.9993553911651119,0.01,0.01,0.6498822693334024,0.15,0.15,0.18842592456382704,0.2,0.2,0.0014126314223207844,0.05,0.05,0.0011502621489554213,1.7687128099551026e-06,0.005224210047325374,0.2143564092247692,0.00045711443359018914,0.006489991370956066,0.01153482424495779,0.0007473856064918103,1.0009244270195194,0.00462,1.0119999999999982,0.06,0.0,0.05915868689629557,0.7856435907752308,0.0752996493459852,0.02,1.0193553911651119,0.5196776955825559,0.1,0.010001768712809955,0.1,5.0,0.1,3.262954419566633,0.1340556826520918,100.0,1.0,100.0,400.0,1.0,5.0,8.0,0.03,1.0,5.0,0.01,2.0,1.0,0.4,1.0,2.0,0.4,0.1,0.1,0.1,0.01,0.1,50.0,0.5,0.1,0.02,1.0,0.5,0.02,10.0,0.08,2.0,0.04,10.0,0.05,0.07,1.0,0.01,1.0,0.018,0.05,0.025
0.30000000000000004,0.014329459400732944,0.7793557229232593,0.9993991695772281,0.01,0.01,0.8811275382254172,0.15,0.15,0.27604937100212584,0.2,0.2,0.0013038318799654643,0.05,0.05,0.0016998267678751114,3.942754273494823e-06,0.005412628809316584,0.22394345837307938,0.000809981816838573,0.012470557578505428,0.014133471398119905,0.0008534112796333208,1.0013869609419117,0.00462,1.0179999999999991,0.06,0.0,0.05329724554689591,0.7760565416269206,0.06867701344951473,0.02,1.019399169577228,0.519699584788614,0.1,0.010003942754273494,0.1,5.0,0.1,4.585419735262906,0.13297312720565638,100.0,1.0,100.0,400.0,1.0,5.0,8.0,0.03,1.0,5.0,0.01,2.0,1.0,0.4,1.0,2.0,0.4,0.1,0.1,0.1,0.01,0.1,50.0,0.5,0.1,0.02,1.0,0.5,0.02,10.0,0.08,2.0,0.04,10.0,0.05,0.07,1.0,0.01,1.0,0.018,0.05,0.025
0.4,0.01174831634599266,0.7008740181897074,0.9994496942776634,0.01,0.01,0.9813017286633555,0.15,0.15,0.36045325314827276,0.2,0.2,0.0011579042807944554,0.05,0.05,0.002180545144062957,6.745596168614403e-06,0.005603974445054161,0.23351774864532232,0.0010303184930671656,0.017776260909207264,0.017279259945436144,0.0009409758407632348,1.0018497086043459,0.00462,1.024,0.06,0.0,0.04679201725547803,0.7664822513546776,0.061047750515785607,0.02,1.0194496942776634,0.5197248471388317,0.1,0.010006745596168615,0.1,5.0,0.1,5.619047659411042,0.13152114759390485,100.0,1.0,100.0,400.0,1.0,5.0,8.0,0.03,1.0,5.0,0.01,2.0,1.0,0.4,1.0,2.0,0.4,0.1,0.1,0.1,0.01,0.1,50.0,0.5,0.1,0.02,1.0,0.5,0.02,10.0,0.08,2.0,0.04,10.0,0.05,0.07,1.0,0.01,1.0,0.018,0.05,0.025
0.5,0.00941795642676949,0.630717494551858,0.9994951168953451,0.01,0.01,0.9970869071378683,0.15,0.15,0.441671409285845,0.2,0.2,0.001020565628229738,0.05,0.05,0.0025946230108643354,1.0005584955491793e-05,0.005799792811325425,0.24307772599327152,0.0011404789526887993,0.02217238823929343,0.0212244726499232,0.001035966498534317,1.0023126701055933,0.00462,1.0300000000000007,0.06,0.0,0.040953831154362394,0.7569222740067285,0.05410572863389979,0.02,1.019495116895345,0.5197475584476725,0.1,0.010010005584955493,0.1,5.0,0.1,6.455670718105804,0.1301546280008859,100.0,1.0,100.0,400.0,1.0,5.0,8.0,0.03,1.0,5.0,0.01,2.0,1.0,0.4,1.0,2.0,0.4,0.1,0.1,0.1,0.01,0.1,50.0,0.5,0.1,0.02,1.0,0.5,0.02,10.0,0.08,2.0,0.04,10.0,0.05,0.07,1.0,0.01,1.0,0.018,0.05,0.025
0.6000000000000001,0.007593146610937822,0.5677108122239032,0.9995335149377418,0.01,0.01,0.9985930036827322,0.15,0.15,0.5193973976013401,0.2,0.2,0.0009021577976755166,0.05,0.05,0.0029508227684408375,1.3595789844796561e-05,0.00600026583813176,0.2526232025056483,0.0011797524179341192,0.025763556632911862,0.025873792492722637,0.0011336532213299954,1.0027758455444697,0.00462,1.036,0.06,0.0,0.03597868722213298,0.7473767974943517,0.048139957438811026,0.02,1.0195335149377418,0.5197667574688709,0.1,0.010013595789844797,0.1,5.0,0.1,7.229664471423449,0.1289764700868714,100.0,1.0,100.0,400.0,1.0,5.0,8.0,0.03,1.0,5.0,0.01,2.0,1.0,0.4,1.0,2.0,0.4,0.1,0.1,0.1,0.01,0.1,50.0,0.5,0.1,0.02,1.0,0.5,0.02,10.0,0.08,2.0,0.04,10.0,0.05,0.07,1.0,0.01,1.0,0.018,0.05,0.025
0.7000000000000001,0.00621263804566771,0.5110583110616537,0.9995656809186528,0.01,0.01,0.9988396950504872,0.15,0.15,0.593131215637533,0.2,0.2,0.0008016681428322012,0.05,0.05,0.0032578866081190727,1.7423249775894696e-05,0.0062055571814250265,0.26215401028569635,0.0011752170061331182,0.028685744354878525,0.031101100420446254,0.0012272302863128158,1.0032392350198378,0.00462,1.0419999999999998,0.06,0.0,0.0317655535987504,0.7378459897143037,0.04305173985027705,0.02,1.0195656809186529,0.5197828404593264,0.1,0.010017423249775895,0.1,5.0,0.1,7.961587461423282,0.12797659802118042,100.0,1.0,100.0,400.0,1.0,5.0,8.0,0.03,1.0,5.0,0.01,2.0,1.0,0.4,1.0,2.0,0.4,0.1,0.1,0.1,0.01,0.1,50.0,0.5,0.1,0.02,1.0,0.5,0.02,10.0,0.08,2.0,0.04,10.0,0.05,0.07,1.0,0.01,1.0,0.018,0.05,0.025
0.8,0.0051697261347956915,0.46011012169604143,0.9995927685766233,0.01,0.01,0.9989683640705003,0.15,0.15,0.6622324518966192,0.2,0.2,0.0007160301021993674,0.05,0.05,0.0035231887565441242,2.1418359173646358e-05,0.006415837526748346,0.2716699757981331,0.0011439274505018005,0.031058792230218516,0.03679600478356386,0.0013120770584178012,1.0037028386306048,0.00462,1.048,0.06,0.0,0.028175232219597765,0.7283300242018669,0.03868470512453926,0.02,1.0195927685766233,0.5197963842883117,0.1,0.010021418359173646,0.1,5.0,0.1,8.647323916392642,0.1271244995168837,100.0,1.0,100.0,400.0,1.0,5.0,8.0,0.03,1.0,5.0,0.01,2.0,1.0,0.4,1.0,2.0,0.4,0.1,0.1,0.1,0.01,0.1,50.0,0.5,0.1,0.02,1.0,0.5,0.02,10.0,0.08,2.0,0.04,10.0,0.05,0.07,1.0,0.01,1.0,0.018,0.05,0.025
0.9,0.004371783553662523,0.4142962996750261,0.9996157847359516,0.01,0.01,0.999072557487299,0.15,0.15,0.7259465238461206,0.2,0.2,0.00064233316883094,0.05,0.05,0.00375271566221619,2.552767301561371e-05,0.006631285499599742,0.2811709187212548,0.0010965582925334342,0.03298061300780931,0.04286921424822882,0.0013855782303020118,1.0041666564757246,0.00462,1.054,0.06,0.0,0.02508659853741383,0.7188290812787452,0.03489925378754373,0.02,1.0196157847359515,0.5198078923679758,0.1,0.010025527673015613,0.1,5.0,0.1,9.279571729228623,0.12639121502986786,100.0,1.0,100.0,400.0,1.0,5.0,8.0,0.03,1.0,5.0,0.01,2.0,1.0,0.4,1.0,2.0,0.4,0.1,0.1,0.1,0.01,0.1,50.0,0.5,0.1,0.02,1.0,0.5,0.02,10.0,0.08,2.0,0.04,10.0,0.05,0.07,1.0,0.01,1.0,0.018,0.05,0.025
