Time,u,v,w,r_1,alpha_1,alpha_2,k_1,r_2,alpha_3,k_2,gamma_1,k_3,mu_1,alpha_4,k_4,compartment,Increase_in_density_of_glioma_cells,Decrease_in_density_of_glioma_cell,Increase_in_density_of_macrophage_population,Decrease_in_the_density_of_macrophage_population,Increase_in_density_of_glioma_specific_CD8__T_cell,decrease_in_density_of_glioma_specific_CD8__T_cell
0.0,0.1,0.55,0.2,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.043398000000000006,0.05856663675788845,0.08184825,0.008170985725663176,0.0008371717715092629,0.0021874279939363317
3.0,0.06270538357008996,0.7445155198460811,0.19585840081662662,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.02834054237245169,0.038287845744060425,0.06290316149534032,0.009708409590773067,0.0005206089641708242,0.0019204470394076627
6.0,0.038853824699522414,0.8660581120686469,0.19164793129216173,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.018007375653768407,0.024198790680557476,0.038361682355295634,0.009401267999157699,0.00031823199838713174,0.0017201287962202451
9.0,0.02424057310594475,0.9281703300115866,0.18746747838237668,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.011405461035278416,0.015148937149623929,0.02204782472221223,0.007961539171516438,0.00019519055038645923,0.0015782034769983543
12.0,0.015433187450595007,0.9583498127072718,0.18335723774021923,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.007327031013527267,0.009583215478900991,0.013200039047532766,0.0062353574081745935,0.00012191728834283732,0.0014784016701093173
15.0,0.010099417342161762,0.9737981460520708,0.17933068500241955,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.004820755495570414,0.006197558412595631,0.00843791526497312,0.004689748644884241,7.817445797941032e-05,0.0014059140626744564
18.0,0.0068160099515007875,0.9824841079439507,0.1753910219106782,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0032642779550357305,0.004121313353827902,0.005691044601812016,0.003473647638945915,5.165902200880704e-05,0.001350394014842688
21.0,0.004750824982134386,0.9878046125931275,0.17153787079100177,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0022799643893963582,0.002825726955328136,0.0039838304397997225,0.0025765517323758317,3.524106839679204e-05,0.0013053622969937465
24.0,0.0034214417572186653,0.9912551822963979,0.1677697032744873,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0016441744549756457,0.0019998825957419047,0.002866621978194711,0.0019348528038968316,2.4833806141296045e-05,0.0012669281835370363
27.0,0.002545858265595765,0.9935683389329744,0.16408467155447132,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.001224487527334718,0.0014615487375159494,0.0021132704913337614,0.0014812014125708134,1.8078191905457968e-05,0.001232777352394608
30.0,0.0019566523522616674,0.9951495635975293,0.1604808793541947,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0009416516671407821,0.001102875577157036,0.0015962590275966104,0.001160853729657971,1.35918533497918e-05,0.0012015243870219874
33.0,0.001552576528245129,0.9962449396904594,0.15695646407255698,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0007474900617727661,0.0008590349148205641,0.0012371354163142074,0.0009337298969199992,1.054957477514827e-05,0.0011723277045726998
36.0,0.0012712228533243459,0.9970117238547395,0.1535096170888922,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0006122044210358546,0.0006903572071064218,0.0009852698382559256,0.0007718680050711091,8.448945385615193e-06,0.0011446661924446183
39.0,0.001073418462149617,0.9975528795007721,0.15013858499207924,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0005170467784951725,0.0005721230929029163,0.0008072823856320974,0.0006561924363691869,6.9780885616815495e-06,0.0011182101025101895
42.0,0.0009341884825546767,0.9979365350542937,0.14684166579654484,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0004500448664319489,0.0004886669384171444,0.0006809797741216554,0.00057382294883332,5.939911013239847e-06,0.001092745948124398
45.0,0.0008374349626751631,0.9982079707791867,0.1436172045578226,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0004034729734358457,0.0004299201986136134,0.0005915620636845398,0.0005161166115246942,5.207967913479628e-06,0.0010681322796245638
48.0,0.0007727744567387916,0.9983972649772744,0.14046358956803862,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0003723438826693769,0.00038936336017222667,0.0005291749832311438,0.00047733852725397594,4.7004239503107025e-06,0.0010442734001419069
51.0,0.000733625325442188,0.9985242594948948,0.1373792492876547,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.00035349460893806066,0.0003627889484048518,0.0004873071832586008,0.00045378051298901486,4.364373167567114e-06,0.0010211034520697792
54.0,0.0007160666886403474,0.9986017440744003,0.13436264989759253,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0003450401084878313,0.00034755648918391446,0.0004617566765330382,0.0004432025578252636,4.166401382424559e-06,0.0009985768007346235
57.0,0.000718177580263221,0.998637471311116,0.13141229330739548,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0003460565205513837,0.00034214677068595455,0.0004499742980135818,0.00044449500015861655,4.08692430651703e-06,0.0009766622459554636
60.0,0.0007396996328557835,0.9986353756957861,0.12852671547727143,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.00035641932455836924,0.00034590895471874435,0.00045066542803165184,0.00045749992659527695,4.116937915926288e-06,0.0009553396881064529
63.0,0.0007819444134908682,0.9985962293879153,0.12570448493246925,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0003767587612321729,0.00035894251351365505,0.00046357527327872607,0.0004829577777929506,4.256432771200895e-06,0.0009345984906973275
66.0,0.0008479066258391854,0.9985178699466057,0.1229442014294404,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.00040851389938908556,0.00038208073644107953,0.0004894139568274274,0.0005225584500388125,4.51403830170152e-06,0.0009144370965631747
69.0,0.0009426105680833508,0.9983950666819,0.12024449464421078,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0004540983741496191,0.0004169753934932817,0.0005298996276126591,0.0005791074855801341,4.90786221243207e-06,0.0008948638587029475
72.0,0.0010737314824354309,0.9982190110883989,0.11760402284067802,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0005171973927896537,0.00046628729709848044,0.0005879240786253457,0.0006568156052437777,5.467551915116996e-06,0.0008758991044107489
75.0,0.0012525897998315382,0.9979764151347704,0.11502147159976095,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.000603242238740925,0.0005340095162004432,0.000667845332921187,0.0007617357470457256,6.237862928856772e-06,0.0008575787073034559
78.0,0.001495714082280414,0.9976481179026664,0.11249555250272707,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0007201545716266133,0.0006259851366543979,0.0007759381923417257,0.0009023961031709109,7.2844246430346706e-06,0.0008399598373848738
81.0,0.0018272426311542159,0.9972070953793231,0.11002500196989877,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0008794864198442786,0.0007506997543121199,0.000921033993483844,0.0010906555835441152,8.702596743106614e-06,0.0008231297299296671
84.0,0.002282639784120238,0.9966157787655,0.10760858059600077,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0010981764276207905,0.0009204942991585194,0.0011153744705716603,0.001342800721828283,1.0631065195591607e-05,0.0008072190073780814
87.0,0.0029144927364778187,0.9958226587688669,0.10524507388926557,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0014012724615429287,0.0011534255703364578,0.0013756759706886506,0.001680820919779594,1.327277911318358e-05,0.0007924218907440734
90.0,0.003801578462765181,0.9947585032125604,0.10293329656158506,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0018261523809198826,0.0014761092796956364,0.0017242775710752608,0.0021335705783711574,1.6927120042131687e-05,0.0007790265811599675
93.0,0.0050632631353298655,0.9933331727589637,0.10067210534691198,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.002429143499144947,0.0019281131658217935,0.0021900212827984755,0.002737164981876889,2.2040048264316835e-05,0.0007674611751435905
96.0,0.006882465590762566,0.9914353699575918,0.0984604317896344,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.003295883897882117,0.0025687114576741156,0.0028080653550410454,0.003533193814926605,2.928224521394628e-05,0.0007583619546776455
99.0,0.009542536652346917,0.9889398288476475,0.09629736129043388,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.0045575020389835436,0.00348722621298772,0.00361714493355944,0.004562509247254779,3.9671263410161366e-05,0.0007526728154195598
102.0,0.01348650744397752,0.9857283862237732,0.09418231830346943,0.4822,0.069943,2.74492,0.90305,0.3307,0.0194,0.030584,0.1245,2.8743,0.0074,0.01694,0.378918,1.0,0.006415488516685779,0.004818570714922743,0.004652266043799678,0.005852082478688438,5.476122332286801e-05,0.0007517829488571882
