_1_task1,u_1_task1,v_2_task1,w_3_task1
0.0,0.1,0.55,0.2
3.0,0.06270538357008996,0.7445155198460811,0.19585840081662662
6.0,0.038853824699522414,0.8660581120686469,0.19164793129216173
9.0,0.02424057310594475,0.9281703300115866,0.18746747838237668
12.0,0.015433187450595007,0.9583498127072718,0.18335723774021923
15.0,0.010099417342161762,0.9737981460520708,0.17933068500241955
18.0,0.0068160099515007875,0.9824841079439507,0.1753910219106782
21.0,0.004750824982134386,0.9878046125931275,0.17153787079100177
24.0,0.0034214417572186653,0.9912551822963979,0.1677697032744873
27.0,0.002545858265595765,0.9935683389329744,0.16408467155447132
30.0,0.0019566523522616674,0.9951495635975293,0.1604808793541947
33.0,0.001552576528245129,0.9962449396904594,0.15695646407255698
36.0,0.0012712228533243459,0.9970117238547395,0.1535096170888922
39.0,0.001073418462149617,0.9975528795007721,0.15013858499207924
42.0,0.0009341884825546767,0.9979365350542937,0.14684166579654484
45.0,0.0008374349626751631,0.9982079707791867,0.1436172045578226
48.0,0.0007727744567387916,0.9983972649772744,0.14046358956803862
51.0,0.000733625325442188,0.9985242594948948,0.1373792492876547
54.0,0.0007160666886403474,0.9986017440744003,0.13436264989759253
57.0,0.000718177580263221,0.998637471311116,0.13141229330739548
60.0,0.0007396996328557835,0.9986353756957861,0.12852671547727143
63.0,0.0007819444134908682,0.9985962293879153,0.12570448493246925
66.0,0.0008479066258391854,0.9985178699466057,0.1229442014294404
69.0,0.0009426105680833508,0.9983950666819,0.12024449464421078
72.0,0.0010737314824354309,0.9982190110883989,0.11760402284067802
75.0,0.0012525897998315382,0.9979764151347704,0.11502147159976095
78.0,0.001495714082280414,0.9976481179026664,0.11249555250272707
81.0,0.0018272426311542159,0.9972070953793231,0.11002500196989877
84.0,0.002282639784120238,0.9966157787655,0.10760858059600077
87.0,0.0029144927364778187,0.9958226587688669,0.10524507388926557
90.0,0.003801578462765181,0.9947585032125604,0.10293329656158506
93.0,0.0050632631353298655,0.9933331727589637,0.10067210534691198
96.0,0.006882465590762566,0.9914353699575918,0.0984604317896344
99.0,0.009542536652346917,0.9889398288476475,0.09629736129043388
102.0,0.01348650744397752,0.9857283862237732,0.09418231830346943
