Time,CDK1_active,a1,b1,k1,n1,compartment,R1_Cdk1_activation_by_cyclin_synthesis,R2_Cdk1_inactivation_by_APC_active
0.0,0.0,0.1,1.0,0.5,8.0,1.0,0.1,0.0
0.2,0.019999999999988013,0.1,1.0,0.5,8.0,1.0,0.1,1.3107199999843403e-13
0.4,0.039999999986414465,0.1,1.0,0.5,8.0,1.0,0.1,6.710886368227532e-11
0.6,0.059999998650272654,0.1,1.0,0.5,8.0,1.0,0.1,2.579889542747291e-09
0.8,0.07999995597639184,0.1,1.0,0.5,8.0,1.0,0.1,3.435955343916214e-08
1.0,0.09999992262709903,0.1,1.0,0.5,8.0,1.0,0.1,2.559975619841767e-07
1.2,0.11999976643011799,0.1,1.0,0.5,8.0,1.0,0.1,1.3208660917932172e-06
1.4,0.13999921158897288,0.1,1.0,0.5,8.0,1.0,0.1,5.288760104395307e-06
1.6,0.1599970272619029,0.1,1.0,0.5,8.0,1.0,0.1,1.758731110103727e-05
1.8,0.17999059034518292,0.1,1.0,0.5,8.0,1.0,0.1,5.0741783396596014e-05
2.0,0.19997335253854562,0.1,1.0,0.5,8.0,1.0,0.1,0.00013082926169907206
2.2,0.21993147794534537,0.1,1.0,0.5,8.0,1.0,0.1,0.00030776436834880104
2.4,0.23983751337387677,0.1,1.0,0.5,8.0,1.0,0.1,0.0006703143009122915
2.6,0.25964076664552493,0.1,1.0,0.5,8.0,1.0,0.1,0.0013655442315352831
2.8,0.2792536519975914,0.1,1.0,0.5,8.0,1.0,0.1,0.002619011578458921
3.0,0.2985345167409145,0.1,1.0,0.5,8.0,1.0,0.1,0.004744961910423267
3.2,0.3172718800081952,0.1,1.0,0.5,8.0,1.0,0.1,0.008125622006001202
3.4,0.33517586762005697,0.1,1.0,0.5,8.0,1.0,0.1,0.01313217614685659
3.6,0.35189603601267616,0.1,1.0,0.5,8.0,1.0,0.1,0.019979466877626487
3.8,0.3670684545876652,0.1,1.0,0.5,8.0,1.0,0.1,0.028561685332148663
4.0,0.3803894246569018,0.1,1.0,0.5,8.0,1.0,0.1,0.0383800432652429
4.2,0.3916871422423248,0.1,1.0,0.5,8.0,1.0,0.1,0.04865125474063062
4.4,0.40095408839258456,0.1,1.0,0.5,8.0,1.0,0.1,0.058551056555575264
4.6,0.4083335394426843,0.1,1.0,0.5,8.0,1.0,0.1,0.06744798614992303
4.8,0.41406471820020246,0.1,1.0,0.5,8.0,1.0,0.1,0.0750010062003569
5.0,0.418427829963401,0.1,1.0,0.5,8.0,1.0,0.1,0.08113550159330336
5.2,0.421699253796029,0.1,1.0,0.5,8.0,1.0,0.1,0.08595501093256001
5.4,0.4241217872059228,0.1,1.0,0.5,8.0,1.0,0.1,0.08964573892475504
5.6,0.4259015367732867,0.1,1.0,0.5,8.0,1.0,0.1,0.09242324132388534
5.8,0.42720021766861727,0.1,1.0,0.5,8.0,1.0,0.1,0.09448525167897265
6.0,0.42814367645485096,0.1,1.0,0.5,8.0,1.0,0.1,0.09600188511751281
6.2,0.4288266539492696,0.1,1.0,0.5,8.0,1.0,0.1,0.09710956028043873
6.4,0.42931992530536894,0.1,1.0,0.5,8.0,1.0,0.1,0.09791466178604852
6.6,0.42967554634990807,0.1,1.0,0.5,8.0,1.0,0.1,0.09849774480990213
6.8,0.4299315853411103,0.1,1.0,0.5,8.0,1.0,0.1,0.0989189248611657
7.0,0.430115775917415,0.1,1.0,0.5,8.0,1.0,0.1,0.099222626239859
7.2,0.4302481907410713,0.1,1.0,0.5,8.0,1.0,0.1,0.09944132487583107
7.4,0.4303433271765351,0.1,1.0,0.5,8.0,1.0,0.1,0.09959864351102121
7.6,0.4304116734133631,0.1,1.0,0.5,8.0,1.0,0.1,0.09971175943998173
7.8,0.430460785709079,0.1,1.0,0.5,8.0,1.0,0.1,0.09979309289091329
8.0,0.4304960194228511,0.1,1.0,0.5,8.0,1.0,0.1,0.09985146844344454
