Time,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,compartment_0,reaction_0,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23,reaction_24,reaction_25,reaction_26,reaction_27,reaction_28,reaction_29,reaction_30,reaction_31,reaction_32,reaction_33,reaction_34,reaction_35,reaction_36,reaction_37,reaction_38,reaction_39,reaction_40,reaction_41,reaction_42,reaction_43,reaction_44,reaction_45,reaction_46,reaction_47,reaction_48,reaction_49,reaction_50,reaction_51,reaction_52,reaction_53,reaction_54,reaction_55,reaction_56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0177171062247958,2.828655149486505e-05,1.2792369010090663e-07,7.542733312425707e-08,2.914560016282187e-19,5.645359737310093e-17,2.9816395735332246e-22,6.135512318335228e-17,1.1814951260917216e-19,9.55536367290086e-22,2.5031037862997986e-41,3.7548435002837947e-44,1.2592156619772117e-44,2.561271918213508e-10,5.621389776881804e-49,2.442425767735366e-56,4.112324170309602e-17,1.1133662426744765e-19,7.653063453467842e-23,1.0,1.8,0.005669473991934656,0.000354342124495916,3.936387537228957e-05,2.2599070262642338e-05,1.8065151159392298e-16,1.1290719474620186e-18,3.476612345465829e-19,1.3914318009821713e-21,3.792855054825039e-14,7.362614782002273e-17,1.0829412162620973e-20,1.1274704980596946e-18,2.75382952163685e-38,5.971619370894151e-41,1.7522603001324374e-43,2.001979342775048e-41,1.1242779553763608e-50,2.5584738020181326e-09,5.122543836427016e-12,3.476783800256286e-14,3.0040930305619367e-44,1.2271024636670455e-18,9.49787907260835e-52,0.0551383645749946,2.822679868655046e-16,4.499375700112501e-16,2.3629902521834435e-21,5.829120032564374e-21,1.911072734580172e-23,5.9632791470664494e-24,7.50968700056759e-46,5.006207572599597e-43,2.6233152292115088e-48,5.65731029897301e-07,1.2792363555269492e-06,1.0496844776985071e-07,2.561271916026804e-09,4.884851535470732e-58,1.3026270761255287e-55,1.5085466624851415e-09,2.5584705291282216e-07,1.0245087646613576e-09,5.963279147066449e-22,5.7332182037405156e-21,1.1242779553763608e-48,2.5184313239544233e-46,7.509687000567589e-44,2.528570036550026e-14,8.224648340619205e-19,1.6449296681238404e-16,6.990951089526324e-17,8.903868716014426e-20,1.6329371559225657e-18,2.226732485348953e-21,2.0408169209247581e-22,1.5306126906935684e-24
0.02,0.03490990336785338,0.00011118809144863487,9.805860249537804e-07,5.928563302316171e-07,5.0856987920517894e-17,6.160164397357879e-15,1.3176174693733597e-19,6.680264176445045e-15,2.0330754804710656e-17,4.141386784005448e-19,1.1711100712305625e-36,3.5815644758255344e-39,1.2030447228058934e-39,3.93096742812915e-09,1.2445899913400668e-42,3.4473509988688214e-49,4.491607022386072e-15,1.9091746521850172e-17,3.352228303894643e-20,1.0,1.8,0.01117116907771308,0.0006981980673570675,0.00015471781833911987,8.871333062681526e-05,1.9712526071545214e-14,1.2320328794715758e-16,6.06643991099617e-17,6.148881523742345e-19,2.3431908553023803e-12,8.016317011734054e-15,4.693571688539508e-18,1.940111790509168e-16,8.267003171860525e-34,2.793900766355219e-36,1.6713967553852495e-38,9.364068390953277e-37,2.4891799826801334e-44,1.9611720499075608e-08,7.8619348562583e-11,2.147924950693849e-12,2.870086813851038e-39,1.336052835289009e-16,7.131637324472376e-46,0.10435005969460269,3.080082198678892e-14,4.898860396059591e-14,4.0661509609421315e-19,1.017139758410358e-18,8.282773568010896e-21,2.6352349387467195e-21,7.163128951651069e-41,2.342220142461125e-38,5.808086626253645e-42,2.2237618289726973e-06,9.805828198010824e-06,8.25048084681197e-07,3.9309673766208015e-08,6.894701997737644e-51,1.838587199396705e-48,1.1857126604632343e-08,1.9611528191170883e-06,1.572386909441643e-08,2.6352349387467194e-19,2.4848320704032684e-18,2.4891799826801335e-42,2.406089445611787e-41,7.163128951651069e-39,1.5621272368682537e-12,8.983214044772144e-17,1.7966428089544082e-14,7.635731938056322e-15,1.525998830426456e-17,2.8001228232046923e-16,3.8183493043700346e-19,8.939275477052381e-20,6.704456607789286e-22
0.03,0.051632615201630865,0.0002459628502731835,3.173152573316071e-06,1.966553255513957e-06,1.2290341215998088e-15,1.0089150343204049e-13,4.878041895126833e-18,1.0910577562489908e-13,4.853949861266861e-16,1.4984757312883342e-17,1.1504358473044221e-33,5.647248009467019e-36,1.901418682248122e-36,1.9100554637147742e-08,4.729620478534492e-39,4.5565728886602625e-45,7.365232811383757e-14,4.543984422110593e-16,1.2281632896068404e-18,1.0,1.8,0.016522436864521876,0.0010326523040326172,0.00034221055596294096,0.00019598365891634122,3.228528109825296e-13,2.01783006864081e-15,1.4660446778526526e-15,2.2764195510591887e-17,2.5782211378206645e-11,1.309269307498789e-13,1.698272495460112e-16,4.631999867610522e-15,4.767934259836087e-31,2.744578562157667e-33,2.635382404417942e-35,9.195881103706383e-34,9.459240957068983e-41,6.346305146632142e-08,3.8201109274295485e-10,2.3633693763356096e-11,4.53618771112872e-36,2.1821155124979818e-15,3.738329785092371e-42,0.14862168387053581,5.044575171600752e-13,8.001090212489691e-13,9.707899722533723e-18,2.4580682431996175e-17,2.9969514625766684e-19,9.756083790253666e-20,1.1294496018934037e-37,2.3008716946088442e-35,2.2071562233160963e-38,4.9192570054636695e-06,3.173119010680224e-05,2.7367486836555727e-06,1.9100553421043863e-07,9.113145777320524e-47,2.4301722072854733e-44,3.9331065110279144e-08,6.346103775076899e-06,7.640220395534625e-08,9.756083790253666e-18,8.990854387730003e-17,9.459240957068983e-39,3.8028373644962443e-38,1.1294496018934039e-35,1.7188140918804433e-11,1.4730465622767513e-15,2.9460931245529605e-13,1.2520895779352385e-13,3.6302748845300473e-16,6.664510485762194e-15,9.087968844221187e-18,3.2751021056182414e-18,2.4563265792136807e-20
0.04,0.06793072393712342,0.0004300993229744998,7.21632026145792e-06,4.582954690517056e-06,1.18128336642586e-14,7.278857028448097e-13,6.199235076829357e-17,7.849141264895915e-13,4.613380822108126e-15,1.8660580256845706e-16,1.1938985902145324e-31,7.310220959202305e-34,2.46463690620177e-34,5.797592008367117e-08,8.141851422010014e-37,1.5418326310430403e-42,5.32022531757616e-13,4.306155821372762e-15,1.5464321832969668e-17,1.0,1.8,0.021737831659879494,0.0013586144787424684,0.0005982919753387331,0.00034224627650339303,2.3292342491033913e-12,1.4557714056896193e-14,1.4090855265517049e-14,2.8929763691870326e-16,1.400231579607125e-10,9.418969517875097e-13,2.1148657624425125e-15,4.402431003204552e-14,4.3549924281546525e-29,2.8482670144283076e-31,3.411436447627742e-33,9.541330174091453e-32,1.6283702844020027e-38,1.443264052291584e-07,1.1595184016734234e-09,1.2835456146398648e-10,5.879849478016151e-34,1.569828252979183e-14,1.1292235604436762e-39,0.18872439145527617,3.6394285142174256e-12,5.756036927575279e-12,9.226761644216251e-17,2.3625667328517197e-16,3.732116051369141e-18,1.2398470153658714e-18,1.4620441918404611e-35,2.387797180429065e-33,3.7995306636046726e-36,8.601986459489997e-06,7.216146681372898e-05,6.3778402955971975e-06,5.797590887964897e-07,3.0836652620860805e-44,8.223107365562881e-42,9.165909381034111e-08,1.4431599092506475e-05,2.3190354588647025e-07,1.2398470153658706e-16,1.1196348154107403e-15,1.6283702844020028e-36,4.9292738124035403e-36,1.462044191840461e-33,9.334877197380834e-11,1.064045063515232e-14,2.1280901270276335e-12,9.044383039879471e-13,3.438738928365022e-15,6.315695204679961e-14,8.612311642745525e-17,4.123819155458579e-17,3.0928643665939334e-19
0.05,0.0838428227151131,0.0006612848223633061,1.3530793353825076e-05,8.803008270920756e-06,6.790857327274922e-14,3.3477200468756567e-12,4.434558314453927e-16,3.5998534369317255e-12,2.6226246751431295e-14,1.3082474278953362e-15,4.474504022386157e-30,3.2285940727252427e-32,1.0916952126479849e-32,1.36016846841541e-07,5.541071440353188e-35,1.9190346456004604e-40,2.4498979064432635e-12,2.4407114537071908e-14,1.0961002848393509e-16,1.0,1.8,0.026829703268836193,0.001676856454302262,0.0009196725505063961,0.0005255066545822765,1.0712704150002102e-11,6.695440093751313e-14,8.10042623531745e-14,2.069460546745163e-15,5.166196973414551e-10,4.319824124318071e-12,1.4826804182813746e-14,2.5027034673333386e-13,1.4229997977420643e-27,1.0674761087203555e-29,1.5066772339384466e-31,3.575236437058333e-30,1.1082142880706376e-36,2.7061586707650154e-07,2.7203369368308198e-09,4.735680558963338e-10,2.604441859199964e-32,7.199706873863452e-14,9.606363916973603e-38,0.22527082021804368,1.6738600234238193e-11,2.6398925203849218e-11,5.245249350286259e-16,1.3581714654549845e-15,2.6164948557906726e-17,8.869116628907853e-18,6.457188145450486e-34,8.949008044772314e-32,2.585833338831488e-34,1.3225696447266122e-05,0.0001353018310678622,1.2250600136336713e-05,1.360167851729602e-06,3.838069291200921e-42,1.0234851443202457e-39,1.7606016541841513e-07,2.7057925555657383e-05,5.440666473438656e-07,8.869116628907815e-16,7.849484567371914e-15,1.1082142880706376e-34,2.1833904252959697e-34,6.457188145450485e-32,3.4441313156097e-10,4.899795812886527e-14,9.799591625713033e-12,4.164826440953548e-12,1.9481847618263955e-14,3.579710132103589e-13,4.881422907414382e-16,2.922934092904935e-16,2.192200569678702e-18
0.06,0.09940199319707081,0.0009373799903058836,2.2459790469062286e-05,1.4964216362852533e-05,2.8238061603892923e-13,1.1579325446233529e-11,2.2028925040204297e-15,1.2416376129459444e-11,1.078606284267409e-13,6.369549079114235e-15,8.995213421022745e-29,7.517821391905837e-31,2.549685348856747e-31,2.711893244536417e-07,1.7585758953040913e-33,1.0048990211219762e-38,8.48430195039377e-12,1.000808318676273e-13,5.395157028816459e-16,1.0,1.8,0.03180863782306266,0.0019880398639414163,0.0013032905645442136,0.000743918305699566,3.70538414279473e-11,2.3158650892467057e-13,3.368357248972365e-13,1.028016501876193e-14,1.4928518080998372e-09,1.489965135535133e-11,7.218822289662646e-14,1.0292863150065623e-12,2.4330219707507222e-26,2.1459753688324642e-28,3.508316649556057e-30,7.18597199542277e-29,3.5171517906081825e-35,4.4919580938124573e-07,5.423786489072834e-09,1.3684474907581842e-09,6.082748347173153e-31,2.4832752258918887e-13,3.813394523706506e-36,0.2587546564020201,5.7896627229491625e-11,9.105342494560076e-11,2.157212568534818e-15,5.647612320778585e-15,1.273909815822847e-16,4.40578500804086e-17,1.5035642783811674e-32,1.799042684204549e-30,8.206687511419093e-33,1.8747599806117672e-05,0.00022458109120978325,2.0824643422985768e-05,2.7118907930836434e-06,2.0097980422439526e-40,5.359461445983873e-38,2.9928432725705067e-07,4.4909494359790646e-05,1.0847543560765565e-06,4.405785008040762e-15,3.821729447468297e-14,3.517151790608183e-33,5.099370697713494e-33,1.5035642783811674e-30,9.95234538733225e-10,1.696860390078754e-13,3.3937207800855245e-11,1.4423313315669409e-11,7.984885921294918e-14,1.4678522007247109e-12,2.001616637352546e-15,1.4387085410177198e-15,1.0790314057632919e-17
0.07,0.11463684863914461,0.0012563978917395462,3.427986167020893e-05,2.3382432502341237e-05,9.38002833249547e-13,3.2899011951467526e-11,8.501683616857921e-15,3.517843923835092e-11,3.544066432069019e-13,2.410276692870959e-14,1.1264865718322447e-27,1.0738970073793993e-29,3.651531191908801e-30,4.833449396860228e-07,3.085021385237407e-32,2.687777262393289e-37,2.4135077764680133e-11,3.278632381308813e-13,2.063477916091227e-15,1.0,1.8,0.03668379156452627,0.002292736972782892,0.0017462853074122822,0.0009957653403907005,1.0527683824469608e-10,6.579802390293506e-13,1.1188900595411601e-12,3.967452354533584e-14,3.644920992641355e-09,4.22141270860211e-11,2.731646918586867e-13,3.3820117045577133e-12,2.6549695373169537e-25,2.6874431137150962e-27,5.0115193677705296e-29,8.997286449890322e-28,6.170042770474814e-34,6.855972334041786e-07,9.666898793720457e-09,3.3411775765879096e-09,8.71140642204883e-30,7.035687847670185e-13,8.532792607975332e-35,0.2895787653467932,1.644950597438083e-10,2.579752210509896e-10,7.088132864138038e-15,1.876005666499094e-14,4.820553385741918e-16,1.7003367233715843e-16,2.1477940147587986e-31,2.2529731436644894e-29,1.4396766464441234e-31,2.5127957834790925e-05,0.0003427594508802149,3.25394082035405e-05,4.833441609461751e-06,5.375554524786578e-39,1.4334812066097542e-36,4.6764865004682473e-07,6.853622921584869e-05,1.9333704138960305e-06,1.7003367233714397e-14,1.4461660157222265e-13,6.170042770474814e-32,7.303062383817603e-32,2.1477940147587988e-29,2.4299473284275704e-09,4.827015552936027e-13,9.654031105289551e-11,4.1029632199956224e-11,2.614651993382686e-13,4.808660825914338e-12,6.557264762617626e-15,5.502607776243235e-15,4.1269558321824545e-17
0.08,0.12957233510980487,0.0016164866468125127,4.921025398247335e-05,3.4353451945284095e-05,2.6434759535180226e-12,8.094395779858897e-11,2.728231362146319e-14,8.631120853053401e-11,9.880643418364578e-13,7.584766122537295e-14,1.0426080698253465e-26,1.1527599327430611e-28,3.9286063711824433e-29,7.937034111000695e-07,3.85481068005682e-31,5.219755474014746e-36,5.945412141457405e-11,9.113241819105924e-13,6.562640086640039e-15,1.0,1.8,0.04146314723513756,0.0025914467021960976,0.002245974867946725,0.0012794479366718965,2.590206649554847e-10,1.6188791559717795e-12,3.1532516344068504e-12,1.2731746356681664e-13,7.86773104458746e-09,1.0357345023664081e-10,8.596068272206762e-13,9.428844613937055e-12,2.085369030259329e-24,2.4873353554481425e-26,5.379546352800952e-28,8.325150133118043e-27,7.70962136011364e-33,9.84205079649467e-07,1.5874068222001392e-08,7.21208679087184e-09,9.372420766240421e-29,1.7262241706106803e-12,1.348567950748727e-33,0.3180755951079281,4.0471978891104575e-10,6.329488623751476e-10,1.9761286836729157e-14,5.286951907036045e-14,1.516953224507459e-15,5.456462724292638e-16,2.3055198654861223e-30,2.085216139650693e-28,1.7989116506931826e-30,3.2329732936250254e-05,0.000492021831427102,4.780635229639307e-05,7.937013112219425e-06,1.0439510948029492e-37,2.783869586141198e-35,6.870690389056819e-07,9.837209880527674e-05,3.174788445996087e-06,5.456462724291149e-14,4.550859673518925e-13,7.70962136011364e-31,7.857212742364887e-31,2.3055198654861223e-28,5.245154029724975e-09,1.1890824282914811e-12,2.378164856229483e-10,1.0107200640477588e-10,7.264342894938179e-13,1.3366088001314754e-11,1.8226483638211848e-14,1.7500373564373057e-14,1.312528017328008e-16
0.09,0.14423035675642804,0.002015914853725144,6.742102767546483e-05,4.815442860155864e-05,6.570282239592558e-12,1.784361966463362e-10,7.600734237238263e-14,1.8974178851556635e-10,2.4297425219640593e-12,2.0726349837963837e-13,7.116965104845138e-26,8.938990080749868e-28,3.0505879973116407e-28,1.2244223026975705e-06,3.243003477242233e-30,5.986716781779881e-35,1.3122308991913668e-10,2.2343099050287516e-12,1.812175214907814e-14,1.0,1.8,0.04615371416205697,0.0028846071351285607,0.0027998375359229795,0.0015934701115394919,5.709958292682759e-10,3.568723932926724e-12,7.837314798667572e-12,3.5470093107102907e-13,1.545899319337553e-08,2.276901462186796e-10,2.348986314967612e-12,2.3186409752284918e-11,1.2742807450655254e-23,1.697884319247349e-25,4.171528704349938e-27,5.681369731886865e-26,6.486006954484466e-32,1.3484205535092966e-06,2.448844605395141e-08,1.4170743760594238e-08,7.277744725196757e-28,3.7948357703113274e-12,1.4677958757367955e-32,0.3445222440380561,8.921809828336874e-10,1.3914397815674392e-09,4.8594850439281186e-14,1.3140564479185117e-13,4.145269967592768e-15,1.5201468474476526e-15,1.7877980161499734e-29,1.4233930209690276e-27,1.513401622713042e-29,4.0318297074502885e-05,0.0006740587909666461,6.701090772386738e-05,1.2244173053513822e-05,1.1973433563559763e-36,3.1929156169492704e-34,9.63088572031173e-07,0.0001347512047039132,4.897629243125526e-06,1.5201468474464972e-13,1.2435809902752526e-12,6.486006954484466e-30,6.101175994623281e-30,1.7877980161499735e-27,1.0305995462250355e-08,2.6244617983827336e-12,5.248923595043517e-10,2.2307925286253235e-10,1.78019922316337e-12,3.27698786068443e-11,4.468619810057503e-14,4.8324672397538805e-14,3.6243504298156284e-16
