E,E_M,E_P2,E_P_1,E_P_2,M,P,P2,T,Time
0.00015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8.896439693099951e-05,1.0474935396491651e-09,1.2294724686347289e-12,5.676754989396299e-05,4.267004375113619e-06,3.11852926938896e-05,0.9999069501889603,8.283363940005888e-07,7.131937189477971e-10,0.01
8.114041258118413e-05,3.4748678143219194e-09,6.1279376074656484e-12,6.304443845533431e-05,5.811667903729157e-06,8.1465031340444e-05,0.9998471816983561,2.4883844167787964e-06,5.3395151141726565e-09,0.02
7.995895296765112e-05,6.316150358877714e-09,1.4901426044229254e-11,6.345016095573737e-05,6.58455495231318e-06,0.0001336665687235761,0.9997917737571851,4.5030941776815495e-06,1.5583900418139482e-08,0.03
7.968417853566934e-05,9.267972915543624e-09,2.7046753214761926e-11,6.329438081868516e-05,7.012145552886384e-06,0.00018587037260850677,0.9997370764081034,6.705509547741253e-06,3.194069228528753e-08,0.04
7.95762249351794e-05,1.2239374700246862e-08,4.184169261222763e-11,6.31571912533933e-05,7.2543025214571796e-06,0.00023793915597328323,0.999682569417254,9.013178727821464e-06,5.4526470396772195e-08,0.05
7.952054325134142e-05,1.5210866400439537e-08,5.861240999206954e-11,6.307209568480118e-05,7.392091511052226e-06,0.00028991092919208785,0.9996281456928102,1.1380618547678373e-05,8.335710907243084e-08,0.06
7.948968500166613e-05,1.818085336122027e-08,7.681347848770598e-11,6.302154118351448e-05,7.470516073973597e-06,0.00034182172077468675,0.9995737675181265,1.3782069745050553e-05,1.1843078981817535e-07,0.07
7.947235443749247e-05,2.1149731070622074e-08,9.602874948997645e-11,6.299130608613623e-05,7.515093642565946e-06,0.0003936937224939629,0.9995194160748008,1.6202866426257466e-05,1.5974510434567818e-07,0.08
7.946270040034253e-05,2.411809615669497e-08,1.1595299123697118e-10,6.297270174398134e-05,7.540363732533077e-06,0.00044553981958630047,0.9994650809924356,1.8634643887118402e-05,2.0729890060633863e-07,0.09
7.945734813367238e-05,2.708621316227919e-08,1.3636714023299969e-10,6.29608131941456e-05,7.55461601794037e-06,0.0004973673423482678,0.9994107563349698,2.1072633553802896e-05,2.6109154755054846e-07,0.1
7.945453060207167e-05,3.005410253350782e-08,1.571168949812482e-10,6.295267469590077e-05,7.562583408697655e-06,0.0005491805419001407,0.9993564388094817,2.3514110598735233e-05,3.2112282345251854e-07,0.11
7.945311970767887e-05,3.3021692750001674e-08,1.7809461692999842e-10,6.294670297619557e-05,7.566977454850428e-06,0.0006009818063316064,0.9993021264596924,2.5957515564808502e-05,3.873923367318513e-07,0.12
7.945249229625801e-05,3.598897564300308e-08,1.9922618848598587e-10,6.294199302807288e-05,7.569326399932041e-06,0.0006527724872093171,0.999247818190495,2.8401969360215708e-05,4.5989944323217557e-07,0.13
7.945233323591141e-05,3.895592494793353e-08,2.2046115634381633e-10,6.293798209995936e-05,7.57050820412051e-06,0.0007045533789664105,0.9991935133985543,3.0846966351902486e-05,5.386435724665976e-07,0.14
7.945242670960191e-05,4.192243740828054e-08,2.417650723279879e-10,6.293438427586778e-05,7.571024738141146e-06,0.0007563249215853527,0.9991392117173533,3.329221801320048e-05,6.236239754781953e-07,0.15
