Time,E,E_P_1,P,M,E_M,T,E_P_2,P2,E_P2,k1,k2,k3a,k4a,k5,k6,k7a,k8a,j1,j3a,j5,j7a,compartment,r1,r2,r5,r7,r8,r9,r12,r14
0.0,0.00015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8,82.4,151.5,209.9,5.16,32.3,4.7,42.6,33.4,0.185,21.8,2.66e-05,1.0,0.013769999999999998,0.0,0.0,0.0,0.000774,0.0,0.0,0.0
0.01,8.896439693099951e-05,5.676754989396299e-05,0.9999069501889603,3.11852926938896e-05,1.0474935396491651e-09,7.131937189477971e-10,4.267004375113619e-06,8.283363940005888e-07,1.2294724686347289e-12,91.8,82.4,151.5,209.9,5.16,32.3,4.7,42.6,33.4,0.185,21.8,2.66e-05,1.0,0.006270135540361676,0.004677646111262551,4.201248984758968e-07,2.1986889397235976e-07,0.0003659928776856104,0.00013782424131616986,3.463544717128599e-10,5.237552716383945e-11
0.02,8.114041258118413e-05,6.304443845533431e-05,0.9998471816983561,8.1465031340444e-05,3.4748678143219194e-09,5.3395151141726565e-09,5.811667903729157e-06,2.4883844167787964e-06,6.1279376074656484e-12,91.8,82.4,151.5,209.9,5.16,32.3,4.7,42.6,33.4,0.185,21.8,2.66e-05,1.0,0.005341867334408374,0.005194861728719548,1.0007882469206127e-06,7.293747542261709e-07,0.0002919261859589805,0.00018771687329045177,9.489699667155575e-10,2.610501420780366e-10
0.03,7.995895296765112e-05,6.345016095573737e-05,0.9997917737571851,0.0001336665687235761,6.316150358877714e-09,1.5583900418139482e-08,6.58455495231318e-06,4.5030941776815495e-06,1.4901426044229254e-11,91.8,82.4,151.5,209.9,5.16,32.3,4.7,42.6,33.4,0.185,21.8,2.66e-05,1.0,0.005219468077602476,0.00522829326275276,1.6180391027938403e-06,1.3257599603284323e-06,0.00026895898766249614,0.0002126811249597157,1.6922942727641375e-09,6.348007494841663e-10
0.04,7.968417853566934e-05,6.329438081868516e-05,0.9997370764081034,0.00018587037260850677,9.267972915543624e-09,3.194069228528753e-08,7.012145552886384e-06,6.705509547741253e-06,2.7046753214761926e-11,91.8,82.4,151.5,209.9,5.16,32.3,4.7,42.6,33.4,0.185,21.8,2.66e-05,1.0,0.005199051982160158,0.005215456979459658,2.2421410102579114e-06,1.945347514972607e-06,0.0002581974818028709,0.00022649230135823019,2.511317474438157e-09,1.152191686948858e-09
0.05,7.95762249351794e-05,6.31571912533933e-05,0.999682569417254,0.00023793915597328323,1.2239374700246862e-08,5.4526470396772195e-08,7.2543025214571796e-06,9.013178727821464e-06,4.184169261222763e-11,91.8,82.4,151.5,209.9,5.16,32.3,4.7,42.6,33.4,0.185,21.8,2.66e-05,1.0,0.0051933283998458635,0.005204152559279608,2.8662821348678875e-06,2.5690447495818162e-06,0.0002523391844720971,0.00023431397144306688,3.3710021547936224e-09,1.782456105280897e-09
0.06,7.952054325134142e-05,6.307209568480118e-05,0.9996281456928102,0.00028991092919208785,1.5210866400439537e-08,8.335710907243084e-08,7.392091511052226e-06,1.1380618547678373e-05,5.861240999206954e-11,91.8,82.4,151.5,209.9,5.16,32.3,4.7,42.6,33.4,0.185,21.8,2.66e-05,1.0,0.005190663343412423,0.005197140684427618,3.489847989170103e-06,3.1927608574522588e-06,0.00024902582674434995,0.00023876455580698687,4.253465397313974e-09,2.4968886656621624e-09
0.07,7.948968500166613e-05,6.302154118351448e-05,0.9995737675181265,0.00034182172077468675,1.818085336122027e-08,1.1843078981817535e-07,7.470516073973597e-06,1.3782069745050553e-05,7.681347848770598e-11,91.8,82.4,151.5,209.9,5.16,32.3,4.7,42.6,33.4,0.185,21.8,2.66e-05,1.0,0.005189123323954324,0.0051929749935215935,4.113088630160935e-06,3.8161611205201345e-06,0.0002471346977936494,0.00024129766918934716,5.149000155475262e-09,3.272254183576275e-09
0.08,7.947235443749247e-05,6.299130608613623e-05,0.9995194160748008,0.0003936937224939629,2.1149731070622074e-08,1.5974510434567818e-07,7.515093642565946e-06,1.6202866426257466e-05,9.602874948997645e-11,91.8,82.4,151.5,209.9,5.16,32.3,4.7,42.6,33.4,0.185,21.8,2.66e-05,1.0,0.00518814638419635,0.005190483621497626,4.736184008411122e-06,4.4393285517235736e-06,0.0002460512309075551,0.00024273752465488004,6.052093180230401e-09,4.090824728272997e-09
0.09,7.946270040034253e-05,6.297270174398134e-05,0.9994650809924356,0.00044553981958630047,2.411809615669497e-08,2.0729890060633863e-07,7.540363732533077e-06,1.8634643887118402e-05,1.1595299123697118e-10,91.8,82.4,151.5,209.9,5.16,32.3,4.7,42.6,33.4,0.185,21.8,2.66e-05,1.0,0.005187485597711273,0.005188950623704063,5.359213428042654e-06,5.062388383290274e-06,0.0002454282731749499,0.00024355374856081837,6.959564799715505e-09,4.939597426694973e-09
