Time,lacz,IPTG,sigb,x,kbd,kbs,kbx,kxd,kxs,kzd,kzs,compartment,v1,v2,v3
0.0,0.0,1000.0,0.0,0.0,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,100000.0,0.0,0.0
0.8,0.05365335757547598,1000.0,79999.79614542097,0.06399990952862376,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,99999.56945770507,0.1332096788532909,0.15999959229083424
1.6,0.21168753618112338,1000.0,159998.15533256464,0.2559986179911849,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,99996.55849025241,0.2609891121839415,0.31999631066509854
2.4,0.4698456098824648,1000.0,239991.98541139674,0.5759916277792263,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,99988.38700460267,0.3835544034854863,0.47998397082272437
3.2,0.8240386094187142,1000.0,319976.13033685583,1.0239678426151637,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,99972.47594163741,0.5011094138828818,0.6399522606735887
4.0,1.2703359255697948,1000.0,399943.3714601387,1.5999062662308132,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,99946.24844021298,0.6138462633526065,0.7998867429200854
4.8,1.8049561104973466,1000.0,479884.42991320905,2.3037727039416125,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,99907.13146601313,0.7219458131065933,0.9597688598261416
5.6,2.4242580548805486,1000.0,559787.9704875599,3.135516469161125,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,99852.5579035708,0.8255781309750634,1.1195759409747434
6.4,3.12473253779561,1000.0,639640.607367714,4.095067097519979,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,99779.96910882507,0.9249029405597422,1.2792812147349366
7.2,3.902994124602639,1000.0,719426.9121089542,5.182331072073371,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,99686.81791830444,1.0200700561058849,1.4388538242172864
8.0,4.755773406327637,1000.0,799129.4242805053,6.397188564440094,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,99570.5721094301,1.1112198041478218,1.598258848560243
8.8,5.679909549942423,1000.0,878728.6658313868,7.739490205298601,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,99428.7183035791,1.1984834353163518,1.7574573316618447
9.6,6.672343253479792,1000.0,958203.1558439421,9.209053842517744,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,99258.76630826577,1.2819835157537525,1.9164063116867789
