Time,lacz,IPTG,sigb,x,kbd,kbs,kbx,kxd,kxs,kzd,kzs,compartment,v1,v2,v3
0.0,0.0,100.0,0.0,0.0,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,10000.0,0.0,0.0
0.8,0.005365337847655726,100.0,7999.9873559505095,0.006399993430113198,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9999.995652811285,0.013320980937037768,0.01599997471190025
1.6,0.02116882002727376,100.0,15999.939394505353,0.025599941070429937,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9999.96550100988,0.026099118329240865,0.03199987878900763
2.4,0.04698506215435451,100.0,23999.825575758394,0.05759976473599273,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9999.883740519235,0.03835648024676284,0.04799965115150987
3.2,0.08240595863516195,100.0,31999.594699753492,0.10239932084966721,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9999.724568514115,0.05011420114055252,0.0639991893994947
4.0,0.1270399507588075,100.0,39999.17490870606,0.1599983673878195,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9999.462184579475,0.061392519905342315,0.07999834981739293
4.8,0.18051132495786382,100.0,47998.47369027467,0.23039653083018952,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9999.070792335688,0.07221081637565802,0.0959969473805217
5.6,0.2424595394332841,100.0,55997.377882301604,0.3135932731161717,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9998.524601529862,0.08258764634938195,0.11199475576456557
6.4,0.31253857874628577,100.0,63995.753679379326,0.4095878586100268,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9997.797830593016,0.092540775160138,0.12799150735870948
7.2,0.3904163342986626,100.0,71993.4466416446,0.518379321078521,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9996.864709662665,0.10208720990726536,0.14398689328322697
8.0,0.47577400984867985,100.0,79990.28170626497,0.6399664306862297,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9995.699484070223,0.1112432303885191,0.15998056341245312
8.8,0.5683055483661362,100.0,87986.06320295959,0.7743476610252735,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9994.276418292335,0.12002441892999223,0.17597212640582624
9.6,0.6677170916172099,100.0,95980.57486934622,0.9215211561275777,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9992.569800365836,0.12844568851379368,0.19196114973858186
10.4,0.7737264613669937,100.0,103973.57987019962,1.0814846975092534,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9990.553946764947,0.13652130978825572,0.20794715974026945
11.2,0.8860626497311385,100.0,111964.82082538013,1.2542356713135174,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9988.203207738281,0.14426493761712703,0.22392964165060972
12.0,1.0044653159894887,100.0,119954.01984742792,1.4397710355649032,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9985.49197310311,0.15168963730917406,0.23990803969468305
12.8,1.1286843552921224,100.0,127940.8785637698,1.6380872871833527,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,9982.394678501249,0.1588079070832183,0.255881757127343
