Time,lacz,IPTG,sigb,x,kbd,kbs,kbx,kxd,kxs,kzd,kzs,compartment,v1,v2,v3
0.0,0.0,200.0,0.0,0.0,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,20000.0,0.0,0.0
0.8,0.010730675228656898,200.0,15999.972991582457,0.012799986309723803,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,19999.982704047598,0.02664195897380002,0.03199994598316338
1.6,0.04233762497828751,200.0,31999.851264063407,0.051199864524819574,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,19999.862189804702,0.05219819065003684,0.06399970252812066
2.4,0.09397001265142994,200.0,47999.51180757746,0.11519939570111289,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,19999.53524236348,0.07671272941500733,0.0959990236151411
3.2,0.16481145108348663,200.0,63998.749009231695,0.20479807799502991,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,19998.898655860798,0.10022767785935258,0.12799749801843882
4.0,0.25407848877921346,200.0,79997.27466553684,0.31999501450793844,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,19997.849242774162,0.12278328551489352,0.1599945493310353
4.8,0.3610191567571792,200.0,95994.71800504584,0.46078878116682837,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,19996.283846945564,0.1444180244572046,0.19198943601003637
5.6,0.48491157727046247,200.0,111990.62571955813,0.6271772946270512,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,19994.099360330732,0.16516866170518477,0.22398125143904096
6.4,0.6250626320410648,200.0,127984.46200679996,0.8191576802155259,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,19991.192743470026,0.18507032854542457,0.25596892401350163
7.2,0.7808066704943225,200.0,143975.60864920344,1.0367261401057888,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,19987.46104967143,0.20415658783794105,0.28795121729828244
8.0,0.9515042868016259,200.0,159963.36509179603,1.2798778214115394,5.8e-09,100.0,8.4e-05,1.2e-13,2e-06,0.052,1.7e-06,1.0,19982.80145290206,0.22245949774236873,0.3199267301834385
