Time,Sulphate__PAPS,GSH,NAPQI,Paracetamol_APAP,Protein_adducts,P0,dG,bG,kGSH,kG,kS,bS,dS,k450,kN,kPSH,compartment,reaction_1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0.0,1.325e-14,6.87e-15,0.0,1.32e-13,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,4.158e-14,0.0,3.9468e-13,0.0,0.0,1.374e-14,1.374e-14,3.95274e-13,2.65e-14,2.65e-14
0.01,9.951217975131188e-15,6.478240742851744e-15,3.741677059157988e-18,1.2443251284066158e-13,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,3.91962415448084e-14,1.1786282736347662e-19,3.7205321339357817e-13,4.1158447650737865e-16,3.878317563396955e-14,1.2956481485703488e-14,1.374e-14,2.798456432143859e-13,1.9902435950262376e-14,2.65e-14
0.02,7.647731252276726e-15,6.112292436576829e-15,3.759452796327653e-18,1.1803457514076633e-13,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,3.718089116934139e-14,1.1842276308432106e-19,3.5292337967089137e-13,4.135398075960418e-16,3.676619982825779e-14,1.2224584873153658e-14,1.374e-14,2.0400945626863317e-13,1.5295462504553452e-14,2.65e-14
0.03,6.009478322681324e-15,5.772224055453059e-15,3.789516564641099e-18,1.1245998168415218e-13,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,3.542489423050794e-14,1.1936977178619462e-19,3.3625534523561503e-13,4.168468221105209e-16,3.499830187673471e-14,1.1544448110906118e-14,1.374e-14,1.5273663579461158e-13,1.2018956645362649e-14,2.65e-14
0.04,4.827291605047322e-15,5.455331711784184e-15,3.8257189498694876e-18,1.0748733244268162e-13,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,3.385850971944471e-14,1.2051014692088886e-19,3.2138712400361805e-13,4.2082908448564365e-16,3.339290545215472e-14,1.0910663423568368e-14,1.374e-14,1.1726522964618422e-13,9.654583210094645e-15,2.65e-14
0.05,3.9643129250398306e-15,5.159541776351653e-15,3.876809214340574e-18,1.0297011566474963e-13,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,3.243558643439613e-14,1.2211949025172809e-19,3.0788064583760143e-13,4.2644901357746314e-16,3.2004094560536353e-14,1.0319083552703306e-14,1.374e-14,9.225450185551062e-14,7.928625850079661e-15,2.65e-14
0.06,3.3286286666566928e-15,4.883171754337413e-15,3.927702892494694e-18,9.880852208295709e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,3.1124684456131486e-14,1.2372264111358287e-19,2.954374810280417e-13,4.3204731817441635e-16,3.068743651849512e-14,9.766343508674827e-15,1.374e-14,7.433069468006048e-14,6.6572573333133855e-15,2.65e-14
0.07,2.857223708416859e-15,4.624850167023798e-15,3.981268163302294e-18,9.493287862649878e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,2.990385676734712e-14,1.2540994714402225e-19,2.8384930709323137e-13,4.379394979632523e-16,2.946042996802423e-14,9.249700334047597e-15,1.374e-14,6.130125056349569e-14,5.714447416833718e-15,2.65e-14
0.08,2.5061142649423386e-15,4.383410822623721e-15,4.0362001219893604e-18,9.129343767315815e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,2.875743286704482e-14,1.2714030384266486e-19,2.7296737864274287e-13,4.4398201341882964e-16,2.8307717275205353e-14,8.766821645247442e-15,1.374e-14,5.170694373732166e-14,5.012228529884677e-15,2.65e-14
0.09,2.2441337393986448e-15,4.157842115574261e-15,4.091361995965538e-18,8.785393258751484e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,2.7673988765067174e-14,1.2887790287291443e-19,2.626832584366694e-13,4.500498195562092e-16,2.721797954701677e-14,8.315684231148522e-15,1.374e-14,4.4557250182420125e-14,4.4882674787972896e-15,2.65e-14
0.1,2.0489147069228717e-15,3.947249222140131e-15,4.145841866163073e-18,8.458740168001754e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,2.6645031529205524e-14,1.305940187841368e-19,2.5291633102325245e-13,4.56042605277938e-16,2.6183473730125088e-14,7.894498444280263e-15,1.374e-14,3.916859591890316e-14,4.097829413845743e-15,2.65e-14
0.11,1.9042130488084805e-15,3.750827154182188e-15,4.19857972906418e-18,8.147340109290644e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,2.566412134426553e-14,1.3225526146552166e-19,2.436054692677903e-13,4.618437701970598e-16,2.5197034970836513e-14,7.501654308364376e-15,1.374e-14,3.506225324917382e-14,3.808426097616961e-15,2.65e-14
0.12,1.7981144696934797e-15,3.567842144509648e-15,4.2487205757181634e-18,7.84961324567016e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,2.4726281723861004e-14,1.3383469813512214e-19,2.347034360455378e-13,4.67359263328998e-16,2.425402292846809e-14,7.135684289019295e-15,1.374e-14,3.1898777138293875e-14,3.5962289393869595e-15,2.65e-14
0.13,1.7217938256702174e-15,3.3976177539087326e-15,4.295384381485468e-18,7.564314465385011e-14,0.0,1.32e-13,2.0,1.374e-14,1.6e+18,2.99,226000000000000.0,2.65e-14,2.0,0.315,0.0315,110.0,1.0,2.3827590565962784e-14,1.3530460801679224e-19,2.2617300251501183e-13,4.724922819634015e-16,2.3350518775035693e-14,6.795235507817465e-15,1.374e-14,2.943466926875688e-14,3.443587651340435e-15,2.65e-14
