GSH,NAPQI,Paracetamol_APAP,Protein_adducts,Sulphate__PAPS,Time
6.87e-15,0.0,1.32e-13,0.0,1.325e-14,0.0
6.478240742851744e-15,3.741677059157988e-18,1.2443251284066158e-13,0.0,9.951217975131188e-15,0.01
6.112292436576829e-15,3.759452796327653e-18,1.1803457514076633e-13,0.0,7.647731252276726e-15,0.02
5.772224055453059e-15,3.789516564641099e-18,1.1245998168415218e-13,0.0,6.009478322681324e-15,0.03
5.455331711784184e-15,3.8257189498694876e-18,1.0748733244268162e-13,0.0,4.827291605047322e-15,0.04
5.159541776351653e-15,3.876809214340574e-18,1.0297011566474963e-13,0.0,3.9643129250398306e-15,0.05
4.883171754337413e-15,3.927702892494694e-18,9.880852208295709e-14,0.0,3.3286286666566928e-15,0.06
4.624850167023798e-15,3.981268163302294e-18,9.493287862649878e-14,0.0,2.857223708416859e-15,0.07
4.383410822623721e-15,4.0362001219893604e-18,9.129343767315815e-14,0.0,2.5061142649423386e-15,0.08
4.157842115574261e-15,4.091361995965538e-18,8.785393258751484e-14,0.0,2.2441337393986448e-15,0.09
3.947249222140131e-15,4.145841866163073e-18,8.458740168001754e-14,0.0,2.0489147069228717e-15,0.1
3.750827154182188e-15,4.19857972906418e-18,8.147340109290644e-14,0.0,1.9042130488084805e-15,0.11
3.567842144509648e-15,4.2487205757181634e-18,7.84961324567016e-14,0.0,1.7981144696934797e-15,0.12
3.3976177539087326e-15,4.295384381485468e-18,7.564314465385011e-14,0.0,1.7217938256702174e-15,0.13
3.2395248391523036e-15,4.337740244830315e-18,7.290443579910353e-14,0.0,1.6686592143516288e-15,0.14
3.0929740843028646e-15,4.375009681108718e-18,7.027181787371946e-14,0.0,1.6337481327116428e-15,0.15
2.9574101086019184e-15,4.406281886408012e-18,6.773846103755316e-14,0.0,1.6132958317094645e-15,0.16
2.8323075419124127e-15,4.4308647090495524e-18,6.529856675594095e-14,0.0,1.604426902982692e-15,0.17
2.717167349964175e-15,4.448060559117821e-18,6.294712776838295e-14,0.0,1.6049297911169e-15,0.18
2.6115139775439914e-15,4.4569262853501664e-18,6.067975396191167e-14,0.0,1.6130941684849538e-15,0.19
2.514894191891186e-15,4.457268967076226e-18,5.849254137847879e-14,0.0,1.6275893342179858e-15,0.2
2.426874010246004e-15,4.448207132974016e-18,5.6381973437731854e-14,0.0,1.6473732181865807e-15,0.21
2.3470385651434163e-15,4.4294073330360486e-18,5.43448485019832e-14,0.0,1.6716263561322173e-15,0.22
2.2749902760032795e-15,4.40065592040594e-18,5.237822356848015e-14,0.0,1.6997010949928825e-15,0.23
2.2103482993795893e-15,4.36172202663825e-18,5.0479370964512054e-14,0.0,1.7310830603791157e-15,0.24
2.152747555327916e-15,4.312580471932822e-18,4.864574414322912e-14,0.0,1.7653611751425163e-15,0.25
2.101838123167901e-15,4.2534452380131306e-18,4.687495227624537e-14,0.0,1.8022059248175815e-15,0.26
2.057284388209824e-15,4.1844535213038936e-18,4.516473983756992e-14,0.0,1.8413522680317007e-15,0.27
2.018765043116906e-15,4.1061499330245924e-18,4.351296984328541e-14,0.0,1.882585927759221e-15,0.28
1.985972213471716e-15,4.019020008617631e-18,4.191761052089285e-14,0.0,1.9257328490703133e-15,0.29
1.9586113185271642e-15,3.924020453534084e-18,4.037672434215861e-14,0.0,1.970650826846787e-15,0.3
1.9363997811662146e-15,3.821394362861791e-18,3.888845942902694e-14,0.0,2.0172232935847586e-15,0.31
1.9190682995124845e-15,3.712869504667748e-18,3.745104239897488e-14,0.0,2.0653543959320793e-15,0.32
1.9063579151156266e-15,3.597982892665555e-18,3.606277215500343e-14,0.0,2.1149648995141775e-15,0.33
1.898023442910132e-15,3.479452523106613e-18,3.4722014517430036e-14,0.0,2.16598883188029e-15,0.34
1.893827928693815e-15,3.3566300454577282e-18,3.342719768594812e-14,0.0,2.218370842866196e-15,0.35
1.893547127211387e-15,3.232831287575915e-18,3.217680840200953e-14,0.0,2.2720641756637524e-15,0.36
1.8969633652479865e-15,3.104946760905891e-18,3.0969388587838386e-14,0.0,2.3270290245208416e-15,0.37
1.9038749563584376e-15,2.978478555755966e-18,2.980353238714111e-14,0.0,2.38323113719189e-15,0.38
1.9140831643154947e-15,2.851387767059816e-18,2.867788365536701e-14,0.0,2.440640774471401e-15,0.39
