Time,s9,s10,s1,s75,s135,s7,s21,s46,s48,s69,s71,s68,s70,s128,s140,s148,s150,s152,s157,s158,s159,s160,s161,kass_r7,kdiss_r7,kcatp_r14,kM_r14_s69,kcatn_r14,kM_r14_s46,kass_r25,kdiss_r25,kass_r26,kdiss_r26,kass_r51,kdiss_r51,kass_r52,kdiss_r52,kcatp_r53,kM_r53_s70,kcatn_r53,kass_r54,kdiss_r54,kass_r55,kass_r15_s21,kdiss_r15_s21,kass_re24_s157,kass_r23_s21,kdiss_r23_s21,default,c1,c4,c5,r52,r55,r7,r14,r51,r53,re24,r15,r23,r54,r26,r25
0.0,2.0,0.0,5.0,0.0,2.5,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.5,0.0,3.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,1.13,1.122,1.146,1.03,1.75,0.215,1.27,0.73,1.33,0.61,1.23,0.46,0.6,1.67,1.29,0.79,1.62,1.28,0.71,1.56,1.53,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28.249999999999996,0.0,7.6875,0.0,4.5,0.0,0.0,0.0,0.0,0.0
0.01,1.9999999999999334,6.660541086450663e-14,4.734075547344183,0.00022395440561077333,2.4255876173261255,4.734075547344183,0.26592445265581593,6.391460915565352e-11,6.660541086450663e-14,1.281246242728258e-07,1.999999999998536,4.0018765680588996e-05,3.411551390833853e-10,2.4255876173261255,0.07418842826826955,2.955665024630541,2.955665024630541,0.0,0.5,1.4606405408299311e-12,0.04429495660377902,3.9890577075101625e-05,1.278459864270624e-07,1.13,1.122,1.146,1.03,1.75,0.215,1.27,0.73,1.33,0.61,1.23,0.46,0.6,1.67,1.29,0.79,1.62,1.28,0.71,1.56,1.53,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04413905310359174,2.2785992436946926e-12,25.026595319517373,3.77702979411575e-08,7.202547928867367,-9.49179342012062e-24,4.367977868912128,5.200915981666661e-11,0.011779111665758797,8.723201012688377e-10,1.6982705731315215e-07,5.066103287342151e-05
0.02,1.9999999999852711,1.4728992193137138e-11,4.497825560060236,0.0008703263900667298,2.3558065970945146,4.497825560060236,0.5021744399397632,3.69429223979526e-09,1.4728992193137138e-11,1.952131270429339e-06,1.9999999999101181,0.0003027070735722548,1.0413058338093529e-08,2.3558065970945146,0.14332307651582415,2.9126213592232775,2.9126213592232775,0.0,0.5,8.947880521709823e-11,0.08707593370315087,0.00030075123328059344,1.9453373511735883e-06,1.13,1.122,1.146,1.03,1.75,0.215,1.27,0.73,1.33,0.61,1.23,0.46,0.6,1.67,1.29,0.79,1.62,1.28,0.71,1.56,1.53,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08454040083808305,1.3958693613867323e-10,22.29695156705381,1.0756119678557835e-06,6.760355793986985,-6.406755798140981e-20,4.241681591101826,5.67684815762667e-09,0.0437272625218889,2.6593899392617288e-08,2.580946711474635e-06,0.00038195406349413936
0.03,1.9999999996727498,3.2725026840559303e-10,4.28681151408762,0.0019033829786168615,2.290254228582814,4.28681151408762,0.7131884859123795,3.786009603023552e-08,3.2725026840559303e-10,9.411287421086231e-06,1.9999999990173953,0.0009670408414503409,7.546710828778711e-08,2.290254228582814,0.2078423884452033,2.8708133971291874,2.8708133971291874,0.0,0.5,9.759721919250399e-10,0.128219562029363,0.0009575913666829559,9.373025054371563e-06,1.13,1.122,1.146,1.03,1.75,0.215,1.27,0.73,1.33,0.61,1.23,0.46,0.6,1.67,1.29,0.79,1.62,1.28,0.71,1.56,1.53,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12152678349283182,1.5225166194030623e-09,19.965533360571346,7.2480926325659735e-06,6.356067752111203,-1.0316312429235838e-17,4.120784780568212,8.262423675317357e-08,0.09144405487416403,1.925028568655507e-07,1.242008838625863e-05,0.001216140971292424
0.04,1.9999999971638618,2.83613841957016e-09,4.097434209847014,0.0032904446479354106,2.228572910213571,4.097434209847014,0.902565790152985,1.90797335754055e-07,2.83613841957016e-09,2.8329440496346467e-05,1.9999999946991458,0.0021719869432692187,3.036750608190041e-07,2.228572910213571,0.2681366451863473,2.830188679245291,2.830188679245291,0.0,0.5,5.253002670443777e-09,0.16763933381144047,0.002143463869298698,2.821409805522752e-05,1.13,1.122,1.146,1.03,1.75,0.215,1.27,0.73,1.33,0.61,1.23,0.46,0.6,1.67,1.29,0.79,1.62,1.28,0.71,1.56,1.53,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15538694454975624,8.194684165892293e-09,17.958854010996177,2.704636610253432e-05,5.985497919063755,-3.5976844154739283e-16,4.004983980064102,5.269538724443472e-07,0.15130132581902916,7.736785217401718e-07,3.733950862635301e-05,0.0027221985305279296
0.05,1.9999999853321921,1.4667808043519952e-08,3.9267442166837148,0.005001568049801228,2.1704440082225123,3.9267442166837148,1.0732557833162841,6.512578896384584e-07,1.4667808043519952e-08,6.588830097776711e-05,1.9999999805767665,0.004023480620008969,8.853975123362844e-07,2.1704440082225123,0.3245544239475047,2.7906976744186163,2.7906976744186163,0.0,0.5,1.9203418106124908e-08,0.20527884496137513,0.00395692639333352,6.564940592928047e-05,1.13,1.122,1.146,1.03,1.75,0.215,1.27,0.73,1.33,0.61,1.23,0.46,0.6,1.67,1.29,0.79,1.62,1.28,0.71,1.56,1.53,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18638003572533476,2.995733224555486e-08,16.219638773001797,7.298486908627112e-05,5.645022412163824,-5.424870686339687e-15,3.893996755002737,2.1388368513520617e-06,0.22029962065338016,2.252983182713018e-06,8.67736174034179e-05,0.005025293361898264
0.06,1.9999999452585329,5.474146738978552e-08,3.77230147257785,0.007009269312343393,2.1155826922222465,3.77230147257785,1.2276985274221495,1.736889003246691e-06,5.474146738978552e-08,0.00013019435721483663,1.9999999442689609,0.00660011783513018,2.1058796906401365e-06,2.1155826922222465,0.377408039224439,2.752293577981666,2.752293577981666,0.0,0.5,5.4972012729821046e-08,0.24110630418320414,0.006468131847444707,0.0001298243769552509,1.13,1.122,1.146,1.03,1.75,0.215,1.27,0.73,1.33,0.61,1.23,0.46,0.6,1.67,1.29,0.79,1.62,1.28,0.71,1.56,1.53,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21473934378304993,8.575633985852083e-08,14.702714244247053,0.00016046262487153025,5.331491158942063,-4.8154239040364835e-14,3.7875599696995605,6.525070597169719e-06,0.29595344361696546,5.3520217287761115e-06,0.00017138183473919323,0.008214515107501822
0.07,1.9999998368277887,1.631722115972845e-07,3.632069788645456,0.009288281764870236,2.0637335710673836,3.632069788645456,1.3679302113545435,3.9067713182718204e-06,1.631722115972845e-07,0.00022992887709155912,1.9999998649076565,0.009957816585494965,4.35266983164228e-06,2.0637335710673836,0.4269781493202732,2.7149321266968385,2.7149321266968385,0.0,0.5,1.3293981849504753e-07,0.2751100567176671,0.009723817764873535,0.0002295110584460594,1.13,1.122,1.146,1.03,1.75,0.215,1.27,0.73,1.33,0.61,1.23,0.46,0.6,1.67,1.29,0.79,1.62,1.28,0.71,1.56,1.53,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24067545904483062,2.0738611685227415e-07,13.372064275898085,0.00030637589194198106,5.042155441703833,-2.966770747383604e-13,3.685428226285309,1.6353221609648564e-05,0.3761989040935166,1.1048446745216922e-05,0.00030259457913595723,0.012349210038398827
0.08,1.9999995872477043,4.127522958708736e-07,3.504336537198317,0.011815343003442936,2.0146669879542243,3.504336537198317,1.4956634628016832,7.758294175863254e-06,4.127522958708736e-07,0.0003740689802057412,1.999999710537273,0.014133646673862275,8.118817157079306e-06,2.0146669879542243,0.47351767432780933,2.6785714285714333,2.6785714285714333,0.0,0.5,2.8417725289968905e-07,0.307294924754705,0.013751406647184796,0.0003738317467929691,1.13,1.122,1.146,1.03,1.75,0.215,1.27,0.73,1.33,0.61,1.23,0.46,0.6,1.67,1.29,0.79,1.62,1.28,0.71,1.56,1.53,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2643789817809359,4.4331651452351494e-07,12.198688854252202,0.0005278305988474689,4.77460804880284,-1.3997812783617576e-12,3.5873724489796044,3.550761167076294e-05,0.45931909781440233,2.0582403064442707e-05,0.0004922437447688304,0.017464184359556677
0.09,1.9999990785837256,9.214162746122801e-07,3.387650775405204,0.014569007077464396,1.9681758613860472,3.387650775405204,1.6123492245947957,1.4011455319285209e-05,9.214162746122801e-07,0.0005716675959773491,1.999999435494168,0.019148986944497657,1.4002713118089703e-05,1.9681758613860472,0.517255143163476,2.643171806167404,2.643171806167404,0.0,0.5,5.52878847008257e-07,0.3376792068880982,0.018562386476926408,0.000572033248620763,1.13,1.122,1.146,1.03,1.75,0.215,1.27,0.73,1.33,0.61,1.23,0.46,0.6,1.67,1.29,0.79,1.62,1.28,0.71,1.56,1.53,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28602284407872003,8.624910013328811e-07,11.15902505700157,0.0008411292306065962,4.5267335863963325,-5.389388895264925e-12,3.493178598459129,6.912952583878313e-05,0.5438836964107712,3.545439148302886e-05,0.0007522625656635801,0.02357399210629994
