value_component_environment_variable_time,value_component_uninfected_variable_lambda,value_component_uninfected_variable_d_T,value_component_uninfected_variable_k,value_component_uninfected_variable_T,value_component_latently_infected_variable_d_0,value_component_latently_infected_variable_a_L,value_component_latently_infected_variable_eta,value_component_latently_infected_variable_L,value_component_productively_infected_variable_delta,value_component_productively_infected_variable_T_star,value_component_viral_load_variable_N,value_component_viral_load_variable_c,value_component_viral_load_variable_V,value_component_drug_efficacy_variable_efficacy
0.0,10000.0,0.01,2.4e-08,600000.0,0.001,0.1,0.001,2.0,1.0,0.3,2000.0,23.0,50.0,0.4
0.1,10000.0,0.01,2.4e-08,600399.7690268771,0.001,0.1,0.001,1.9799325542984774,1.0,0.319784614573106,2000.0,23.0,29.632226474937987,0.4
0.2,10000.0,0.01,2.4e-08,600799.1446494245,0.001,0.1,0.001,1.9600606443736217,1.0,0.3317526302874939,2000.0,23.0,28.635666628887186,0.4
0.30000000000000004,10000.0,0.01,2.4e-08,601198.1208946188,0.001,0.1,0.001,1.94038863206874,1.0,0.3425960325231817,2000.0,23.0,29.40425651868992,0.4
0.4,10000.0,0.01,2.4e-08,601596.6975985182,0.001,0.1,0.001,1.9209150681670855,1.0,0.3529492244931044,2000.0,23.0,30.30288643249342,0.4
0.5,10000.0,0.01,2.4e-08,601994.8751361412,0.001,0.1,0.001,1.9016379825504255,1.0,0.36288293504492214,2000.0,23.0,31.180644202774758,0.4
0.6000000000000001,10000.0,0.01,2.4e-08,602392.6539314081,0.001,0.1,0.001,1.882555375927689,1.0,0.37241512803993376,2000.0,23.0,32.02450880601367,0.4
0.7000000000000001,10000.0,0.01,2.4e-08,602790.0344115951,0.001,0.1,0.001,1.863665265343884,1.0,0.3815585230811652,2000.0,23.0,32.8342375709469,0.4
0.8,10000.0,0.01,2.4e-08,603187.0170031317,0.001,0.1,0.001,1.8449656881898955,1.0,0.3903250171676673,2000.0,23.0,33.61076066975554,0.4
0.9,10000.0,0.01,2.4e-08,603583.6021312238,0.001,0.1,0.001,1.8264547023722562,1.0,0.39872611559423793,2000.0,23.0,34.355078243256436,0.4
1.0,10000.0,0.01,2.4e-08,603979.7902198462,0.001,0.1,0.001,1.808130386108898,1.0,0.4067729778200289,2000.0,23.0,35.068170116525394,0.4
