M_0_1_task1,time_task1
0.80224854,0.0
0.8062698275479585,1.0
0.8103112718768479,2.0
0.8143729740297385,3.0
0.818455035549395,4.0
0.8225575584875682,5.0
0.8266806454075452,6.0
0.8308243993867137,7.0
0.8349889240191387,8.0
0.8391743234181532,9.0
0.8433807022189604,10.0
0.8476081655812492,11.0
0.8518568191918239,12.0
0.8561267692672462,13.0
0.8604181225564903,14.0
0.8647309863436118,15.0
0.8690654684504299,16.0
0.8734216772392229,17.0
0.8777997216154376,18.0
0.8821997110304114,19.0
0.886621755484109,20.0
0.8910659655278762,21.0
0.8955324522672024,22.0
0.9000213273644774,23.0
0.9045327030418112,24.0
0.9090666920838338,25.0
0.9136234078404938,26.0
0.9182029642338243,27.0
0.9228054757545952,28.0
0.9274310574672143,29.0
0.9320798249950528,30.0
0.9367518945600335,31.0
0.9414473829712213,32.0
0.9461664076167299,33.0
0.9509090864715557,34.0
0.9556755381029349,35.0
0.9604658816725882,36.0
0.9652802369393134,37.0
0.9701187242622358,38.0
0.9749814646037924,39.0
0.9798685795327375,40.0
0.9847801912272224,41.0
0.9897164224777656,42.0
0.9946773966904287,43.0
0.9996632378897926,44.0
1.0046740707221056,45.0
1.0097100204585217,46.0
1.0147712129980344,47.0
1.0198577748707087,48.0
1.0249698332408712,49.0
1.0301075159103323,50.0
1.035270951322832,51.0
1.0404602685637614,52.0
1.045675597365557,53.0
1.050917068112389,54.0
1.0561848118375878,55.0
1.0614789602383512,56.0
1.0667996456683624,57.0
1.0721470011450764,58.0
1.0775211603527672,59.0
1.0829222576455013,60.0
1.0883504280510592,61.0
1.0938058072740036,62.0
1.0992885316990995,63.0
1.1047987383947415,64.0
1.1103365651163857,65.0
1.1159021503099882,66.0
1.1214956331154682,67.0
1.1271171533707698,68.0
1.1327668516137293,69.0
1.1384448690869693,70.0
1.1441513477412326,71.0
1.1498864302389646,72.0
1.155650259968157,73.0
1.16144298100242,74.0
1.1672647381716998,75.0
1.1731156770202285,76.0
1.178995943821783,77.0
1.1849056855833389,78.0
1.1908450500487489,79.0
1.1968141857024328,80.0
1.2028132417733681,81.0
1.2088423682382061,82.0
1.2149017158252697,83.0
1.2209914360181744,84.0
1.2271116810603708,85.0
1.2332626039585008,86.0
1.2394443584859622,87.0
1.245657099187682,88.0
1.251900981382104,89.0
1.2581761611662963,90.0
1.264482795420058,91.0
1.2708210418087866,92.0
1.2771910587897688,93.0
1.283593005613536,94.0
1.290027042332789,95.0
1.2964933298025505,96.0
1.3029920296734168,97.0
1.3095233044086665,98.0
1.3160873172905077,99.0
1.32268423242408,100.0
1.3293142147323667,101.0
1.3359774299652594,102.0
1.3426740447034666,103.0
1.3494042263627235,104.0
1.3561681431980597,105.0
1.3629659643068188,106.0
1.3697978636489827,107.0
1.3766640039939912,108.0
1.38356456103658,109.0
1.3904997072608336,110.0
1.3974696160494,111.0
1.4044744616505418,112.0
1.41151441918629,113.0
1.4185896646558291,114.0
1.4257003749408477,115.0
1.4328467278094952,116.0
1.440028901920966,117.0
1.4472470768299865,118.0
1.4545014329913057,119.0
1.461792151764205,120.0
1.4691194154170335,121.0
1.4764834071317643,122.0
1.4838843110085735,123.0
1.4913223120704424,124.0
1.4987975962677857,125.0
1.5063103504831827,126.0
1.5138607625360703,127.0
1.5214490211865945,128.0
1.5290753161418076,129.0
1.5367398380595647,130.0
1.5444427785533106,131.0
1.5521843301969602,132.0
1.5599646865297092,133.0
1.5677840420608702,134.0
1.575642592274739,135.0
1.5835405336354798,136.0
1.5914780635920378,137.0
1.5994553805830742,138.0
1.6074726840420277,139.0
1.6155301744017756,140.0
