Cdc20_a_1_task1,Cdh1_a_2_task1,Clb2_3_task1,IE_a_4_task1,time_task1
1.4384692,0.99263656,0.18453673,0.52220768,0.0
1.5458466888045357,0.9998959020060012,0.0018582714008932655,0.48935397608705067,1.0
1.6070869693011214,0.9999341021919177,0.00030550160277439004,0.45025273396989085,2.0
1.6249869829113217,0.9999389102515138,0.00016001036514435882,0.4111823739462807,3.0
1.6034182400492818,0.9999401827794442,0.0001059131982716085,0.37219173236689146,4.0
1.5451508743702178,0.9999394247489003,7.66029975105435e-05,0.3333043808209992,5.0
1.44697753627232,0.9999365624423666,5.774675041449743e-05,0.2945473142413118,6.0
1.3097982459658983,0.9999310789451888,4.4876004511669435e-05,0.2559568261622782,7.0
1.1629938774268138,0.9999234691813476,3.634067845042569e-05,0.21758515521134497,8.0
1.0001515888585741,0.9999122100061812,3.124867036019677e-05,0.17951211215783336,9.0
0.8187110867021355,0.9998945183938903,2.8372223628346847e-05,0.1418686407520922,10.0
0.6197518728958656,0.9998643495042326,2.654141559231655e-05,0.10489133860212346,11.0
0.4054645342034832,0.9998046196634122,2.5193801513225457e-05,0.0690719566109481,12.0
0.17902031749674707,0.9996406872075843,2.4125532990277097e-05,0.03568036838755285,13.0
3.8567898026650464e-05,0.9988991239288044,2.3252307180477134e-05,0.009218193524675566,14.0
1.6575671851081016e-06,0.9988811057092057,2.2496615877651394e-05,0.0004081580062055123,15.0
3.370466886437555e-08,0.9988606114685425,2.184487508020337e-05,8.31778928452486e-06,16.0
2.6948341553412537e-09,0.9988371792930796,2.1292879175214203e-05,6.729059866486476e-07,17.0
2.0791026075696398e-09,0.9988107202048341,2.083131786023782e-05,5.209927788395084e-07,18.0
2.0287748377330477e-09,0.9987811345347406,2.0450854061405025e-05,5.08528247036989e-07,19.0
1.9959911016192406e-09,0.998748289700132,2.014349565904563e-05,5.004238889033973e-07,20.0
1.970131409425376e-09,0.9987120170239253,1.990280008603186e-05,4.940591475054575e-07,21.0
1.950461497509867e-09,0.9986721083223609,1.972375156256652e-05,4.892519854437202e-07,22.0
1.936564044019349e-09,0.9986283116593422,1.9602579839300648e-05,4.858990488664077e-07,23.0
1.928143091642007e-09,0.9985803260544363,1.9536604708752423e-05,4.839273872017745e-07,24.0
1.9249996064036495e-09,0.998527794974441,1.9524072525895007e-05,4.832883659934025e-07,25.0
1.9270215680762277e-09,0.998470298384071,1.9564140035369156e-05,4.839552313138558e-07,26.0
1.9341805800322196e-09,0.9984073425940128,1.96567662439028e-05,4.859222546601969e-07,27.0
1.9465250977773516e-09,0.9983383493283217,1.980270007444772e-05,4.892030716306168e-07,28.0
1.964182513915665e-09,0.9982626401134796,2.0003501539507368e-05,4.938312262021741e-07,29.0
1.9873597832584273e-09,0.9981794235615007,2.026155585544339e-05,4.99860375487415e-07,30.0
2.0163523007884908e-09,0.9980877651574956,2.05801498392184e-05,5.073664985239582e-07,31.0
2.0515471718803797e-09,0.9979865691773557,2.096354459247925e-05,5.164488307014337e-07,32.0
2.0934359833576535e-09,0.9978745412901078,2.1417104477195767e-05,5.272330634720668e-07,33.0
2.1426292291879967e-09,0.9977501541301662,2.1947448025026e-05,5.398750535325287e-07,34.0
2.199873269294035e-09,0.9976115952499099,2.2562640733030745e-05,5.545651570229905e-07,35.0
2.2660733841492206e-09,0.997456706373669,2.3272442569821306e-05,5.71534110615805e-07,36.0
2.342320487693975e-09,0.9972829115470017,2.4088597912655507e-05,5.910598518685091e-07,37.0
2.4299253572221866e-09,0.9970871093675919,2.5025205990796935e-05,6.134762618249159e-07,38.0
2.530458810402758e-09,0.996865568305831,2.6099154866546076e-05,6.391834239900218e-07,39.0
2.6458004488391e-09,0.9966137380592291,2.7330646214723528e-05,6.686600719941172e-07,40.0
2.778198192384079e-09,0.9963260619232314,2.8743839506373556e-05,7.024788016891705e-07,41.0
2.930335595409341e-09,0.9959957001544126,3.0367557697771386e-05,7.413232304716506e-07,42.0
3.1054101516883898e-09,0.9956140891647645,3.223616150347051e-05,7.860080987991497e-07,43.0
3.307230721173418e-09,0.9951705443910072,3.4390532747403824e-05,8.375039676605717e-07,44.0
3.5403190232530944e-09,0.9946512272512029,3.687921616625503e-05,8.969634323919176e-07,45.0
3.810010116852188e-09,0.9940386980873607,3.975937686782635e-05,9.657464845723806e-07,46.0
4.122590577178505e-09,0.9933091976093574,4.309827751113121e-05,1.0454561200120605e-06,47.0
4.4853803826000166e-09,0.9924318712222785,4.697415310338094e-05,1.137959098390282e-06,48.0
4.9068470266808676e-09,0.9913630133199482,5.1477529017128174e-05,1.2454153963584607e-06,49.0
5.396641108152025e-09,0.9900433509837965,5.671021197765912e-05,1.3702867118756773e-06,50.0
5.965597974380282e-09,0.9883837391047416,6.278732100791772e-05,1.5153380810073735e-06,51.0
6.6256298335965845e-09,0.9862519287969193,6.983401405985023e-05,1.6836095116591949e-06,52.0
7.389534272733806e-09,0.9834398846807161,7.798403109834318e-05,1.8783676157355954e-06,53.0
8.270701381799399e-09,0.9796049164031508,8.737644125672247e-05,2.1030309287359945e-06,54.0
9.28282836766631e-09,0.9741473158843055,9.815300644348781e-05,2.361097224909479e-06,55.0
1.043991928643964e-08,0.9659644563764203,0.00011045929555265706,2.65614352676742e-06,56.0
1.1757468407904829e-08,0.952931182338564,0.00012446121159899316,2.992128520160522e-06,57.0
1.3256218590077e-08,0.9309109508847836,0.00014039786589880047,3.3743544103337338e-06,58.0
1.4972871828458292e-08,0.8924971987392367,0.00015870925366970643,3.8122003725105633e-06,59.0
1.6981964837387973e-08,0.827046897523856,0.00018030216785891936,4.324710246153307e-06,60.0
1.9432809103322457e-08,0.7235910894640163,0.0002069722291239153,4.950020720150349e-06,61.0
2.261322645464771e-08,0.5749641132642554,0.00024217243671165813,5.761647497060639e-06,62.0
2.709361701359164e-08,0.38066680332387276,0.00029283744717412537,6.905329243348448e-06,63.0
3.4084664779178523e-08,0.15522002033792864,0.00037383723991843545,8.690476429768836e-06,64.0
4.5662130870549425e-08,0.029099798336074123,0.0005059043779105157,1.164582981239675e-05,65.0
6.082529222104845e-08,0.024446404606907453,0.0006673814135734773,1.5512336620187453e-05,66.0
7.795572791468998e-08,0.02168701827927541,0.0008482006155006089,1.988039377975669e-05,67.0
9.708657705285122e-08,0.01960997539962117,0.0010497978001866998,2.4758900773054192e-05,68.0
1.1842600897310011e-07,0.01798294629067343,0.001274501100698214,3.020098122056386e-05,69.0
1.4228823816952025e-07,0.016667494789975566,0.0015257541331172393,3.628678699970163e-05,70.0
1.691193769665605e-07,0.01557454371128478,0.0018084007840740034,4.313009749279596e-05,71.0
1.9953083652468625e-07,0.014644008679740365,0.002129026714008036,5.0886831633664555e-05,72.0
2.3450156176845837e-07,0.013829562201354806,0.0025032896930789823,5.9808575165578306e-05,73.0
2.855657912147028e-07,0.013016213396251619,0.0030846350079177546,7.284858252837167e-05,74.0
3.606256503767406e-07,0.012195031550488084,0.003907554476355551,9.200225876084331e-05,75.0
4.6091913285316896e-07,0.011376533619686482,0.0049896920225827,0.00011758608476970374,76.0
5.914052862908372e-07,0.01055625818357514,0.006385517339998038,0.00015086334163893141,77.0
7.600179185800019e-07,0.009729346731519949,0.008174166827337273,0.00019385136894652845,78.0
9.767663025505761e-07,0.008897491713674597,0.010447640153364574,0.00024909011621688246,79.0
1.2522307428063002e-06,0.00807293057286388,0.013291167372712133,0.00031925546364654244,80.0
1.5952484226197275e-06,0.007277363893085514,0.016757168023490126,0.0004065670737376726,81.0
2.0106352521201582e-06,0.006534992427459429,0.020845359436914585,0.0005122086397411578,82.0
2.4983171648303886e-06,0.005864532800638281,0.02550273235096869,0.000636110717064603,83.0
3.0543782652601397e-06,0.005274514642275906,0.03064272019690945,0.0007772223424730979,84.0
3.673097010041182e-06,0.004763928901322244,0.036169541321639465,0.0009340315921796272,85.0
4.34879872254572e-06,0.004325867087769447,0.04199596356192065,0.0011050357439049694,86.0
5.0769824241130345e-06,0.003950711232676166,0.04805166857453444,0.0012890239322650421,87.0
5.85481083167939e-06,0.003628650370200184,0.05428489063394032,0.0014851959884897117,88.0
