PSwe1M_1_task1,Swe1M_2_task1,Swe1_3_task1,Swe1_total_4_task1,time_task1
0.013336782,0.018360127,0.00031588585,0.0322178027,0.0
0.0008135467330273548,0.03008481047059914,0.0009023328803754578,0.03182981961234342,1.0
2.4945662785549763e-05,0.03034525599218437,0.0013249535993930576,0.03169678396972715,2.0
1.0860463852055498e-05,0.029846736285296466,0.0017176559970677576,0.03157620536344409,3.0
6.9022111007889364e-06,0.029347038450876228,0.0021048445541110915,0.03145953314089409,4.0
4.881875327611971e-06,0.028854012240702567,0.0024870421344684052,0.03134656529458059,5.0
3.6189780404284944e-06,0.02836864121783774,0.002864531573049524,0.031237331920208153,6.0
2.7669541848553895e-06,0.02789110654956337,0.003237570048128065,0.031131912816972706,7.0
2.1981499740314702e-06,0.027421382494949464,0.003606411911488905,0.031030409985496804,8.0
1.8494954128913422e-06,0.026959385028261226,0.003971317212211914,0.030932940477851664,9.0
1.6477901133622954e-06,0.02650504548923501,0.004332562894312048,0.030839635960943475,10.0
1.5185535283286635e-06,0.026058302215981804,0.004690443261330219,0.030750644898958478,11.0
1.4225984527589873e-06,0.025619063002307818,0.005045261467544804,0.030666132867378675,12.0
1.3452774221508135e-06,0.025187214389561768,0.0053973299577658755,0.03058628198509121,13.0
1.2807529463229388e-06,0.024762636668779838,0.005746974124249783,0.030511291430540557,14.0
1.2244222190272794e-06,0.024345211218398756,0.006094535606631491,0.03044137888704289,15.0
1.1746712534470612e-06,0.023934818653802148,0.006440373569790868,0.030376782466212678,16.0
1.1311638737539908e-06,0.02353134037638438,0.00678486725991757,0.030317762771820026,17.0
1.0932440768011043e-06,0.023134660134948557,0.007128419082155735,0.030264605442381052,18.0
1.0602505587716132e-06,0.02274466368290581,0.007471457445981561,0.030217624066135658,19.0
1.0316088668270677e-06,0.02236123865020515,0.007814440053954597,0.030177163473810133,20.0
1.0068440353418727e-06,0.021984274493436987,0.00815785766361892,0.030143603478368038,21.0
9.855712096007996e-07,0.02161366246868606,0.008502238356860092,0.030117363114079445,22.0
9.674822946742594e-07,0.02124929560974496,0.008848152346241107,0.030098905410937644,23.0
9.523340875378206e-07,0.020891068705336094,0.009196217525599957,0.0300887429129382,24.0
9.399377604302806e-07,0.020538878276500774,0.009547105699367241,0.030087443876826093,25.0
9.301522260015012e-07,0.02019262255122801,0.009901549587624878,0.03009563924757346,26.0
9.22879883287875e-07,0.019852201447967975,0.010260351496204804,0.03011403131067017,27.0
9.180607735903809e-07,0.019517516532575167,0.010624391445089683,0.030143401775695133,28.0
9.15671715680735e-07,0.019188470994815236,0.010994637649218084,0.03018462223772106,29.0
9.15724981607711e-07,0.01886496957232405,0.011372154335773137,0.030238661921190034,30.0
9.182691831400979e-07,0.018546918624575866,0.01175812052743382,0.03030660654761834,31.0
9.233897408973784e-07,0.018234226061871008,0.012153841986380582,0.030389670214615173,32.0
9.312117163583192e-07,0.01792680128237339,0.012560764456479901,0.030489208589627316,33.0
9.419035417990064e-07,0.017624555155466858,0.012980490379322984,0.03060673562532565,34.0
9.55681788936484e-07,0.017327399996731007,0.01341479669060082,0.030743941350678834,35.0
9.728176776030069e-07,0.017035249530982295,0.013865653275910798,0.030902710315821768,36.0
9.936447921401178e-07,0.016748018857465005,0.014335240709804067,0.031085139326587886,37.0
1.0185690368735178e-06,0.016465624412499966,0.014825969334590823,0.03129355652524071,38.0
1.0480802593469077e-06,0.016187983931382464,0.015340496493029921,0.03153053863162209,39.0
1.0827662526944808e-06,0.015915016407025945,0.015881742485146157,0.03179892691591028,40.0
1.1233295568490317e-06,0.015646642045387748,0.01645290413929442,0.032101840796498485,41.0
1.1706062277241654e-06,0.015382782219851275,0.01705746410115155,0.03244268716521623,42.0
