Ca_Cyt,Ca_ER,IP3_Cyt,O_o,Oc,Orai1,S2,S2a,S4,Time
0.0,0.0,0.0,0.0,0.0,0.001,0.54,0.05999999999999999,0.0,0.0
7.513110626328705e-06,2.338112636111564e-10,6.52408721645565e-12,1.1765004772560964e-09,1.794316088883066e-06,0.0009928180296425587,0.52287073507873,0.07712926492126998,0.0023283112779257163,0.01
1.5113367128673928e-05,1.1203461768006032e-09,5.254580085285105e-11,5.162523516617685e-09,3.5768647563082917e-06,0.0009856718908807004,0.5073715356117205,0.09262846438827949,0.004628392393533892,0.02
2.2907092289242457e-05,2.9532845912607766e-09,1.7950807056201734e-10,1.2472831360093576e-08,5.347172833976112e-06,0.0009785614173386551,0.49334727982397636,0.1066527201760236,0.006900640647279427,0.03
3.101528702579649e-05,6.062227084871705e-09,4.332186066306172e-10,2.3453864985323926e-08,7.104934842658121e-06,0.0009714864451694262,0.4806576087893115,0.11934239121068846,0.009145503293145934,0.04
3.9568743605033266e-05,1.0833466641528933e-08,8.667641081982048e-10,3.83348845238683e-08,8.849961996083375e-06,0.000964446812477571,0.4691755196467333,0.13082448035326666,0.011363470413805591,0.05
4.870462813415321e-05,1.7733981720006075e-08,1.5439209231453168e-09,5.726122972542098e-08,1.0582149041546828e-05,0.000957442358914911,0.4587860958205431,0.1412139041794569,0.013555067417392517,0.06
5.856398869175198e-05,2.733900521347594e-08,2.5431032838052572e-09,8.031711101080223e-08,1.2301451542658481e-05,0.0009504729253853229,0.4493853563200487,0.15061464367995123,0.01572084745877096,0.07
6.92899320313602e-05,4.036384845413084e-08,3.961942548741044e-09,1.0754147432906334e-07,1.4007870068561491e-05,0.0009435383538284379,0.44087921540443653,0.15912078459556345,0.017861384030293064,0.08
8.102626201864542e-05,5.770071793054306e-08,5.922599793338528e-09,1.3893936858737135e-07,1.57014388669291e-05,0.0009366384870579342,0.43318254134751705,0.1668174586524829,0.01997726393265835,0.09
