Time,Ca_Cyt,IP3_Cyt,Ca_ER,S2,S2a,S4,Oc,O_o,Orai1,L,P_IP3R,Ki,k_i,Ka,V_SERCA,p,K_SERCA,k_soc,V_PMleak,Ca_ec,V_PMCA,q,K_PMCA,V_PLC,K_PLC,kdeg,K_deg,A,Kd,K1,St,k_a,Vs4,K2,kd_oligo,Vcp,n_hill,Kc,kdc,kop,l_hill,Ko,kod,kdo,r_hill,h,Orai1_t,Cytoplasm,ER,PM,ER_Channel,SERCA,PM_Channel,PMCA,PLC,deg,act_apoSTIM1_syn,act_apoSTIM1_deg,apoSTIM1_oligo_syn,apoSTIM1_oligo_deg,close_CRAC_prod,closed_CRAC_channel_deg,open_CRAC_channel_prod,open_to_closed,open_CRAC_channel_deg
0.0,0.0,0.0,0.0,0.54,0.05999999999999999,0.0,0.0,0.0,0.001,0.00093,66.6,1.0,6.0,0.4,1.0,2.0,0.15,2.3,5e-07,1500.0,1.0,2.0,0.45,0.5,0.12,0.5,0.1,0.5,0.4,5.0,0.6,4.0,0.25,0.14,0.8,0.00018,3.0,2e-05,0.5,0.5,1.0,0.2,1.0,0.6,4.0,0.0,0.001,1.0,0.185,1.0,0.0,0.0,0.00075,0.0,0.0,0.0,0.3996,0.06659999999999999,0.043337082262210794,0.0,0.0001799985600115199,0.0,0.0,0.0,0.0
0.01,7.513110626328705e-06,6.52408721645565e-12,2.338112636111564e-10,0.52287073507873,0.07712926492126998,0.0023283112779257163,1.794316088883066e-06,1.1765004772560964e-09,0.0009928180296425587,0.00093,66.6,1.0,6.0,0.4,1.0,2.0,0.15,2.3,5e-07,1500.0,1.0,2.0,0.45,0.5,0.12,0.5,0.1,0.5,0.4,5.0,0.6,4.0,0.25,0.14,0.8,0.00018,3.0,2e-05,0.5,0.5,1.0,0.2,1.0,0.6,4.0,0.001998001307671939,0.001,1.0,0.185,1.0,-6.986975438010538e-09,2.5087480507485524e-09,0.000754058922869648,2.7874978403811733e-10,1.959959411881469e-09,1.8413202415353632e-20,0.38692434395826025,0.08561348406260967,0.04315607793520356,0.000344590069133006,0.0001799985285348673,8.97158044441533e-07,2.496926497663024e-07,1.1765004772560964e-09,7.059002863536578e-10
0.02,1.5113367128673928e-05,5.254580085285105e-11,1.1203461768006032e-09,0.5073715356117205,0.09262846438827949,0.004628392393533892,3.5768647563082917e-06,5.162523516617685e-09,0.0009856718908807004,0.00093,66.6,1.0,6.0,0.4,1.0,2.0,0.15,2.3,5e-07,1500.0,1.0,2.0,0.45,0.5,0.12,0.5,0.1,0.5,0.4,5.0,0.6,4.0,0.25,0.14,0.8,0.00018,3.0,2e-05,0.5,0.5,1.0,0.2,1.0,0.6,4.0,0.003992010455624315,0.001,1.0,0.185,1.0,-1.405438950772233e-08,1.0151727273212727e-08,0.0007678106983961942,1.1279697072021614e-09,7.931036886908474e-09,6.001094619468445e-19,0.3754549363526732,0.10281759547099023,0.042977742491518346,0.0006850020742430161,0.0001799984962980978,1.7884323781541458e-06,5.661094698938398e-07,5.162523516617685e-09,3.097514109970611e-09
0.03,2.2907092289242457e-05,1.7950807056201734e-10,2.9532845912607766e-09,0.49334727982397636,0.1066527201760236,0.006900640647279427,5.347172833976112e-06,1.2472831360093576e-08,0.0009785614173386551,0.00093,66.6,1.0,6.0,0.4,1.0,2.0,0.15,2.3,5e-07,1500.0,1.0,2.0,0.45,0.5,0.12,0.5,0.1,0.5,0.4,5.0,0.6,4.0,0.25,0.14,0.8,0.00018,3.0,2e-05,0.5,0.5,1.0,0.2,1.0,0.6,4.0,0.005982035266505263,0.001,1.0,0.185,1.0,-2.1300849274325614e-08,2.332154955156626e-08,0.0007930312560816292,2.5912833372253556e-09,1.821996034814493e-08,4.7097070205358244e-18,0.3650769870697425,0.11838451939538619,0.04280312104284105,0.0010212948157973553,0.0001799984632807942,2.673586416988056e-06,9.298638010899322e-07,1.2472831360093576e-08,7.483698816056146e-09
0.04,3.101528702579649e-05,4.332186066306172e-10,6.062227084871705e-09,0.4806576087893115,0.11934239121068846,0.009145503293145934,7.104934842658121e-06,2.3453864985323926e-08,0.0009714864451694262,0.00093,66.6,1.0,6.0,0.4,1.0,2.0,0.15,2.3,5e-07,1500.0,1.0,2.0,0.45,0.5,0.12,0.5,0.1,0.5,0.4,5.0,0.6,4.0,0.25,0.14,0.8,0.00018,3.0,2e-05,0.5,0.5,1.0,0.2,1.0,0.6,4.0,0.007968083539658012,0.001,1.0,0.185,1.0,-2.8838579062801805e-08,4.275324391849517e-08,0.0008309158170186388,4.750360615915753e-09,3.340097100807443e-08,2.0836687240678086e-17,0.3556866305040905,0.13247005424386418,0.04263313961647845,0.0013535344873855982,0.00017999842946193605,3.5524674213290606e-06,1.3276031257615519e-06,2.3453864985323926e-08,1.4072318991194356e-08
0.05,3.9568743605033266e-05,8.667641081982048e-10,1.0833466641528933e-08,0.4691755196467333,0.13082448035326666,0.011363470413805591,8.849961996083375e-06,3.83348845238683e-08,0.000964446812477571,0.00093,66.6,1.0,6.0,0.4,1.0,2.0,0.15,2.3,5e-07,1500.0,1.0,2.0,0.45,0.5,0.12,0.5,0.1,0.5,0.4,5.0,0.6,4.0,0.25,0.14,0.8,0.00018,3.0,2e-05,0.5,0.5,1.0,0.2,1.0,0.6,4.0,0.009950163046122635,0.001,1.0,0.185,1.0,-3.678885642870432e-08,6.958601606804653e-08,0.0008822553283341884,7.731780041359632e-09,5.436407292523552e-08,6.785398790321121e-17,0.3471898845385826,0.14521517319212598,0.042468594334635824,0.0016817936212432274,0.00017999839481987794,4.4249809980416875e-06,1.74985792775588e-06,3.83348845238683e-08,2.300093071432098e-08
0.06,4.870462813415321e-05,1.5439209231453168e-09,1.7733981720006075e-08,0.4587860958205431,0.1412139041794569,0.013555067417392517,1.0582149041546828e-05,5.726122972542098e-08,0.000957442358914911,0.00093,66.6,1.0,6.0,0.4,1.0,2.0,0.15,2.3,5e-07,1500.0,1.0,2.0,0.45,0.5,0.12,0.5,0.1,0.5,0.4,5.0,0.6,4.0,0.25,0.14,0.8,0.00018,3.0,2e-05,0.5,0.5,1.0,0.2,1.0,0.6,4.0,0.011928281523291577,0.001,1.0,0.185,1.0,-4.5278811561762885e-08,1.0542846895977669e-07,0.0009475512117859485,1.1714275426657963e-08,8.236598649023313e-08,1.8311984737989133e-16,0.3395017109072019,0.15674743363919716,0.04231014623298552,0.0020061499777740926,0.00017999835933232706,5.291074520773414e-06,2.18975042116073e-06,5.726122972542098e-08,3.4356737835252585e-08
0.07,5.856398869175198e-05,2.5431032838052572e-09,2.733900521347594e-08,0.4493853563200487,0.15061464367995123,0.01572084745877096,1.2301451542658481e-05,8.031711101080223e-08,0.0009504729253853229,0.00093,66.6,1.0,6.0,0.4,1.0,2.0,0.15,2.3,5e-07,1500.0,1.0,2.0,0.45,0.5,0.12,0.5,0.1,0.5,0.4,5.0,0.6,4.0,0.25,0.14,0.8,0.00018,3.0,2e-05,0.5,0.5,1.0,0.2,1.0,0.6,4.0,0.01390244666939713,0.001,1.0,0.185,1.0,-5.443908420848081e-08,1.5243289994143652e-07,0.0010270939928867856,1.6936991177274885e-08,1.1908819286820808e-07,4.3610910135443475e-16,0.33254516367683606,0.16718225448474586,0.04215832108805603,0.0023266854238981017,0.00017999832297632047,6.150725771329241e-06,2.6421867629335967e-06,8.031711101080223e-08,4.8190266606481336e-08
0.08,6.92899320313602e-05,3.961942548741044e-09,4.036384845413084e-08,0.44087921540443653,0.15912078459556345,0.017861384030293064,1.4007870068561491e-05,1.0754147432906334e-07,0.0009435383538284379,0.00093,66.6,1.0,6.0,0.4,1.0,2.0,0.15,2.3,5e-07,1500.0,1.0,2.0,0.45,0.5,0.12,0.5,0.1,0.5,0.4,5.0,0.6,4.0,0.25,0.14,0.8,0.00018,3.0,2e-05,0.5,0.5,1.0,0.2,1.0,0.6,4.0,0.015872666137944365,0.001,1.0,0.185,1.0,-6.440209841010266e-08,2.1338194028638302e-07,0.001121018034651757,2.370910897323871e-08,1.667046208396243e-07,9.510826082179188e-16,0.326250619399283,0.17662407090107543,0.04201351353166802,0.0026434848364833737,0.0001799982857282017,7.0039350342807455e-06,3.1033337131021486e-06,1.0754147432906334e-07,6.452488459743799e-08
0.09,8.102626201864542e-05,5.922599793338528e-09,5.770071793054306e-08,0.43318254134751705,0.1668174586524829,0.01997726393265835,1.57014388669291e-05,1.3893936858737135e-07,0.0009366384870579342,0.00093,66.6,1.0,6.0,0.4,1.0,2.0,0.15,2.3,5e-07,1500.0,1.0,2.0,0.45,0.5,0.12,0.5,0.1,0.5,0.4,5.0,0.6,4.0,0.25,0.14,0.8,0.00018,3.0,2e-05,0.5,0.5,1.0,0.2,1.0,0.6,4.0,0.017838947532172696,0.001,1.0,0.185,1.0,-7.530076200966485e-08,2.917890320464329e-07,0.0012293407552205035,3.2421011969688714e-08,2.27960143870874e-07,1.9441676594002344e-15,0.3205550805971626,0.18516737910425604,0.04187599458229925,0.0029566350620334357,0.00017999824756359683,7.85071943346455e-06,3.570269172288623e-06,1.3893936858737135e-07,8.33636211524228e-08
